λ,Curve-1_E
394.019,26.0827
394.106,0.141406
394.192,12.1563
394.279,0.0
394.366,0.0
394.453,0.0
394.54,5.32967
394.627,0.0
394.714,0.0
394.801,0.0
394.888,10.2473
394.975,18.7712
395.062,10.1481
395.149,13.7468
395.236,0.0
395.323,13.7955
395.41,14.4948
395.497,0.0
395.584,22.6629
395.671,9.2139
395.758,0.0
395.845,7.63996
395.932,0.0
396.019,206.673
396.105,359.274
396.192,351.819
396.279,367.762
396.366,329.972
396.453,342.393
396.54,344.403
396.627,317.705
396.714,357.645
396.801,349.319
396.888,363.364
396.975,312.951
397.062,303.059
397.149,316.177
397.235,299.533
397.322,288.126
397.409,322.22
397.496,298.343
397.583,306.063
397.67,292.778
397.757,289.01
397.844,295.09
397.931,293.282
398.018,307.437
398.105,314.585
398.191,308.67
398.278,282.932
398.365,265.105
398.452,272.091
398.539,280.516
398.626,266.63
398.713,254.936
398.8,281.01
398.887,273.674
398.973,261.839
399.06,253.409
399.147,269.601
399.234,249.082
399.321,269.443
399.408,251.141
399.495,240.897
399.582,230.138
399.668,243.15
399.755,215.19
399.842,236.672
399.929,225.059
400.016,233.927
400.103,251.59
400.19,225.806
400.276,238.989
400.363,226.264
400.45,238.13
400.537,203.34
400.624,231.364
400.711,218.786
400.798,214.482
400.884,183.848
400.971,223.585
401.058,202.25
401.145,179.769
401.232,210.136
401.319,194.882
401.405,197.471
401.492,188.014
401.579,166.247
401.666,199.813
401.753,210.558
401.84,196.064
401.926,179.931
402.013,168.407
402.1,203.602
402.187,186.478
402.274,185.078
402.36,176.786
402.447,181.651
402.534,173.447
402.621,191.29
402.708,175.465
402.795,169.487
402.881,168.36
402.968,167.134
403.055,166.338
403.142,158.205
403.229,169.596
403.315,167.327
403.402,162.652
403.489,178.21
403.576,147.57
403.663,154.118
403.749,153.627
403.836,152.558
403.923,161.046
404.01,147.035
404.096,156.699
404.183,161.191
404.27,137.594
404.357,147.926
404.444,148.334
404.53,141.053
404.617,165.398
404.704,158.98
404.791,133.282
404.877,149.685
404.964,153.863
405.051,129.963
405.138,144.371
405.224,109.246
405.311,159.576
405.398,130.351
405.485,134.611
405.572,140.195
405.658,134.283
405.745,135.795
405.832,149.509
405.919,139.07
406.005,128.193
406.092,105.228
406.179,131.382
406.266,119.92
406.352,146.85
406.439,136.417
406.526,145.875
406.612,140.287
406.699,117.159
406.786,148.041
406.873,139.534
406.959,128.907
407.046,128.829
407.133,124.882
