λ,Raw_E
394.019,2.34211
394.106,6.16505
394.192,0.0
394.279,0.0
394.366,8.34958
394.453,0.0
394.54,0.0
394.627,0.703714
394.714,0.0
394.801,0.0
394.888,69.6684
394.975,85.5485
395.062,101.271
395.149,65.0158
395.236,120.27
395.323,65.2704
395.41,98.1251
395.497,88.1995
395.584,89.3278
395.671,46.0363
395.758,52.2347
395.845,27.5863
395.932,70.5821
396.019,151.352
396.105,242.715
396.192,269.107
396.279,214.442
396.366,255.471
396.453,181.759
396.54,182.392
396.627,210.556
396.714,253.481
396.801,217.955
396.888,240.672
396.975,265.509
397.062,232.659
397.149,261.361
397.235,197.596
397.322,269.213
397.409,246.661
397.496,233.246
397.583,236.768
397.67,268.645
397.757,244.377
397.844,251.472
397.931,242.511
398.018,263.621
398.105,272.54
398.191,238.395
398.278,222.39
398.365,198.925
398.452,226.329
398.539,210.594
398.626,166.16
398.713,191.767
398.8,201.021
398.887,212.147
398.973,244.83
399.06,249.45
399.147,241.161
399.234,241.97
399.321,221.356
399.408,254.737
399.495,264.007
399.582,298.114
399.668,292.597
399.755,286.775
399.842,296.617
399.929,236.113
400.016,170.005
400.103,195.86
400.19,217.418
400.276,187.347
400.363,186.153
400.45,198.409
400.537,226.071
400.624,189.341
400.711,205.274
400.798,203.788
400.884,227.509
400.971,178.843
401.058,206.544
401.145,179.034
401.232,226.833
401.319,211.603
401.405,226.885
401.492,244.699
401.579,287.48
401.666,263.002
401.753,289.133
401.84,226.682
401.926,201.655
402.013,222.521
402.1,201.714
402.187,213.096
402.274,227.42
402.36,205.314
402.447,246.023
402.534,228.539
402.621,228.943
402.708,263.915
402.795,233.101
402.881,245.642
402.968,242.706
403.055,258.988
403.142,299.623
403.229,245.347
403.315,236.878
403.402,277.89
403.489,331.993
403.576,353.723
403.663,375.819
403.749,363.394
403.836,382.408
403.923,367.459
404.01,371.939
404.096,410.001
404.183,407.322
404.27,452.605
404.357,526.553
404.444,592.858
404.53,609.994
404.617,658.537
404.704,628.868
404.791,544.86
404.877,528.28
404.964,422.426
405.051,371.527
405.138,458.09
405.224,422.16
405.311,486.147
405.398,569.047
405.485,562.54
405.572,567.282
405.658,543.293
405.745,431.964
405.832,390.503
405.919,358.398
406.005,299.152
406.092,305.468
406.179,354.255
406.266,284.655
406.352,303.295
406.439,313.743
406.526,350.738
406.612,323.494
406.699,388.312
406.786,354.067
406.873,432.151
406.959,479.942
407.046,510.152
407.133,556.511
407.22,708.27
407.306,850.433
407.393,995.717
407.48,1031.73
407.566,928.994
407.653,723.365
407.74,598.637
407.827,453.547
407.913,507.975
408.0,519.22
408.087,585.05
408.173,564.696
408.26,592.168
408.347,572.165
408.434,488.021
408.52,496.319
408.607,376.699
408.694,323.293
408.78,305.077
408.867,317.613
408.954,280.059
409.04,312.748
409.127,331.485
409.214,340.886
409.3,313.584
409.387,292.687
409.474,323.152
409.56,342.65
409.647,337.948
409.734,344.554
409.821,403.214
409.907,415.969
409.994,451.544
410.081,454.835
410.167,486.94
410.254,482.495
410.341,496.422
410.427,594.491
410.514,642.947
410.6,705.038
410.687,655.784
410.774,566.086
410.86,486.244
410.947,394.146
411.034,338.906
411.12,366.116
411.207,352.081
411.294,347.751
411.38,379.788
411.467,368.798
411.554,327.491
411.64,395.774
411.727,396.171
411.814,364.243
411.9,385.754
411.987,376.045
412.073,406.087
412.16,410.941
412.247,375.567
412.333,408.591
412.42,397.532
412.507,366.171
412.593,402.833
412.68,393.456
412.766,404.895
412.853,476.913
412.94,458.005
413.026,558.102
413.113,624.843
413.2,808.506
413.286,1003.55
413.373,1140.92
413.459,1125.19
413.546,880.615
413.633,714.306
413.719,418.864
413.806,228.579
413.892,252.954
413.979,259.902
414.066,218.306
414.152,226.982
414.239,263.11
414.325,261.863
414.412,272.693
414.498,216.681
414.585,242.272
414.672,240.731
414.758,259.216
414.845,263.563
414.931,284.787
415.018,276.155
415.104,259.665
415.191,282.687
415.278,311.429
415.364,334.518
415.451,393.89
415.537,417.038
415.624,554.236
415.71,612.962
415.797,766.36
415.884,970.058
415.97,1165.27
416.057,1371.14
416.143,1272.08
416.23,1088.85
416.316,823.371
416.403,531.916
416.489,444.766
416.576,422.601
416.663,473.003
416.749,369.449
416.836,465.166
416.922,327.165
417.009,359.339
417.095,285.486
417.182,355.473
417.268,341.742
417.355,351.686
417.441,367.009
417.528,359.854
417.614,368.35
417.701,366.598
417.787,415.551
417.874,411.026
417.96,446.835
418.047,465.163
418.133,494.826
418.22,527.669
418.307,548.133
418.393,564.226
418.48,597.058
418.566,516.757
418.653,523.046
418.739,485.239
418.826,513.308
418.912,515.882
418.999,595.177
419.085,639.133
419.172,770.92
419.258,862.699
419.345,874.376
419.431,874.968
419.518,859.71
419.604,855.623
419.69,866.222
419.777,1078.9
419.863,1390.04
419.95,1703.67
420.036,2052.8
420.123,2159.31
420.209,2157.16
420.296,1949.2
420.382,1566.8
420.469,1183.59
420.555,829.928
420.642,652.524
420.728,427.985
420.815,448.632
420.901,443.176
420.988,441.823
421.074,420.677
421.16,443.774
421.247,390.627
421.333,465.651
421.42,466.372
421.506,417.35
421.593,468.512
421.679,449.101
421.766,531.188
421.852,500.932
421.939,533.482
422.025,527.345
422.111,540.028
422.198,538.258
422.284,530.848
422.371,567.191
422.457,597.844
422.544,593.872
422.63,590.257
422.716,627.612
422.803,705.773
422.889,743.855
422.976,761.685
423.062,746.321
423.149,709.623
423.235,641.787
423.321,558.456
423.408,470.641
423.494,494.83
423.581,487.327
