λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,0.0
394.366,1.73872
394.453,0.0
394.54,0.0
394.627,5.83472
394.714,0.0
394.801,0.0
394.888,130.831
394.975,89.2837
395.062,174.289
395.149,128.077
395.236,137.234
395.323,100.046
395.41,145.093
395.497,219.699
395.584,99.4255
395.671,54.3802
395.758,134.067
395.845,135.953
395.932,105.376
396.019,56.6395
396.105,241.795
396.192,190.721
396.279,169.238
396.366,130.755
396.453,142.327
396.54,126.276
396.627,178.654
396.714,188.535
396.801,164.717
396.888,140.327
396.975,163.307
397.062,133.631
397.149,269.958
397.235,125.669
397.322,190.278
397.409,234.29
397.496,188.882
397.583,238.45
397.67,225.591
397.757,183.822
397.844,127.695
397.931,205.7
398.018,174.35
398.105,150.523
398.191,236.852
398.278,264.466
398.365,207.301
398.452,191.547
398.539,277.588
398.626,241.032
398.713,181.844
398.8,187.577
398.887,216.708
398.973,288.469
399.06,210.801
399.147,230.722
399.234,296.781
399.321,270.674
399.408,273.555
399.495,251.336
399.582,318.109
399.668,302.761
399.755,303.862
399.842,207.835
399.929,352.14
400.016,288.323
400.103,236.86
400.19,230.138
400.276,222.006
400.363,181.159
400.45,107.905
400.537,174.103
400.624,157.681
400.711,153.185
400.798,166.839
400.884,196.659
400.971,110.575
401.058,180.889
401.145,30.5882
401.232,189.471
401.319,147.625
401.405,170.611
401.492,131.979
401.579,168.505
401.666,148.928
401.753,244.79
401.84,138.819
401.926,116.984
402.013,285.856
402.1,143.399
402.187,80.6019
402.274,130.854
402.36,149.656
402.447,207.869
402.534,180.545
402.621,148.344
402.708,203.547
402.795,166.097
402.881,105.567
402.968,134.117
403.055,220.859
403.142,239.381
403.229,136.648
403.315,108.376
403.402,204.271
403.489,174.04
403.576,128.863
403.663,185.883
403.749,230.083
403.836,168.486
403.923,112.392
404.01,132.916
404.096,154.453
404.183,160.373
404.27,96.7109
404.357,225.071
404.444,218.882
404.53,226.307
404.617,141.788
404.704,159.003
404.791,240.661
404.877,310.671
404.964,191.285
405.051,190.219
405.138,302.043
405.224,268.919
405.311,258.47
405.398,247.5
405.485,307.201
405.572,313.433
405.658,273.385
405.745,272.204
405.832,290.807
405.919,418.522
406.005,285.289
406.092,329.196
406.179,383.464
406.266,252.533
406.352,220.677
406.439,233.876
406.526,284.279
406.612,269.47
406.699,176.036
406.786,149.979
406.873,260.337
406.959,236.523
407.046,205.986
407.133,250.287
407.22,259.558
407.306,268.607
407.393,296.557
407.48,258.334
407.566,227.121
407.653,201.02
407.74,253.729
407.827,179.18
407.913,287.512
408.0,267.485
408.087,200.698
408.173,172.038
408.26,264.091
408.347,215.058
408.434,106.082
408.52,79.3562
408.607,238.243
408.694,189.349
408.78,147.341
408.867,227.839
408.954,227.923
409.04,172.86
409.127,203.822
409.214,186.404
409.3,201.16
409.387,203.362
409.474,223.098
409.56,163.203
409.647,214.882
409.734,190.22
409.821,137.476
409.907,190.136
409.994,214.679
410.081,269.051
410.167,223.663
410.254,190.929
410.341,195.505
410.427,272.527
410.514,245.088
410.6,205.594
410.687,269.945
410.774,261.319
410.86,146.184
410.947,147.657
411.034,171.913
411.12,191.835
411.207,173.704
411.294,183.01
411.38,247.582
411.467,286.003
411.554,134.693
411.64,174.393
411.727,243.075
411.814,207.896
411.9,163.317
411.987,193.764
412.073,238.763
412.16,266.955
412.247,159.033
412.333,203.983
412.42,237.808
412.507,271.081
412.593,231.03
412.68,166.242
412.766,155.935
412.853,273.534
412.94,166.343
413.026,169.285
413.113,200.599
413.2,224.516
413.286,214.113
413.373,222.401
413.459,246.544
413.546,102.568
413.633,175.996
413.719,187.639
413.806,158.243
413.892,250.224
413.979,276.233
414.066,163.869
414.152,201.548
414.239,242.832
414.325,276.55
414.412,223.094
414.498,181.853
414.585,235.473
414.672,181.625
414.758,210.246
414.845,244.125
414.931,205.317
415.018,112.645
415.104,158.69
415.191,141.473
415.278,168.526
415.364,124.903
415.451,165.306
415.537,166.19
415.624,189.941
415.71,198.853
415.797,148.597
415.884,220.255
415.97,140.041
416.057,156.228
416.143,122.528
416.23,228.195
416.316,187.376
416.403,149.484
416.489,172.6
416.576,227.995
416.663,279.208
416.749,83.9644
416.836,237.477
416.922,158.672
417.009,293.869
417.095,156.031
417.182,140.786
417.268,215.978
417.355,209.134
417.441,243.064
417.528,218.637
417.614,189.762
417.701,187.39
417.787,204.556
417.874,187.479
417.96,273.648
418.047,262.798
418.133,271.172
418.22,209.558
418.307,202.422
418.393,163.813
418.48,231.198
418.566,184.325
418.653,259.574
418.739,252.195
418.826,260.736
418.912,246.117
418.999,285.54
419.085,210.019
419.172,264.944
419.258,249.991
419.345,243.085
419.431,263.668
419.518,217.596
419.604,218.71
419.69,213.406
419.777,266.496
419.863,254.275
419.95,233.978
420.036,278.834
420.123,190.129
420.209,243.026
420.296,240.981
420.382,216.647
420.469,339.919
420.555,190.318
420.642,223.833
420.728,142.215
420.815,266.972
420.901,186.772
420.988,202.568
421.074,220.32
421.16,171.323
421.247,162.813
421.333,210.307
421.42,285.725
421.506,165.254
421.593,137.076
421.679,191.706
421.766,271.953
421.852,237.737
421.939,186.935
422.025,206.441
422.111,253.751
422.198,159.109
422.284,200.123
422.371,188.234
422.457,264.711
422.544,193.924
422.63,137.049
422.716,184.097
422.803,228.547
422.889,242.755
422.976,177.877
423.062,129.042
423.149,211.336
423.235,209.028
423.321,213.294
423.408,147.464
423.494,229.059
423.581,234.296
423.667,233.357
423.753,235.859
423.84,248.908
423.926,281.814
424.013,226.054
424.099,232.742
424.185,166.649
424.272,201.506
424.358,222.188
424.445,217.255
424.531,198.489
424.617,226.63
424.704,233.064
424.79,156.419
424.877,255.611
424.963,246.998
425.049,232.327
425.136,157.503
425.222,216.27
425.308,197.176
425.395,246.475
425.481,256.549
425.568,345.477
425.654,300.324
425.74,260.104
425.827,278.158
425.913,346.782
425.999,342.791
426.086,309.01
426.172,310.347
426.258,366.473
426.345,339.545
426.431,296.677
426.518,334.181
426.604,437.371
426.69,387.946
426.777,395.329
426.863,401.367
426.949,516.215
427.036,503.706
427.122,383.877
427.208,394.222
427.295,409.241
427.381,341.584
427.467,361.286
427.554,353.947
427.64,481.623
427.726,519.671
427.813,598.432
427.899,547.824
427.985,690.826
428.072,622.893
428.158,473.697
428.244,344.762
428.331,328.777
428.417,197.73
428.503,151.892
428.59,183.272
428.676,255.588
428.762,181.661
428.849,265.27
428.935,129.101
429.021,159.716
429.107,260.565
429.194,172.282
429.28,218.747
429.366,198.61
429.453,184.863
429.539,190.342
429.625,204.464
429.712,193.07
429.798,184.564
429.884,160.835
429.97,212.87
430.057,209.375
430.143,208.092
430.229,181.155
430.316,108.455
430.402,187.312
430.488,140.353
430.574,208.851
430.661,196.144
430.747,257.268
430.833,285.556
430.919,188.946
431.006,179.714
431.092,103.0
431.178,144.188
431.264,200.868
431.351,162.953
431.437,170.446
431.523,162.315
431.61,193.625
431.696,142.695
431.782,214.63
431.868,230.809
431.955,198.74
432.041,215.649
432.127,204.334
432.213,211.344
432.3,224.521
432.386,221.725
432.472,276.531
432.558,272.921
432.644,213.268
432.731,209.983
432.817,309.685
