λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,0.0
394.366,0.0
394.453,1.97103
394.54,0.0
394.627,0.0
394.714,0.0
394.801,0.0
394.888,15.038
394.975,0.0
395.062,13.4376
395.149,4.65948
395.236,26.5601
395.323,0.0
395.41,20.9403
395.497,13.1826
395.584,10.0579
395.671,7.05288
395.758,3.76523
395.845,6.2599
395.932,5.31915
396.019,13.3255
396.105,17.1703
396.192,19.4792
396.279,26.9362
396.366,10.5216
396.453,2.87481
396.54,12.4464
396.627,0.0
396.714,16.8297
396.801,0.0
396.888,21.8489
396.975,24.7377
397.062,0.0
397.149,19.0942
397.235,5.72331
397.322,47.0872
397.409,18.5029
397.496,24.646
397.583,18.4116
397.67,6.85479
397.757,26.24
397.844,19.9898
397.931,18.5546
398.018,20.5569
398.105,29.3088
398.191,31.5679
398.278,26.2531
398.365,27.3436
398.452,30.7546
398.539,25.3427
398.626,12.5446
398.713,45.3845
398.8,26.9065
398.887,26.6902
398.973,63.3747
399.06,44.5244
399.147,43.4068
399.234,45.1613
399.321,40.5366
399.408,52.5878
399.495,71.4544
399.582,34.6922
399.668,44.9108
399.755,60.4981
399.842,42.9831
399.929,43.8002
400.016,46.1246
400.103,46.3124
400.19,50.076
400.276,41.0614
400.363,76.128
400.45,67.8607
400.537,52.4481
400.624,41.8377
400.711,31.8151
400.798,56.8331
400.884,65.5969
400.971,51.4645
401.058,35.0181
401.145,54.3987
401.232,27.4966
401.319,56.2833
401.405,75.081
401.492,57.7891
401.579,71.6691
401.666,55.3434
401.753,95.5466
401.84,75.6526
401.926,73.8824
402.013,83.8265
402.1,79.083
402.187,83.5612
402.274,102.174
402.36,84.6474
402.447,74.6843
402.534,70.4677
402.621,83.5571
402.708,78.4933
402.795,71.4075
402.881,59.1373
402.968,60.8763
403.055,72.4272
403.142,76.9185
403.229,81.8241
403.315,95.6336
403.402,58.7177
403.489,97.1142
403.576,79.7785
403.663,75.5329
403.749,77.3584
403.836,84.9323
403.923,116.311
404.01,79.0969
404.096,76.292
404.183,60.479
404.27,66.5104
404.357,112.928
404.444,94.929
404.53,115.37
404.617,105.243
404.704,179.806
404.791,212.228
404.877,275.535
404.964,298.193
405.051,441.165
405.138,609.319
405.224,833.719
405.311,1234.13
405.398,1692.67
405.485,2239.67
405.572,2912.01
405.658,3869.96
405.745,5147.48
405.832,6721.82
405.919,8250.5
406.005,9319.18
406.092,9964.2
406.179,10216.4
406.266,10295.9
406.352,10234.3
406.439,9455.39
406.526,7394.82
406.612,5016.67
406.699,2724.82
406.786,1100.57
406.873,386.897
406.959,214.64
407.046,140.75
407.133,118.877
407.22,118.792
407.306,95.7483
407.393,77.8644
407.48,59.3487
407.566,43.6588
407.653,70.2675
407.74,63.1096
407.827,50.7311
407.913,66.6495
408.0,37.0049
408.087,65.9731
408.173,25.4235
408.26,43.2134
408.347,41.5127
408.434,37.395
408.52,36.3314
408.607,21.1742
408.694,19.505
408.78,11.3323
408.867,28.4122
408.954,45.1203
409.04,27.6318
409.127,39.0883
409.214,28.2441
409.3,0.0
409.387,26.7951
409.474,24.6694
409.56,12.7314
409.647,38.4331
409.734,21.3894
409.821,36.4743
409.907,16.1576
409.994,26.4807
410.081,11.6204
410.167,34.6452
410.254,38.1068
410.341,18.6182
410.427,17.1079
410.514,24.4076
410.6,34.4374
410.687,52.2433
410.774,18.4879
410.86,7.9207
410.947,39.9127
411.034,32.0517
411.12,43.4028
411.207,28.1357
411.294,53.1555
411.38,15.9292
411.467,35.255
411.554,32.719
411.64,61.9886
411.727,59.2756
411.814,42.0961
411.9,81.1636
411.987,112.467
412.073,96.1477
412.16,110.006
412.247,103.56
412.333,117.682
412.42,109.911
412.507,134.025
412.593,177.739
412.68,184.728
412.766,188.186
412.853,142.087
412.94,156.508
413.026,175.698
413.113,163.636
413.2,122.802
413.286,94.7894
413.373,52.0636
413.459,64.3021
413.546,44.8844
413.633,64.0008
413.719,37.3259
413.806,20.9415
413.892,21.385
413.979,29.4556
414.066,12.081
414.152,7.94624
414.239,7.12665
414.325,12.8384
414.412,8.50767
414.498,8.80167
414.585,6.90994
414.672,11.2513
414.758,1.43771
414.845,1.49987
414.931,2.98795
415.018,6.26123
415.104,0.0
415.191,0.0
415.278,0.0
415.364,0.56494
415.451,17.1918
415.537,8.1687
415.624,13.0842
415.71,11.973
415.797,10.6486
415.884,0.0
415.97,0.0
416.057,6.38842
416.143,31.8633
416.23,18.4502
416.316,21.0996
416.403,0.0
416.489,16.6589
416.576,24.7732
416.663,3.37828
416.749,0.0
416.836,38.1329
416.922,0.0
417.009,1.14037
417.095,6.20215
417.182,23.4143
417.268,27.7733
417.355,21.8914
417.441,0.0
417.528,25.8537
417.614,0.0
417.701,0.0
417.787,3.81995
417.874,9.74869
417.96,25.2114
418.047,3.08585
418.133,23.3439
418.22,23.1983
418.307,10.8601
418.393,0.0
418.48,4.81166
418.566,6.47739
418.653,16.6052
418.739,20.7543
418.826,2.23349
418.912,38.9354
418.999,0.0
419.085,7.28417
419.172,22.5732
419.258,27.8027
419.345,2.14285
419.431,22.5207
419.518,17.104
419.604,15.4671
419.69,9.66148
419.777,11.997
419.863,18.9422
419.95,0.0
420.036,12.7903
420.123,0.0
420.209,28.3433
420.296,3.08329
420.382,14.2732
420.469,14.691
420.555,15.1323
420.642,0.0
420.728,0.0
420.815,4.24639
420.901,23.955
420.988,0.0
421.074,8.51764
421.16,6.20844
421.247,4.69885
421.333,0.0
421.42,12.7681
421.506,15.8036
421.593,7.34671
421.679,0.0
421.766,8.39462
421.852,13.243
421.939,0.0
422.025,10.7453
422.111,23.2
422.198,4.76767
422.284,21.2381
422.371,4.46399
422.457,0.0
422.544,11.391
422.63,3.49985
422.716,14.0475
422.803,17.167
422.889,2.92388
422.976,0.0
423.062,7.05495
423.149,0.0
423.235,44.1863
423.321,2.97462
423.408,0.0
423.494,17.2217
423.581,5.67075
423.667,8.82677
423.753,11.4131
423.84,0.0
423.926,23.4551
424.013,0.0
424.099,8.02835
424.185,0.0
424.272,0.0
424.358,18.0934
424.445,16.3041
424.531,4.30981
424.617,0.0
424.704,6.80901
424.79,0.0
424.877,0.0
424.963,1.17838
425.049,9.92328
425.136,12.4698
425.222,11.412
425.308,0.0
425.395,10.6036
425.481,10.1424
425.568,12.1056
425.654,3.94026
425.74,0.0
425.827,1.96921
425.913,0.0
425.999,16.4762
426.086,0.755994
426.172,0.0
426.258,5.7052
426.345,17.0036
426.431,0.397371
426.518,0.0
426.604,14.4472
426.69,0.0
426.777,13.6505
426.863,0.0
426.949,1.50565
427.036,14.7285
427.122,8.54396
427.208,8.61443
427.295,16.2325
427.381,24.0344
427.467,0.0
427.554,7.61286
427.64,0.0
427.726,17.5839
427.813,4.1224
427.899,16.843
427.985,19.5983
428.072,15.0788
428.158,0.0
428.244,15.6474
428.331,26.5429
428.417,6.9663
428.503,0.0
428.59,4.43063
428.676,6.47867
428.762,17.3579
428.849,14.4246
428.935,23.9986
429.021,21.1901
429.107,32.9631
429.194,30.1137
429.28,4.7799
429.366,0.0
429.453,19.1251
429.539,13.711
429.625,1.02127
429.712,10.8038
