λ,Raw_E
394.019,330.684
394.106,311.842
394.192,300.373
394.279,309.451
394.366,339.149
394.453,307.746
394.54,335.053
394.627,319.761
394.714,315.665
394.801,313.481
394.888,426.136
394.975,400.783
395.062,383.737
395.149,373.697
395.236,438.508
395.323,406.992
395.41,418.275
395.497,428.829
395.584,436.784
395.671,384.754
395.758,406.791
395.845,385.419
395.932,488.217
396.019,14693.6
396.105,16181.5
396.192,16207.3
396.279,16217.9
396.366,16221.8
396.453,16259.2
396.54,16257.7
396.627,16224.4
396.714,16227.4
396.801,16238.3
396.888,16266.0
396.975,16225.8
397.062,16230.1
397.149,16218.1
397.235,16281.1
397.322,16197.0
397.409,16249.8
397.496,16236.7
397.583,16261.5
397.67,16235.8
397.757,16262.9
397.844,16285.2
397.931,16257.2
398.018,16244.7
398.105,16211.3
398.191,16229.0
398.278,16250.2
398.365,16239.8
398.452,16221.9
398.539,16194.9
398.626,16243.6
398.713,16224.7
398.8,16216.2
398.887,16272.1
398.973,16227.8
399.06,16199.1
399.147,16199.8
399.234,16259.9
399.321,16285.4
399.408,16229.8
399.495,16204.4
399.582,16244.5
399.668,16277.5
399.755,16225.8
399.842,16145.2
399.929,16255.1
400.016,16261.1
400.103,16236.2
400.19,16240.0
400.276,16250.3
400.363,16265.8
400.45,16221.0
400.537,16205.5
400.624,16223.9
400.711,16257.6
400.798,16250.9
400.884,16226.3
400.971,16273.5
401.058,16215.2
401.145,16212.0
401.232,16272.9
401.319,16273.2
401.405,16230.9
401.492,16200.4
401.579,16198.6
401.666,16229.9
401.753,16172.7
401.84,16269.2
401.926,16252.1
402.013,16183.9
402.1,16251.3
402.187,16218.2
402.274,16256.5
402.36,16250.8
402.447,16255.2
402.534,16233.4
402.621,16226.9
402.708,16248.8
402.795,16229.7
402.881,16260.8
402.968,16250.0
403.055,16252.6
403.142,16238.6
403.229,16225.9
403.315,16261.4
403.402,16273.2
403.489,16251.3
403.576,16260.5
403.663,16226.6
403.749,16232.0
403.836,16266.0
403.923,16242.0
404.01,16287.2
404.096,16256.7
404.183,16238.5
404.27,16261.6
404.357,16225.0
