λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,0.0
394.366,0.0
394.453,0.0
394.54,8.80346
394.627,0.0
394.714,1.43066
394.801,0.0
394.888,83.5785
394.975,93.1991
395.062,143.407
395.149,67.1788
395.236,131.901
395.323,70.1548
395.41,87.0785
395.497,29.8648
395.584,49.9891
395.671,34.3405
395.758,92.9266
395.845,22.6399
395.932,72.5245
396.019,484.768
396.105,895.289
396.192,846.403
396.279,791.849
396.366,816.802
396.453,747.057
396.54,741.454
396.627,815.239
396.714,893.006
396.801,820.603
396.888,796.515
396.975,852.885
397.062,810.164
397.149,827.684
397.235,790.201
397.322,867.862
397.409,830.758
397.496,806.948
397.583,801.309
397.67,850.626
397.757,825.147
397.844,792.098
397.931,827.262
398.018,835.854
398.105,877.222
398.191,862.048
398.278,870.809
398.365,863.737
398.452,901.567
398.539,912.507
398.626,849.269
398.713,863.241
398.8,858.143
398.887,866.914
398.973,901.465
399.06,908.942
399.147,901.834
399.234,843.655
399.321,878.679
399.408,948.412
399.495,929.412
399.582,895.375
399.668,897.067
399.755,931.206
399.842,936.82
399.929,917.607
400.016,899.001
400.103,921.127
400.19,947.319
400.276,924.877
400.363,962.818
400.45,931.913
400.537,989.516
400.624,968.829
400.711,951.632
400.798,1026.82
400.884,1004.1
400.971,930.416
401.058,978.658
401.145,990.505
401.232,981.102
401.319,991.434
401.405,1011.22
401.492,980.185
401.579,1031.39
401.666,973.643
401.753,1084.25
401.84,1010.78
401.926,1022.8
402.013,1083.04
402.1,1012.92
402.187,1070.0
402.274,1030.32
402.36,1058.05
402.447,1109.42
402.534,1078.01
402.621,1074.38
402.708,1137.76
402.795,1096.59
402.881,1062.43
402.968,1115.78
403.055,1114.26
403.142,1231.74
403.229,1141.31
403.315,1092.43
403.402,1111.76
403.489,1102.52
403.576,1161.33
403.663,1134.54
403.749,1171.74
403.836,1133.23
403.923,1141.52
404.01,1152.75
404.096,1163.28
404.183,1191.08
404.27,1211.08
404.357,1192.43
404.444,1206.97
404.53,1190.34
404.617,1265.89
404.704,1271.9
404.791,1253.34
404.877,1357.91
404.964,1283.5
405.051,1285.25
405.138,1312.83
405.224,1314.78
405.311,1331.57
405.398,1320.89
405.485,1357.14
405.572,1370.4
405.658,1334.41
405.745,1380.69
405.832,1367.24
405.919,1410.97
406.005,1337.8
406.092,1382.91
406.179,1469.88
406.266,1458.59
406.352,1438.08
406.439,1464.0
406.526,1513.07
406.612,1464.42
406.699,1491.88
406.786,1425.36
406.873,1529.51
406.959,1538.4
407.046,1534.97
407.133,1491.32
407.22,1524.54
407.306,1521.1
407.393,1534.09
407.48,1558.49
407.566,1612.05
407.653,1549.5
407.74,1642.98
407.827,1548.23
407.913,1680.52
408.0,1670.63
408.087,1709.3
408.173,1689.56
408.26,1731.72
408.347,1720.15
408.434,1698.93
408.52,1761.48
408.607,1740.43
408.694,1714.93
408.78,1783.05
408.867,1802.94
408.954,1796.99
409.04,1806.7
409.127,1827.98
409.214,1824.47
409.3,1840.32
409.387,1799.55
409.474,1866.41
409.56,1904.4
409.647,1921.65
409.734,1856.6
409.821,1926.29
409.907,1864.46
409.994,1968.75
410.081,1979.69
410.167,1981.02
410.254,1960.29
410.341,1913.46
410.427,2010.87
410.514,2040.81
410.6,1983.9
410.687,2081.78
410.774,2032.98
410.86,1993.63
410.947,2080.63
411.034,2078.05
411.12,2146.58
411.207,2085.52
411.294,2054.59
411.38,2110.56
411.467,2131.9
411.554,2081.82
411.64,2148.88
411.727,2222.52
411.814,2169.57
411.9,2177.81
411.987,2204.21
412.073,2219.92
412.16,2285.5
412.247,2228.48
412.333,2288.12
412.42,2231.11
412.507,2280.87
412.593,2361.4
412.68,2283.98
412.766,2258.82
412.853,2314.82
412.94,2327.01
413.026,2386.23
413.113,2397.45
413.2,2411.21
413.286,2361.77
413.373,2356.46
413.459,2454.12
413.546,2376.7
413.633,2459.42
413.719,2469.55
413.806,2477.53
413.892,2481.33
413.979,2554.55
414.066,2487.38
414.152,2506.68
414.239,2550.76
414.325,2559.95
414.412,2555.45
414.498,2561.81
414.585,2616.31
414.672,2604.71
414.758,2639.81
414.845,2627.9
414.931,2658.37
415.018,2686.52
415.104,2654.14
415.191,2667.51
415.278,2675.26
415.364,2711.53
415.451,2725.09
415.537,2733.32
415.624,2758.62
415.71,2776.4
415.797,2752.54
415.884,2801.68
415.97,2801.09
416.057,2855.39
416.143,2822.73
416.23,2896.99
416.316,2897.18
416.403,2834.51
416.489,2937.12
416.576,2953.29
416.663,3002.0
416.749,2969.41
416.836,3131.56
416.922,2993.1
417.009,3124.92
417.095,3027.65
417.182,3116.8
417.268,3095.93
417.355,3140.33
417.441,3179.97
417.528,3135.38
417.614,3186.49
417.701,3202.3
417.787,3180.43
417.874,3311.95
417.96,3258.89
418.047,3283.79
418.133,3327.33
418.22,3347.51
418.307,3360.59
418.393,3292.44
418.48,3390.15
418.566,3343.7
418.653,3388.5
418.739,3460.4
418.826,3443.8
418.912,3472.92
418.999,3532.88
419.085,3482.89
419.172,3580.22
419.258,3617.95
419.345,3615.26
419.431,3636.35
419.518,3630.67
419.604,3675.19
419.69,3748.3
419.777,3695.67
419.863,3713.19
419.95,3806.52
420.036,3871.47
420.123,3695.1
420.209,3870.99
420.296,3840.86
420.382,3804.8
420.469,3911.83
420.555,3881.73
420.642,4005.01
420.728,3855.94
420.815,3930.46
420.901,3979.76
420.988,4056.65
421.074,4009.22
421.16,3949.53
421.247,4066.55
421.333,4127.34
421.42,4171.7
421.506,4066.63
421.593,4191.57
421.679,4212.15
421.766,4288.31
421.852,4238.83
421.939,4253.39
422.025,4242.27
422.111,4257.88
422.198,4274.07
422.284,4364.4
422.371,4413.45
422.457,4403.18
422.544,4379.47
422.63,4419.65
422.716,4418.07
422.803,4481.93
422.889,4520.34
422.976,4522.24
423.062,4517.9
423.149,4596.24
423.235,4623.38
423.321,4626.86
423.408,4559.31
423.494,4694.99
423.581,4736.98
423.667,4685.84
423.753,4792.45
423.84,4722.87
423.926,4849.3
424.013,4749.69
424.099,4858.64
424.185,4848.71
424.272,4855.75
424.358,4977.67
424.445,4951.45
424.531,5002.01
424.617,5005.57
424.704,5022.06
424.79,5012.1
424.877,5089.52
424.963,5147.86
425.049,5162.02
425.136,5095.02
425.222,5173.88
425.308,5166.34
425.395,5323.55
425.481,5327.53
425.568,5355.96
425.654,5370.09
425.74,5356.21
425.827,5372.7
425.913,5480.17
425.999,5488.97
426.086,5510.69
426.172,5519.77
426.258,5577.4
426.345,5612.69
426.431,5575.92
426.518,5678.75
426.604,5703.03
426.69,5644.51
426.777,5750.19
426.863,5775.7
426.949,5884.94
427.036,5834.0
427.122,5935.25
427.208,5932.04
427.295,5910.11
427.381,5986.97
427.467,5958.42
427.554,6134.57
427.64,6109.37
427.726,6038.79
427.813,6117.42
427.899,6065.39
427.985,6166.46
428.072,6248.51
428.158,6248.9
428.244,6370.47
428.331,6325.86
428.417,6311.86
428.503,6333.73
428.59,6475.53
428.676,6435.18
428.762,6486.56
428.849,6574.8
428.935,6484.38
429.021,6604.46
429.107,6610.44
429.194,6706.96
429.28,6648.82
