λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,0.0
394.366,0.0
394.453,0.0
394.54,0.0
394.627,0.0
394.714,0.0
394.801,0.0
394.888,78.8476
394.975,90.9047
395.062,96.5237
395.149,73.1027
395.236,101.87
395.323,80.1839
395.41,110.308
395.497,90.0059
395.584,102.33
395.671,64.7728
395.758,81.0746
395.845,72.8103
395.932,97.7837
396.019,4527.14
396.105,8083.17
396.192,7842.78
396.279,7825.8
396.366,7731.93
396.453,7505.03
396.54,7382.24
396.627,7400.02
396.714,7299.31
396.801,7249.32
396.888,7130.86
396.975,7085.52
397.062,7017.44
397.149,7031.4
397.235,6807.34
397.322,6831.99
397.409,6763.57
397.496,6689.53
397.583,6615.5
397.67,6556.45
397.757,6478.93
397.844,6399.74
397.931,6316.23
398.018,6336.52
398.105,6252.87
398.191,6128.06
398.278,6119.71
398.365,5989.2
398.452,5935.23
398.539,5927.41
398.626,5796.96
398.713,5809.74
398.8,5706.21
398.887,5651.53
398.973,5656.36
399.06,5529.64
399.147,5622.65
399.234,5401.19
399.321,5368.56
399.408,5307.73
399.495,5321.1
399.582,5194.09
399.668,5133.14
399.755,5139.07
399.842,5080.91
399.929,4961.97
400.016,4886.31
400.103,4912.16
400.19,4881.84
400.276,4822.55
400.363,4737.8
400.45,4673.05
400.537,4706.72
400.624,4542.47
400.711,4520.17
400.798,4569.47
400.884,4453.93
400.971,4392.43
401.058,4378.62
401.145,4281.48
401.232,4268.39
401.319,4176.97
401.405,4211.37
401.492,4125.96
401.579,4039.86
401.666,4000.63
401.753,4056.53
401.84,3920.35
401.926,3887.68
402.013,3942.13
402.1,3838.58
402.187,3746.47
402.274,3634.09
402.36,3705.92
402.447,3639.86
402.534,3639.58
402.621,3582.64
402.708,3593.31
402.795,3467.74
402.881,3483.56
402.968,3481.72
403.055,3360.37
403.142,3473.65
403.229,3343.73
403.315,3317.24
403.402,3270.87
403.489,3286.47
403.576,3223.55
403.663,3236.91
403.749,3149.66
403.836,3069.83
403.923,3105.94
404.01,3071.37
404.096,3047.45
404.183,3009.82
404.27,2910.65
404.357,2984.87
404.444,2927.47
404.53,2865.97
404.617,2910.96
404.704,2931.81
404.791,2822.13
404.877,2848.15
404.964,2719.9
405.051,2760.21
405.138,2744.65
405.224,2683.05
405.311,2752.5
405.398,2674.01
405.485,2632.28
405.572,2622.0
405.658,2639.25
405.745,2582.53
405.832,2576.57
405.919,2574.5
406.005,2530.0
406.092,2553.52
406.179,2492.26
406.266,2486.83
406.352,2500.83
406.439,2512.1
406.526,2477.55
406.612,2352.27
406.699,2394.7
406.786,2321.41
406.873,2332.32
406.959,2299.55
407.046,2313.65
407.133,2326.7
407.22,2300.42
407.306,2229.59
407.393,2204.75
407.48,2171.68
407.566,2168.61
407.653,2192.63
407.74,2174.95
407.827,2040.5
407.913,2153.92
408.0,2132.67
408.087,2187.03
408.173,2068.1
408.26,2086.01
408.347,2028.6
408.434,2037.84
408.52,2022.11
408.607,1953.83
408.694,1988.35
408.78,2010.27
408.867,1938.43
408.954,1873.84
409.04,1907.63
409.127,1957.76
409.214,1925.39
409.3,1877.6
409.387,1849.88
409.474,1883.62
409.56,1846.87
409.647,1825.51
409.734,1800.44
409.821,1836.98
409.907,1768.64
409.994,1794.38
410.081,1800.13
410.167,1752.77
410.254,1696.17
410.341,1686.89
410.427,1698.39
410.514,1712.17
410.6,1661.21
410.687,1700.16
410.774,1656.88
410.86,1574.86
410.947,1609.19
411.034,1595.45
411.12,1606.28
411.207,1612.72
411.294,1601.84
411.38,1615.04
411.467,1567.73
411.554,1499.11
411.64,1535.72
411.727,1532.84
411.814,1517.84
411.9,1458.53
411.987,1490.05
412.073,1478.04
412.16,1464.6
412.247,1423.22
412.333,1440.95
412.42,1442.45
412.507,1385.7
412.593,1451.58
412.68,1412.44
412.766,1383.73
412.853,1393.77
412.94,1334.99
413.026,1372.28
413.113,1404.34
413.2,1361.09
413.286,1349.97
413.373,1351.62
413.459,1341.36
413.546,1312.5
413.633,1335.43
413.719,1315.51
413.806,1239.37
413.892,1317.54
413.979,1304.0
414.066,1271.42
414.152,1228.76
414.239,1232.94
414.325,1279.2
414.412,1241.16
414.498,1194.7
414.585,1238.59
414.672,1223.12
414.758,1256.08
414.845,1154.75
414.931,1171.33
415.018,1170.62
415.104,1148.39
415.191,1160.22
415.278,1217.09
415.364,1123.03
415.451,1154.55
415.537,1131.55
415.624,1167.71
415.71,1159.81
415.797,1142.27
415.884,1181.85
415.97,1100.17
416.057,1148.75
416.143,1096.4
416.23,1094.75
416.316,1100.98
416.403,1070.84
416.489,1091.28
416.576,1118.27
416.663,1105.87
416.749,1070.31
416.836,1152.37
416.922,1057.24
417.009,1111.81
417.095,1019.38
417.182,1077.36
417.268,1109.5
417.355,1073.57
417.441,1083.7
417.528,1085.56
417.614,1033.71
417.701,1062.81
417.787,1047.87
417.874,1035.97
417.96,1045.57
418.047,1042.87
418.133,1074.99
418.22,1060.04
418.307,1020.16
418.393,989.832
418.48,1011.47
418.566,986.054
418.653,1015.83
418.739,995.222
418.826,1009.09
418.912,1023.95
418.999,1054.1
419.085,971.077
419.172,995.549
419.258,1010.6
419.345,986.501
419.431,993.92
419.518,1004.33
419.604,998.878
419.69,997.188
419.777,997.695
419.863,1039.87
419.95,959.728
420.036,1008.76
420.123,919.76
420.209,984.23
420.296,960.596
420.382,970.867
420.469,1010.36
420.555,952.43
420.642,962.077
420.728,898.374
420.815,929.124
420.901,964.902
420.988,946.345
421.074,913.73
421.16,941.469
421.247,959.32
421.333,985.738
421.42,951.506
421.506,895.112
421.593,961.292
421.679,900.375
421.766,972.904
421.852,863.459
421.939,937.243
422.025,954.863
422.111,908.836
422.198,962.498
422.284,930.239
422.371,957.026
422.457,954.364
422.544,896.871
422.63,895.441
422.716,894.839
422.803,920.026
422.889,967.938
422.976,921.87
423.062,867.185
423.149,940.806
423.235,935.775
423.321,933.818
423.408,858.563
423.494,913.882
423.581,896.276
423.667,855.445
423.753,925.339
423.84,914.724
423.926,931.109
424.013,861.331
424.099,892.551
424.185,879.742
424.272,886.071
424.358,925.574
424.445,936.579
424.531,879.815
424.617,899.483
424.704,910.292
424.79,863.15
424.877,921.951
424.963,893.486
425.049,873.16
425.136,861.265
425.222,846.03
425.308,851.652
425.395,940.889
425.481,883.38
425.568,899.875
425.654,860.874
425.74,873.552
425.827,889.647
425.913,890.564
425.999,916.461
426.086,896.532
426.172,891.301
426.258,890.122
426.345,899.453
426.431,932.739
426.518,911.542
426.604,945.753
426.69,865.502
426.777,907.65
426.863,885.605
426.949,886.253
427.036,914.281
427.122,904.137
427.208,916.472
427.295,862.982
427.381,850.874
427.467,881.809
427.554,869.627
427.64,902.979
427.726,889.701
427.813,882.319
427.899,910.162
427.985,919.561
428.072,926.02
428.158,875.578
428.244,958.903
428.331,934.08
428.417,910.729
428.503,910.108
428.59,884.673
428.676,889.628
428.762,880.012
428.849,904.611
428.935,921.43
429.021,877.692
429.107,888.229
429.194,900.875
429.28,905.081
429.366,873.224
429.453,886.806
429.539,891.972
429.625,916.331
429.712,912.299
429.798,892.316
429.884,881.74
429.97,909.205
