λ,Raw_E
394.019,15.9586
394.106,4.21676
394.192,0.0
394.279,0.0
394.366,0.0
394.453,0.0
394.54,0.393829
394.627,0.0
394.714,0.0
394.801,0.0
394.888,61.068
394.975,70.8146
395.062,83.8458
395.149,58.0511
395.236,141.66
395.323,55.98
395.41,88.9247
395.497,92.9017
395.584,108.307
395.671,30.3673
395.758,85.0145
395.845,17.067
395.932,78.1162
396.019,72.3094
396.105,107.938
396.192,72.798
396.279,89.5955
396.366,67.9734
396.453,21.0936
396.54,23.5237
396.627,65.2141
396.714,117.641
396.801,81.5623
396.888,89.8879
396.975,75.7421
397.062,64.4437
397.149,113.087
397.235,51.9496
397.322,90.2709
397.409,66.177
397.496,60.1256
397.583,56.7458
397.67,85.465
397.757,54.3105
397.844,60.1748
397.931,58.9404
398.018,90.0391
398.105,98.2524
398.191,59.8029
398.278,114.344
398.365,60.983
398.452,80.6296
398.539,95.025
398.626,59.4849
398.713,69.1708
398.8,41.8941
398.887,38.5992
398.973,69.4854
399.06,81.1317
399.147,76.5735
399.234,73.8301
399.321,47.5841
399.408,68.4212
399.495,96.7334
399.582,96.6319
399.668,60.8591
399.755,93.9963
399.842,87.5245
399.929,74.4266
400.016,29.7488
400.103,46.9125
400.19,97.2751
400.276,48.4903
400.363,74.3732
400.45,100.001
400.537,143.18
400.624,87.3013
400.711,96.3633
400.798,142.087
400.884,124.976
400.971,60.2515
401.058,99.5881
401.145,62.2662
401.232,66.0356
401.319,58.2616
401.405,80.1641
401.492,68.229
401.579,99.1099
401.666,78.8886
401.753,154.628
401.84,78.8856
401.926,67.0585
402.013,159.906
402.1,78.9423
402.187,94.8757
402.274,83.017
402.36,54.2927
402.447,120.948
402.534,117.662
402.621,89.4267
402.708,137.237
402.795,69.9799
402.881,80.7407
402.968,67.1715
403.055,98.31
403.142,145.828
403.229,55.5914
403.315,52.7191
403.402,88.7608
403.489,74.8782
403.576,121.293
403.663,171.509
403.749,192.909
403.836,192.306
403.923,213.966
404.01,251.856
404.096,349.746
404.183,474.124
404.27,573.53
404.357,773.759
404.444,888.316
404.53,1077.94
404.617,1463.44
404.704,2154.21
404.791,2755.42
404.877,3381.59
404.964,3014.71
405.051,2358.39
405.138,1532.5
405.224,620.535
405.311,216.781
405.398,124.549
405.485,147.339
405.572,126.711
405.658,124.032
405.745,69.521
405.832,108.286
405.919,129.662
406.005,33.0088
406.092,73.6034
406.179,121.411
406.266,61.9909
406.352,91.2304
406.439,104.358
406.526,104.659
406.612,86.5103
406.699,84.9986
406.786,44.854
406.873,95.4232
406.959,115.568
407.046,63.8324
407.133,89.6275
407.22,85.3119
407.306,76.1701
407.393,113.664
407.48,150.562
407.566,142.081
407.653,181.8
407.74,275.132
407.827,234.535
407.913,372.27
408.0,385.235
408.087,396.524
408.173,319.131
408.26,260.56
408.347,162.99
408.434,73.4417
408.52,98.4921
408.607,97.6519
408.694,34.99
408.78,81.3751
408.867,69.3288
408.954,52.3543
409.04,52.5288
409.127,107.626
409.214,107.567
409.3,70.4359
409.387,48.2059
409.474,69.6986
409.56,95.4363
409.647,90.6505
409.734,57.1975
409.821,98.9839
409.907,63.2494
409.994,92.6311
410.081,110.398
410.167,84.7884
410.254,68.2413
410.341,46.8747
410.427,100.102
410.514,117.05
410.6,98.4762
410.687,116.235
410.774,120.302
410.86,78.4569
410.947,79.7301
411.034,112.26
411.12,79.3031
411.207,110.433
411.294,90.2076
411.38,138.035
411.467,156.862
411.554,119.495
411.64,136.241
411.727,134.894
411.814,80.853
411.9,82.2101
411.987,66.1146
412.073,99.6397
412.16,89.1178
412.247,58.0762
412.333,83.3817
412.42,57.5422
412.507,81.2156
412.593,103.08
412.68,73.8838
412.766,42.5803
412.853,96.6262
412.94,74.6981
413.026,78.0319
413.113,78.3767
413.2,94.2127
413.286,64.0697
413.373,29.2008
413.459,94.7387
413.546,42.15
413.633,80.6375
413.719,62.2262
413.806,69.6518
413.892,71.7217
413.979,114.267
414.066,50.0524
414.152,83.6979
414.239,59.0893
414.325,95.1464
414.412,92.8461
414.498,32.7972
414.585,80.2144
414.672,80.0628
414.758,70.5379
414.845,87.2357
414.931,67.3445
415.018,95.8082
415.104,25.0872
415.191,40.2798
415.278,62.3487
415.364,54.6191
415.451,84.802
415.537,37.1421
