λ,Raw_E
394.019,0.0
394.106,5.01629
394.192,0.0
394.279,0.0
394.366,0.374157
394.453,0.0
394.54,0.0
394.627,0.0
394.714,0.0
394.801,0.0
394.888,72.5171
394.975,94.8248
395.062,114.956
395.149,67.0427
395.236,123.345
395.323,86.5438
395.41,84.536
395.497,106.535
395.584,103.372
395.671,47.5508
395.758,77.8951
395.845,62.6494
395.932,102.126
396.019,3180.88
396.105,5570.62
396.192,5460.38
396.279,5701.37
396.366,5923.87
396.453,6024.44
396.54,6186.07
396.627,6278.01
396.714,6549.98
396.801,6692.76
396.888,6849.09
396.975,7267.75
397.062,7476.27
397.149,7767.67
397.235,8020.83
397.322,8363.08
397.409,8574.37
397.496,8953.61
397.583,9387.41
397.67,9703.67
397.757,10016.6
397.844,10396.3
397.931,10732.8
398.018,11127.6
398.105,11401.6
398.191,11666.8
398.278,12018.4
398.365,12179.9
398.452,12451.3
398.539,12662.6
398.626,12994.9
398.713,13505.7
398.8,14438.5
398.887,15682.0
398.973,16188.8
399.06,16152.9
399.147,16153.8
399.234,16228.9
399.321,16260.8
399.408,16191.2
399.495,16159.5
399.582,16209.6
399.668,16250.9
399.755,16186.2
399.842,16085.6
399.929,16222.9
400.016,16230.4
400.103,16199.2
400.19,16204.0
400.276,16216.9
400.363,16236.2
400.45,16180.2
400.537,16160.9
400.624,16183.9
400.711,16226.0
400.798,16217.7
400.884,16186.9
400.971,16245.9
401.058,16173.0
401.145,16169.0
401.232,16245.1
401.319,16245.5
401.405,16192.6
401.492,16154.5
401.579,16152.3
401.666,16191.3
401.753,16119.9
401.84,16240.5
401.926,16219.1
402.013,16133.9
402.1,16218.2
402.187,16176.7
402.274,16224.7
402.36,16217.5
402.447,16223.0
402.534,16195.7
402.621,16187.7
402.708,16215.0
402.795,16191.2
402.881,16230.1
402.968,16216.5
403.055,16219.8
403.142,16202.3
403.229,16186.3
403.315,16230.7
403.402,16245.4
403.489,16218.2
403.576,16229.6
403.663,16187.3
403.749,16193.9
403.836,16236.5
403.923,16206.5
404.01,16263.0
404.096,16224.9
404.183,16202.1
404.27,16231.1
404.357,16185.2
404.444,16238.1
404.53,16224.0
404.617,16176.1
404.704,16138.4
404.791,16231.7
404.877,16198.7
404.964,16205.6
405.051,16219.1
405.138,16176.1
405.224,16234.6
405.311,16184.2
405.398,16208.3
405.485,16152.7
405.572,16226.6
405.658,16146.1
405.745,16217.2
405.832,16193.7
405.919,16183.9
406.005,16193.5
406.092,16232.5
406.179,16159.3
406.266,16262.1
406.352,16128.0
406.439,16145.5
406.526,16150.5
406.612,16182.3
406.699,16189.3
406.786,16234.9
406.873,16228.4
406.959,16222.6
407.046,16158.3
407.133,16181.1
407.22,16196.7
407.306,16199.3
407.393,16240.6
407.48,16236.8
407.566,16223.4
407.653,16215.9
407.74,16157.9
407.827,16257.1
407.913,16133.0
408.0,16170.3
408.087,16184.3
408.173,16196.7
408.26,16183.0
408.347,16189.7
408.434,16188.6
408.52,16187.7
408.607,16182.3
408.694,16185.1
408.78,16172.3
408.867,16240.5
408.954,16217.8
409.04,16195.8
409.127,16198.8
409.214,16180.2
409.3,16170.6
409.387,16270.4
409.474,16211.9
409.56,16217.2
409.647,16200.4
409.734,16230.8
409.821,16146.4
409.907,16242.6
409.994,16196.6
410.081,16121.5
