λ,Raw_E
394.019,12.2119
394.106,0.0
394.192,0.0
394.279,0.0
394.366,5.38527
394.453,0.0
394.54,0.0
394.627,0.0
394.714,0.0
394.801,6.7506
394.888,21.308
394.975,37.8359
395.062,29.0367
395.149,24.3528
395.236,60.3887
395.323,22.2649
395.41,50.0192
395.497,32.5136
395.584,53.9993
395.671,30.8125
395.758,13.6992
395.845,7.26322
395.932,39.9056
396.019,30.9275
396.105,53.8078
396.192,46.1465
396.279,25.049
396.366,34.1729
396.453,14.7981
396.54,12.8437
396.627,36.7981
396.714,65.8116
396.801,37.7275
396.888,23.3716
396.975,36.2496
397.062,48.2541
397.149,61.1789
397.235,17.6324
397.322,55.0806
397.409,50.2878
397.496,24.5439
397.583,37.5197
397.67,26.3797
397.757,21.9133
397.844,14.5765
397.931,31.7676
398.018,29.2141
398.105,56.6689
398.191,31.4557
398.278,32.9271
398.365,41.5548
398.452,51.405
398.539,37.6279
398.626,37.0002
398.713,49.2097
398.8,26.3227
398.887,27.6205
398.973,32.6344
399.06,23.1033
399.147,21.7392
399.234,27.8916
399.321,7.27771
399.408,31.205
399.495,22.1017
399.582,29.9623
399.668,27.1969
399.755,26.9528
399.842,57.8063
399.929,19.2552
400.016,23.4385
400.103,36.0877
400.19,31.2534
400.276,6.23594
400.363,23.8501
400.45,34.6843
400.537,36.4506
400.624,66.387
400.711,28.6606
400.798,43.6022
400.884,33.4366
400.971,22.6812
401.058,43.1345
401.145,40.8246
401.232,21.3552
401.319,25.3051
401.405,46.0926
401.492,17.8458
401.579,29.4775
401.666,45.7052
401.753,62.23
401.84,7.93476
401.926,22.1913
402.013,37.5428
402.1,31.4599
402.187,45.6399
402.274,14.8758
402.36,32.6369
402.447,21.1972
402.534,31.7401
402.621,35.5816
402.708,49.0729
402.795,8.2432
402.881,21.9685
402.968,14.8424
403.055,45.8779
403.142,46.5773
403.229,23.9787
403.315,31.7234
403.402,30.1947
403.489,18.9085
403.576,26.4867
403.663,25.9077
403.749,25.7449
403.836,32.1153
403.923,25.7472
404.01,18.0502
404.096,43.6133
404.183,49.2465
404.27,5.6141
404.357,32.3857
404.444,28.2328
404.53,30.509
404.617,42.1819
404.704,60.4724
404.791,9.62879
404.877,56.3973
404.964,28.1974
405.051,28.4808
405.138,29.615
405.224,21.9955
405.311,47.6423
405.398,37.2128
405.485,30.9774
405.572,35.9376
405.658,27.8647
405.745,19.4275
405.832,39.5965
405.919,53.2904
406.005,21.5184
406.092,28.7111
