λ,Raw_E
394.019,0.0
394.106,2.01916
394.192,3.38449
394.279,0.993122
394.366,6.11516
394.453,0.0
394.54,7.48049
394.627,0.0
394.714,9.39196
394.801,0.0
394.888,85.7295
394.975,74.3028
395.062,72.5491
395.149,49.6742
395.236,110.117
395.323,63.5821
395.41,70.4955
395.497,61.9352
395.584,78.0821
395.671,70.0163
395.758,42.6275
395.845,76.4154
395.932,54.9674
396.019,120.445
396.105,211.262
396.192,181.13
396.279,172.067
396.366,191.797
396.453,121.907
396.54,131.279
396.627,144.424
396.714,201.002
396.801,165.749
396.888,162.252
396.975,182.993
397.062,190.011
397.149,228.543
397.235,158.771
397.322,189.428
397.409,210.567
397.496,210.532
397.583,237.537
397.67,219.444
397.757,211.832
397.844,230.123
397.931,268.129
398.018,279.136
398.105,286.144
398.191,289.681
398.278,371.161
398.365,365.173
398.452,373.189
398.539,404.967
398.626,439.723
398.713,427.101
398.8,441.543
398.887,477.791
398.973,511.02
399.06,603.022
399.147,587.633
399.234,624.487
399.321,672.139
399.408,718.628
399.495,762.85
399.582,786.58
399.668,806.185
399.755,880.646
399.842,971.041
399.929,828.617
400.016,753.499
400.103,593.942
400.19,453.571
400.276,281.232
400.363,160.435
400.45,154.122
400.537,171.134
400.624,141.778
400.711,148.154
400.798,189.539
400.884,157.554
400.971,134.556
401.058,136.316
401.145,135.021
401.232,134.76
401.319,129.906
401.405,151.469
401.492,136.787
401.579,175.746
401.666,152.633
401.753,194.329
401.84,138.431
401.926,130.881
402.013,173.319
402.1,138.859
402.187,142.868
402.274,155.554
402.36,165.67
402.447,207.471
402.534,158.311
402.621,157.623
402.708,216.078
402.795,140.482
402.881,173.503
402.968,186.131
403.055,211.97
403.142,233.491
403.229,175.392
403.315,178.938
403.402,194.282
403.489,214.797
403.576,236.528
403.663,234.048
403.749,238.552
403.836,229.714
403.923,245.622
404.01,244.094
404.096,293.625
404.183,298.592
404.27,303.187
404.357,350.922
404.444,360.156
404.53,356.538
404.617,403.989
404.704,436.307
404.791,408.004
404.877,451.771
404.964,443.676
405.051,462.681
405.138,561.533
405.224,566.835
405.311,566.925
405.398,607.773
405.485,625.568
405.572,675.912
405.658,695.068
405.745,739.933
405.832,792.408
405.919,898.474
406.005,863.804
406.092,828.614
406.179,715.745
406.266,522.173
406.352,362.228
406.439,263.995
406.526,249.38
406.612,239.886
406.699,205.308
406.786,163.416
406.873,215.832
406.959,208.737
407.046,177.78
407.133,209.393
407.22,194.308
407.306,180.277
407.393,179.471
407.48,186.543
407.566,182.106
407.653,129.122
407.74,185.164
407.827,109.979
407.913,214.924
408.0,170.464
408.087,195.334
408.173,167.334
408.26,190.164
408.347,192.553
408.434,172.306
408.52,191.8
408.607,181.406
408.694,174.968
408.78,188.155
408.867,200.145
408.954,164.775
409.04,196.918
409.127,210.739
409.214,178.361
409.3,187.65
409.387,184.776
409.474,201.588
409.56,208.251
409.647,196.722
409.734,188.856
409.821,215.295
409.907,144.491
409.994,182.796
410.081,175.438
410.167,169.586
410.254,179.068
410.341,136.743
410.427,197.675
410.514,203.533
410.6,196.538
410.687,204.901
410.774,166.267
410.86,184.728
410.947,178.374
411.034,180.204
411.12,184.204
411.207,197.748
411.294,193.146
411.38,214.805
411.467,233.854
411.554,175.889
411.64,197.478
411.727,211.801
411.814,179.054
411.9,197.834
411.987,194.679
412.073,201.511
412.16,205.545
412.247,192.29
412.333,207.564
412.42,182.032
412.507,188.082
412.593,217.097
412.68,217.278
412.766,162.362
412.853,202.158
412.94,191.169
413.026,217.812
413.113,178.329
413.2,219.451
413.286,233.184
413.373,188.413
413.459,239.587
413.546,207.183
413.633,241.304
413.719,233.675
413.806,200.13
413.892,267.104
413.979,271.048
414.066,250.205
414.152,257.515
414.239,266.61
414.325,295.401
414.412,271.005
414.498,190.69
414.585,216.281
414.672,162.311
414.758,179.977
414.845,164.117
414.931,159.946
415.018,157.322
415.104,159.126
415.191,155.661
415.278,165.834
415.364,168.989
415.451,157.091
415.537,154.025
415.624,174.077
415.71,194.574
415.797,180.582
415.884,194.498
415.97,182.18
416.057,240.316
416.143,194.785
416.23,192.596
416.316,198.272
416.403,169.507
416.489,233.363
416.576,224.304
416.663,229.377
416.749,187.81
416.836,265.231
416.922,189.216
417.009,259.074
417.095,196.144
417.182,223.532
417.268,222.908
417.355,268.351
417.441,261.555
417.528,275.699
417.614,278.461
417.701,290.636
417.787,301.906
417.874,366.739
417.96,362.681
418.047,332.949
418.133,357.97
418.22,357.498
418.307,269.282
418.393,274.999
418.48,323.668
418.566,282.416
418.653,288.978
418.739,289.673
418.826,303.816
418.912,308.575
418.999,329.707
419.085,331.61
419.172,370.554
419.258,333.446
419.345,390.725
419.431,391.59
419.518,359.675
419.604,436.962
419.69,455.752
419.777,472.37
419.863,538.3
419.95,568.479
420.036,637.173
420.123,580.666
420.209,590.523
420.296,555.147
420.382,477.764
420.469,439.982
420.555,358.838
420.642,359.201
420.728,285.121
420.815,342.359
420.901,353.287
420.988,370.503
421.074,317.407
421.16,319.752
421.247,355.625
421.333,410.988
421.42,389.863
421.506,363.506
421.593,381.9
421.679,334.636
421.766,374.397
421.852,347.691
421.939,360.035
422.025,388.578
422.111,377.503
422.198,381.74
422.284,442.871
422.371,496.417
422.457,501.129
422.544,490.056
422.63,495.999
422.716,494.306
422.803,510.208
422.889,536.275
422.976,504.952
423.062,472.932
423.149,538.088
423.235,549.987
423.321,585.44
423.408,651.361
423.494,711.868
423.581,791.2
423.667,941.516
423.753,1005.68
423.84,948.093
423.926,931.437
424.013,723.488
424.099,629.37
424.185,490.131
424.272,444.304
424.358,476.161
424.445,531.677
424.531,480.374
424.617,554.928
424.704,567.921
424.79,580.581
424.877,628.186
424.963,653.516
425.049,695.995
425.136,704.58
425.222,795.021
425.308,834.777
425.395,945.859
425.481,943.783
425.568,1132.04
425.654,1143.55
425.74,1195.01
425.827,1283.46
425.913,1404.53
425.999,1491.05
426.086,1536.38
426.172,1633.55
426.258,1750.61
426.345,1856.88
426.431,1974.54
426.518,2021.07
426.604,2220.21
426.69,2307.35
426.777,2327.92
426.863,2458.52
426.949,2513.51
427.036,2503.58
427.122,2380.66
427.208,2351.49
427.295,2156.01
427.381,2218.72
427.467,2415.41
427.554,2866.62
427.64,3522.02
427.726,4445.36
427.813,5157.78
427.899,5779.82
427.985,5782.93
428.072,4990.95
428.158,3547.86
428.244,2234.18
428.331,982.741
428.417,319.321
428.503,217.939
428.59,220.63
428.676,222.308
428.762,222.25
428.849,216.265
428.935,200.316
429.021,186.616
429.107,227.463
429.194,204.61
429.28,196.529
429.366,190.34
429.453,186.445
429.539,216.187
429.625,197.948
429.712,178.897
429.798,173.933
429.884,190.663
429.97,196.556
430.057,219.67
430.143,183.601
430.229,190.713
430.316,174.361
430.402,178.34
430.488,186.809
430.574,224.656
430.661,192.369
430.747,213.74
430.833,241.088
430.919,177.246
431.006,241.015
431.092,169.389
431.178,203.016
431.264,186.337
431.351,197.278
431.437,210.014
431.523,198.147
431.61,169.98
431.696,250.534
431.782,202.739
431.868,200.949
431.955,201.502
432.041,204.375
432.127,213.212
432.213,216.54
432.3,224.065
432.386,223.581
432.472,260.561
432.558,283.805
432.644,263.968
432.731,283.898
432.817,296.019
432.903,309.082
432.989,290.564
433.076,308.63
433.162,261.083
433.248,318.669
433.334,322.838
433.421,328.148
433.507,367.999
433.593,359.343
433.679,387.539
433.765,372.532
433.852,409.636
433.938,447.321
434.024,507.7
434.11,559.587
434.196,557.365
434.283,606.018
434.369,617.37
434.455,599.619
434.541,554.215
434.627,519.775
434.714,440.729
434.8,366.853
434.886,302.108
434.972,265.936
435.058,224.761
435.145,237.621
435.231,176.162
435.317,215.854
435.403,237.854
435.489,246.476
435.576,242.227
435.662,234.925
435.748,226.411
435.834,186.559
435.92,228.764
436.006,204.904
436.093,186.207
436.179,194.303
436.265,203.513
436.351,199.993
436.437,180.03
436.523,159.833
436.61,181.068
436.696,171.861
436.782,172.575
436.868,261.53
436.954,197.888
437.04,195.785
437.126,220.442
437.213,195.716
437.299,244.936
437.385,254.14
437.471,219.531
437.557,213.392
437.643,198.429
437.729,180.75
437.816,228.26
437.902,202.769
437.988,247.42
438.074,252.409
438.16,205.602
438.246,200.683
438.332,256.708
438.419,213.686
438.505,202.24
438.591,228.514
438.677,214.868
438.763,204.524
438.849,198.508
438.935,218.6
439.021,207.854
439.107,173.916
439.194,194.703
439.28,202.001
439.366,180.387
439.452,183.404
439.538,233.184
439.624,194.328
439.71,206.669
439.796,192.034
439.882,229.793
439.969,194.284
440.055,187.926
440.141,217.168
440.227,244.172
440.313,206.426
440.399,226.405
440.485,207.71
440.571,226.568
440.657,219.713
440.743,236.307
440.829,181.274
440.915,236.678
441.002,210.049
441.088,230.659
441.174,213.325
441.26,240.248
441.346,256.419
441.432,283.32
441.518,300.294
441.604,286.529
441.69,300.27
441.776,296.769
441.862,303.099
441.948,240.69
442.034,221.363
442.12,237.123
442.206,189.098
442.292,229.892
442.379,211.233
442.465,209.847
442.551,233.79
442.637,220.437
442.723,220.815
442.809,199.692
442.895,241.187
442.981,225.341
443.067,199.127
443.153,202.338
443.239,212.251
443.325,204.635
443.411,186.877
443.497,223.229
443.583,205.065
443.669,199.838
443.755,199.181
443.841,184.578
443.927,165.154
444.013,197.443
444.099,184.924
444.185,218.635
444.271,216.193
444.357,200.375
444.443,231.539
444.529,214.109
444.615,235.778
444.701,227.339
444.787,227.837
444.873,261.51
444.959,255.622
445.045,278.234
445.131,256.446
445.217,237.631
445.303,252.883
445.389,256.451
445.475,248.006
445.561,246.53
445.647,250.062
445.733,220.919
445.819,260.228
445.905,295.035
445.991,250.326
446.077,337.583
446.163,282.359
446.249,244.489
446.335,282.63
446.421,250.441
446.507,223.585
446.593,246.135
446.679,281.546
446.765,266.762
446.851,258.451
446.937,281.076
447.023,239.136
447.109,268.872
447.195,242.911
447.281,252.646
447.367,271.924
447.452,282.732
447.538,273.884
447.624,275.418
447.71,316.376
447.796,285.944
447.882,329.642
447.968,291.455
448.054,327.771
