λ,alta_E,bassa-esp_E,Raw_E
394.019,1.37534,0.0,0.0
394.106,0.0,0.0,17.4856
394.192,9.56734,0.0,0.0
394.279,0.179651,0.0,7.00565
394.366,4.9252,20.5503,0.0
394.453,0.0,3.6202,0.0
394.54,7.10974,12.3583,0.0
394.627,0.0,0.0,0.0
394.714,6.01747,0.0,0.0
394.801,0.0,0.0,0.0
394.888,16.743,10.1619,34.2186
394.975,0.0,5.99556,36.4242
395.062,23.1235,10.7673,32.9532
395.149,23.2914,0.0,39.4016
395.236,46.6861,0.0,51.3275
395.323,20.5515,2.60794,33.658
395.41,38.4807,3.74956,50.768
395.497,31.8795,16.6415,28.0559
395.584,17.0154,7.37904,37.7678
395.671,3.97122,0.0,36.7386
395.758,26.8677,0.0,31.5092
395.845,6.62464,0.0,5.25865
395.932,32.082,18.296,40.0003
396.019,136.911,10.8277,34.783
396.105,238.161,61.7833,63.6709
396.192,217.224,55.9323,52.564
396.279,244.095,51.6903,40.6598
396.366,267.341,44.1914,76.1932
396.453,309.81,79.4644,15.1705
396.54,376.482,85.1403,7.84136
396.627,413.638,99.9951,26.1559
396.714,489.167,103.114,49.5295
396.801,384.296,89.326,27.6707
396.888,299.808,76.4427,28.1065
396.975,188.528,51.1702,44.6212
397.062,114.213,19.6563,22.4617
397.149,148.361,20.2961,44.5949
397.235,101.733,15.8454,23.9085
397.322,133.992,33.6993,17.6647
397.409,113.432,35.42,58.2714
397.496,106.587,27.0049,26.8512
397.583,126.098,25.4843,14.9589
397.67,132.069,47.4503,34.857
397.757,98.0899,0.0,29.8226
397.844,100.545,11.634,17.532
397.931,111.083,17.6738,28.8893
398.018,111.398,18.0221,16.0974
398.105,108.622,6.93057,28.3393
398.191,75.984,26.4417,47.3113
398.278,81.908,0.478952,40.9473
398.365,100.213,32.8559,22.3881
398.452,95.0735,26.991,47.5592
398.539,113.01,11.7749,52.1159
398.626,85.1957,16.8894,21.2974
398.713,98.1358,12.0799,16.2152
398.8,104.538,17.4936,0.0
398.887,78.9713,15.7812,38.0106
398.973,99.4086,27.4883,51.3482
399.06,95.4382,22.3091,46.8316
399.147,83.2383,6.22546,23.7091
399.234,107.536,6.85449,41.1803
399.321,88.3543,9.18373,32.9211
399.408,100.676,12.8178,19.5744
399.495,112.82,16.5007,34.7222
399.582,87.548,15.5574,34.0263
399.668,107.864,14.0719,15.0204
399.755,74.9158,3.38226,42.1471
399.842,118.748,29.8329,50.2079
399.929,81.3965,17.3242,8.21401
400.016,69.3691,15.6386,2.74012
400.103,86.3926,4.32071,6.3834
400.19,120.246,15.9333,42.4209
400.276,101.933,30.5232,45.9538
400.363,82.9044,6.25786,35.117
400.45,98.18,36.788,50.9388
400.537,107.642,27.1923,47.0203
400.624,95.8307,17.5115,46.1319
400.711,107.484,24.7905,15.1865
400.798,96.7736,10.339,58.8167
400.884,80.3717,36.1705,40.2302
400.971,87.0315,0.0,18.4911
401.058,108.937,15.8162,36.5741
401.145,117.165,20.3373,29.2366
401.232,89.4544,5.43334,10.8105
401.319,114.198,25.926,19.9889
401.405,71.7312,2.75557,35.4127
401.492,83.505,0.0,23.9758
401.579,97.6596,11.9148,48.78
401.666,94.9778,0.0,26.4374
401.753,116.918,20.4933,45.6468
401.84,75.862,15.6702,34.3552
401.926,122.195,1.64408,23.8899
402.013,147.1,34.843,40.3303
402.1,135.741,34.1103,27.6058
402.187,186.897,63.1701,17.3221
402.274,207.167,56.1529,34.0416
402.36,216.321,51.2948,22.1696
402.447,251.011,49.276,38.0185
402.534,303.163,72.2079,25.4535
402.621,371.222,73.6038,57.1947
402.708,489.742,98.186,57.7503
402.795,549.293,131.599,5.61613
402.881,547.644,130.316,44.3815
402.968,440.362,109.153,24.2082
403.055,370.679,77.3037,34.2606
403.142,228.796,24.6203,60.8589
403.229,121.376,19.7692,43.5514
403.315,98.7095,15.1017,16.5157
403.402,101.33,19.3698,18.3168
403.489,109.539,12.8121,39.0874
403.576,119.858,26.8116,35.2071
403.663,91.4483,19.252,27.2769
403.749,90.2872,11.534,35.6732
403.836,98.5656,16.6417,36.8519
403.923,82.4897,16.2833,22.9605
404.01,76.6741,20.719,21.514
404.096,107.31,35.9525,41.5006
404.183,81.8047,0.0,23.3678
404.27,90.1098,22.758,23.2078
404.357,118.209,27.9283,51.8536
404.444,83.9145,23.2436,15.1011
404.53,82.1056,18.1763,16.842
404.617,91.9046,26.5612,28.0063
404.704,120.488,13.4057,65.328
404.791,79.9857,7.75837,25.0987
404.877,120.302,27.5144,59.9532
404.964,97.4121,34.824,38.7021
405.051,98.1766,5.19484,16.8021
405.138,107.462,6.35366,51.2093
405.224,97.0058,8.66683,27.9193
405.311,116.711,0.0,34.5177
405.398,87.8467,18.5218,40.0593
405.485,104.936,22.5777,29.8425
405.572,87.2371,15.5238,44.9111
405.658,108.557,13.0926,36.4666
405.745,85.9333,24.5241,34.8691
405.832,109.303,28.4567,33.1172
405.919,119.055,21.3355,58.98
406.005,105.407,0.0,24.5787
406.092,116.074,5.59777,15.5852
406.179,117.393,21.4107,58.6834
