λ,Raw_E
394.019,291.635
394.106,329.865
394.192,318.669
394.279,317.259
394.366,331.23
394.453,287.812
394.54,302.285
394.627,328.226
394.714,303.923
394.801,302.831
394.888,318.843
394.975,311.386
395.062,299.696
395.149,313.955
395.236,317.256
395.323,293.155
395.41,313.056
395.497,315.376
395.584,310.525
395.671,302.03
395.758,304.265
395.845,315.271
395.932,324.715
396.019,399.12
396.105,485.478
396.192,477.401
396.279,480.29
396.366,472.703
396.453,462.888
396.54,500.548
396.627,486.122
396.714,486.441
396.801,465.578
396.888,481.285
396.975,494.336
397.062,500.134
397.149,482.751
397.235,507.452
397.322,487.896
397.409,489.508
397.496,509.518
397.583,475.757
397.67,496.67
397.757,470.315
397.844,490.312
397.931,509.005
398.018,508.545
398.105,491.66
398.191,493.291
398.278,490.058
398.365,500.28
398.452,505.199
398.539,483.769
398.626,506.071
398.713,486.946
398.8,483.815
398.887,498.307
398.973,495.458
399.06,502.946
399.147,510.33
399.234,509.865
399.321,509.975
399.408,521.702
399.495,513.129
399.582,479.597
399.668,512.86
399.755,521.096
399.842,512.242
399.929,507.883
400.016,504.695
400.103,526.713
400.19,513.39
400.276,526.379
400.363,502.854
400.45,519.112
400.537,533.899
400.624,528.441
400.711,509.831
400.798,544.684
400.884,537.761
400.971,528.911
401.058,517.66
401.145,542.461
401.232,520.983
401.319,503.239
401.405,518.715
401.492,515.253
401.579,530.246
401.666,524.707
401.753,531.495
401.84,530.212
401.926,527.224
402.013,530.025
402.1,549.058
402.187,523.712
402.274,554.052
402.36,541.951
402.447,541.198
402.534,529.401
402.621,546.781
402.708,538.644
402.795,529.347
402.881,550.84
402.968,557.23
403.055,538.155
403.142,535.761
403.229,542.669
403.315,536.648
403.402,548.021
403.489,552.336
403.576,550.835
403.663,554.422
403.749,544.945
403.836,574.401
403.923,580.595
404.01,553.693
404.096,559.243
404.183,547.773
404.27,555.221
404.357,564.774
404.444,557.217
404.53,545.852
404.617,569.034
404.704,575.135
404.791,559.87
404.877,555.924
404.964,555.462
405.051,597.949
405.138,559.477
405.224,587.486
405.311,566.401
405.398,568.055
405.485,556.192
405.572,588.208
405.658,585.604
405.745,572.531
405.832,599.828
405.919,593.431
406.005,571.7
406.092,599.748
406.179,611.431
406.266,595.188
406.352,584.568
406.439,600.889
406.526,597.125
406.612,606.518
406.699,599.502
406.786,583.938
406.873,609.529
406.959,612.736
407.046,611.964
407.133,600.496
407.22,610.787
407.306,632.663
407.393,627.152
407.48,592.7
407.566,628.857
407.653,603.644
407.74,626.706
407.827,595.128
407.913,631.049
408.0,627.4
408.087,635.214
408.173,603.142
408.26,633.56
408.347,626.268
408.434,616.698
408.52,659.558
408.607,631.094
408.694,668.811
408.78,635.889
408.867,648.177
408.954,634.251
409.04,647.914
409.127,622.827
409.214,626.699
409.3,669.729
409.387,643.621
409.474,622.438
409.56,682.03
409.647,673.91
409.734,646.968
409.821,647.048
409.907,669.501
409.994,678.507
410.081,672.964
410.167,659.13
410.254,687.846
410.341,639.367
410.427,655.075
410.514,635.949
410.6,651.889
410.687,656.363
410.774,661.394
410.86,672.8
410.947,653.897
411.034,686.383
411.12,673.712
411.207,673.249
411.294,675.55
411.38,690.359
411.467,699.853
411.554,669.9
411.64,663.809
411.727,665.802
411.814,684.409
411.9,689.125
411.987,692.456
412.073,669.76
412.16,681.83
412.247,682.647
412.333,693.445
412.42,669.577
412.507,702.299
412.593,697.228
412.68,683.177
412.766,683.24
412.853,698.715
412.94,712.372
413.026,698.861
413.113,720.054
413.2,721.791
413.286,713.736
413.373,724.75
413.459,718.725
413.546,716.471
413.633,720.135
413.719,717.009
413.806,704.984
413.892,719.909
413.979,676.809
414.066,707.859
414.152,738.117
414.239,728.826
414.325,733.358
414.412,734.962
414.498,730.525
414.585,758.983
414.672,742.803
414.758,714.449
414.845,731.203
414.931,744.672
415.018,746.783
415.104,753.518
415.191,744.081
415.278,729.596
415.364,726.96
415.451,753.209
415.537,708.738
415.624,760.404
415.71,732.084
415.797,752.675
415.884,748.047
415.97,719.197
416.057,747.538
416.143,757.052
416.23,759.188
416.316,759.116
416.403,758.579
416.489,765.187
416.576,765.791
416.663,764.454
416.749,760.944
416.836,763.71
416.922,774.067
417.009,749.269
417.095,771.838
417.182,763.295
417.268,758.143
417.355,770.712
417.441,796.642
417.528,819.94
417.614,782.885
417.701,760.747
417.787,784.733
417.874,791.493
417.96,830.945
418.047,786.643
418.133,795.372
418.22,834.581
418.307,835.64
418.393,784.392
418.48,819.82
418.566,798.61
418.653,832.61
418.739,803.018
418.826,817.0
418.912,837.736
418.999,814.71
419.085,839.479
419.172,847.473
419.258,827.043
419.345,843.332
419.431,865.669
419.518,826.697
419.604,839.231
419.69,854.593
419.777,840.651
419.863,846.9
419.95,860.76
420.036,858.354
420.123,880.216
420.209,833.797
420.296,871.343
420.382,898.54
420.469,900.433
420.555,894.345
420.642,886.018
420.728,856.494
420.815,884.74
420.901,890.938
420.988,893.473
421.074,893.105
421.16,903.215
421.247,914.56
421.333,903.464
421.42,928.891
421.506,853.413
421.593,882.152
421.679,899.02
421.766,910.549
421.852,919.167
421.939,911.027
422.025,936.904
422.111,922.759
422.198,899.167
422.284,946.929
422.371,965.158
422.457,918.953
422.544,946.552
422.63,924.71
422.716,931.182
422.803,905.519
422.889,968.594
422.976,968.209
423.062,952.546
423.149,942.369
423.235,965.487
423.321,955.547
423.408,957.269
423.494,938.029
423.581,956.561
423.667,971.18
423.753,974.652
423.84,1003.53
423.926,961.829
424.013,995.715
424.099,975.052
424.185,982.186
424.272,968.811
424.358,1025.51
424.445,1031.25
424.531,1021.86
424.617,996.938
424.704,999.861
424.79,1017.04
424.877,1032.56
424.963,996.657
425.049,1012.98
425.136,1035.46
425.222,1036.17
425.308,1063.25
425.395,1039.38
425.481,1053.12
425.568,1068.0
425.654,1070.51
425.74,1067.87
425.827,1063.26
425.913,1063.64
425.999,1054.15
426.086,1042.02
426.172,1066.83
426.258,1061.52
426.345,1082.56
426.431,1092.86
426.518,1074.25
426.604,1100.45
426.69,1109.52
426.777,1101.96
426.863,1109.89
426.949,1120.07
427.036,1081.4
427.122,1117.07
427.208,1100.35
427.295,1125.97
427.381,1124.36
427.467,1123.06
427.554,1137.32
427.64,1127.47
427.726,1146.87
427.813,1136.37
427.899,1127.59
427.985,1139.19
428.072,1162.89
428.158,1176.04
428.244,1179.77
428.331,1177.04
428.417,1163.3
428.503,1180.11
428.59,1182.5
428.676,1187.3
428.762,1164.59
428.849,1218.76
428.935,1198.91
429.021,1174.52
429.107,1170.79
429.194,1220.14
429.28,1215.81
429.366,1216.16
429.453,1226.24
429.539,1245.99
429.625,1221.19
429.712,1264.51
429.798,1220.91
429.884,1271.58
429.97,1234.9
430.057,1258.32
430.143,1245.25
430.229,1243.25
430.316,1245.86
430.402,1326.45
430.488,1251.33
430.574,1254.6
430.661,1262.02
430.747,1250.83
430.833,1302.95
430.919,1289.62
431.006,1314.47
431.092,1262.64
431.178,1294.32
431.264,1312.37
431.351,1288.05
431.437,1338.23
431.523,1312.63
431.61,1336.04
431.696,1350.86
431.782,1362.59
431.868,1371.88
431.955,1308.46
432.041,1335.38
432.127,1384.98
432.213,1341.98
