λ,Raw_E
394.019,0.0
394.106,2.33151
394.192,2.05844
394.279,6.49374
394.366,0.0
394.453,0.0
394.54,0.0
394.627,13.8003
394.714,0.0
394.801,0.0
394.888,76.2114
394.975,97.2797
395.062,106.449
395.149,89.8543
395.236,123.263
395.323,104.035
395.41,77.9076
395.497,107.577
395.584,99.6937
395.671,41.6566
395.758,95.0955
395.845,55.7016
395.932,77.3981
396.019,229.438
396.105,388.795
396.192,352.928
396.279,344.957
396.366,348.577
396.453,268.583
396.54,302.531
396.627,308.304
396.714,320.644
396.801,294.13
396.888,276.433
396.975,315.47
397.062,290.812
397.149,279.372
397.235,262.576
397.322,299.24
397.409,257.847
397.496,253.442
397.583,221.739
397.67,277.1
397.757,258.839
397.844,207.77
397.931,234.581
398.018,266.614
398.105,278.537
398.191,279.617
398.278,303.207
398.365,266.635
398.452,275.744
398.539,292.23
398.626,293.125
398.713,318.186
398.8,341.366
398.887,303.341
398.973,319.093
399.06,306.237
399.147,270.642
399.234,285.104
399.321,226.534
399.408,288.041
399.495,305.229
399.582,282.811
399.668,249.715
399.755,261.37
399.842,299.61
399.929,222.995
400.016,251.915
400.103,245.821
400.19,254.545
400.276,262.703
400.363,232.837
400.45,266.392
400.537,287.227
400.624,267.701
400.711,250.593
400.798,259.21
400.884,253.44
400.971,214.604
401.058,249.951
401.145,227.903
401.232,227.095
401.319,223.061
401.405,272.477
401.492,237.588
401.579,289.927
401.666,245.788
401.753,294.037
401.84,252.339
401.926,245.335
402.013,288.046
402.1,249.763
402.187,236.296
402.274,247.889
402.36,275.482
402.447,283.15
402.534,311.541
402.621,311.126
402.708,342.82
402.795,311.734
402.881,321.544
402.968,313.965
403.055,351.0
403.142,423.585
403.229,369.582
403.315,359.201
403.402,381.372
403.489,377.038
403.576,357.536
403.663,397.927
403.749,363.656
403.836,349.083
403.923,367.449
404.01,361.825
404.096,411.629
404.183,437.349
404.27,388.696
404.357,415.951
404.444,386.682
404.53,385.249
404.617,417.408
404.704,354.153
404.791,380.463
404.877,462.46
404.964,365.618
405.051,381.346
405.138,416.3
405.224,383.647
405.311,389.744
405.398,404.104
405.485,401.42
405.572,358.921
