λ,Raw_E
394.019,0.0
394.106,3.50563
394.192,0.0
394.279,0.0
394.366,0.0
394.453,0.0
394.54,0.0
394.627,0.0
394.714,0.0
394.801,0.0
394.888,0.0
394.975,0.0
395.062,0.0
395.149,0.0
395.236,7.34369
395.323,19.5925
395.41,14.509
395.497,0.0
395.584,0.0
395.671,20.6094
395.758,2.3691
395.845,0.0
395.932,9.84868
396.019,0.0
396.105,14.3957
396.192,0.0
396.279,3.77373
396.366,8.72104
396.453,0.0
396.54,0.0
396.627,0.0
396.714,0.0
396.801,4.21545
396.888,0.0
396.975,20.4962
397.062,0.0
397.149,0.0
397.235,7.29856
397.322,10.4282
397.409,0.0
397.496,12.1209
397.583,3.58751
397.67,0.0
397.757,0.0
397.844,0.0
397.931,6.55526
398.018,0.0
398.105,5.35753
398.191,6.86919
398.278,0.0
398.365,2.04288
398.452,19.9174
398.539,0.0
398.626,0.0
398.713,24.583
398.8,14.9556
398.887,0.0
398.973,0.0
399.06,0.0
399.147,16.7319
399.234,0.0
399.321,0.0
399.408,0.0
399.495,20.5924
399.582,4.26625
399.668,6.17678
399.755,0.0
399.842,0.0
399.929,0.0
400.016,4.40334
400.103,9.93203
400.19,3.95598
400.276,0.0
400.363,10.1763
400.45,0.0
400.537,0.0
400.624,14.4731
400.711,0.0
400.798,0.0
400.884,18.3158
400.971,12.4245
401.058,19.5892
401.145,3.72492
401.232,3.40819
401.319,2.86482
401.405,10.1614
401.492,0.0
401.579,4.16098
401.666,18.6181
401.753,6.95082
401.84,4.74299
401.926,11.1555
402.013,7.86252
402.1,5.14172
402.187,0.0
402.274,26.7571
402.36,22.887
402.447,5.17385
402.534,18.92
402.621,8.49044
402.708,0.0
402.795,0.0
402.881,0.0
402.968,1.30778
403.055,7.33693
403.142,5.03708
403.229,17.4928
403.315,11.232
403.402,4.50266
403.489,6.23419
403.576,0.0
403.663,19.1375
403.749,0.0
403.836,9.35874
403.923,16.2608
404.01,18.5449
404.096,15.5628
404.183,5.30881
404.27,0.0
404.357,20.7624
404.444,30.3954
404.53,10.9148
404.617,0.495404
404.704,10.6227
404.791,12.0577
404.877,10.2014
404.964,17.62
405.051,0.0
405.138,13.3294
405.224,5.79665
405.311,22.121
405.398,24.1915
405.485,0.614038
405.572,2.19373
405.658,0.0
405.745,25.3423
405.832,2.79581
405.919,31.4034
406.005,10.7135
406.092,0.0
406.179,21.4104
406.266,0.0
406.352,30.4883
406.439,9.03152
406.526,8.24494
406.612,22.1083
406.699,21.335
406.786,6.89035
406.873,0.0
406.959,0.0
407.046,36.9683
407.133,15.0003
407.22,18.9263
407.306,5.01709
407.393,8.02045
407.48,0.0
407.566,7.90702
407.653,4.85365
407.74,29.3203
407.827,34.6172
407.913,17.4139
408.0,9.46787
408.087,15.5679
408.173,21.1114
408.26,29.2123
408.347,18.8803
408.434,16.4156
408.52,6.8524
408.607,15.2813
408.694,42.0608
408.78,22.8612
408.867,14.5734
408.954,23.7078
409.04,43.4968
