λ,Raw_E
394.019,6.88893
394.106,0.0
394.192,0.881465
394.279,14.2747
394.366,4.15826
394.453,0.0
394.54,0.0
394.627,0.0
394.714,2.79293
394.801,1.15453
394.888,10.1177
394.975,20.3241
395.062,2.37891
395.149,26.3387
395.236,27.1556
395.323,32.573
395.41,14.399
395.497,10.5179
395.584,37.488
395.671,21.6315
395.758,22.8451
395.845,8.81027
395.932,6.89897
396.019,23.6842
396.105,43.0365
396.192,36.2587
396.279,26.4404
396.366,16.7703
396.453,1.71772
396.54,27.9237
396.627,28.9838
396.714,22.985
396.801,12.4015
396.888,20.1474
396.975,22.6901
397.062,33.2986
397.149,25.935
397.235,31.897
397.322,22.6528
397.409,24.0466
397.496,29.8533
397.583,43.0965
397.67,17.9447
397.757,16.304
397.844,22.0055
397.931,16.0906
398.018,18.4682
398.105,31.2466
398.191,31.4621
398.278,14.8176
398.365,15.9414
398.452,52.2828
398.539,17.3574
398.626,27.8316
398.713,31.2274
398.8,29.4124
398.887,35.1909
398.973,18.6813
399.06,27.3998
399.147,13.0584
399.234,32.9713
399.321,37.6057
399.408,29.9649
399.495,29.7221
399.582,27.4455
399.668,24.9673
399.755,3.29637
399.842,31.2761
399.929,22.0029
400.016,7.25079
400.103,18.836
400.19,27.4461
400.276,0.0
400.363,26.1225
400.45,23.996
400.537,21.4589
400.624,22.6194
400.711,23.8176
400.798,20.9678
400.884,29.3349
400.971,7.58761
401.058,39.6018
401.145,9.5287
401.232,0.103079
401.319,17.367
401.405,3.1297
401.492,36.0928
401.579,22.6719
401.666,38.7162
401.753,57.2877
401.84,27.2841
401.926,18.4447
402.013,17.8166
402.1,36.8753
402.187,31.1355
402.274,20.6205
402.36,33.2354
402.447,15.7369
402.534,32.5236
402.621,36.2731
402.708,28.2266
402.795,18.7576
402.881,33.9613
402.968,15.0609
403.055,26.1876
403.142,37.0309
403.229,22.4252
403.315,28.8674
403.402,31.0081
403.489,29.5071
403.576,32.5367
403.663,6.7262
403.749,18.069
403.836,26.7036
403.923,31.093
404.01,0.788375
404.096,23.6556
404.183,14.8831
404.27,6.25316
404.357,34.0088
404.444,45.5047
404.53,4.41179
404.617,38.4217
404.704,40.0376
404.791,37.4744
404.877,41.6921
404.964,15.3942
405.051,3.15731
405.138,21.4888
405.224,18.2428
405.311,11.7431
405.398,26.4373
405.485,22.4632
405.572,17.0757
405.658,29.4165
405.745,33.4596
405.832,29.229
405.919,29.9973
406.005,8.72236
406.092,13.0135
406.179,30.2433
406.266,2.56878
406.352,39.0827
406.439,6.94383
406.526,27.0492
406.612,13.1014
406.699,27.7643
406.786,35.7505
406.873,18.9686
406.959,34.2379
407.046,14.2524
407.133,30.1228
407.22,39.4903
407.306,44.783
407.393,32.7599
407.48,29.7521
407.566,22.3456
407.653,12.5153
407.74,19.3932
407.827,14.9573
407.913,33.5238
408.0,37.8427
408.087,11.7526
408.173,8.91764
408.26,36.9529
408.347,13.6288
408.434,6.64611
408.52,38.7386
408.607,10.909
408.694,24.1604
408.78,19.8341
408.867,36.5685
408.954,39.0056
409.04,27.6273
409.127,40.8885
409.214,24.2575
409.3,11.9479
409.387,29.447
409.474,20.6775
409.56,32.3636
409.647,37.57
409.734,25.3335
409.821,27.8285
409.907,15.576
409.994,29.3791
410.081,27.2162
410.167,36.8819
410.254,34.9557
410.341,31.3039
410.427,37.3326
410.514,22.4988
410.6,37.0934
410.687,35.0048
410.774,29.6295
410.86,20.4835
410.947,32.2496
411.034,38.4163
411.12,11.48
411.207,40.8562
411.294,37.6528
411.38,32.0496
411.467,42.7629
411.554,31.8134
411.64,7.02452
411.727,42.0839
411.814,33.5664
411.9,57.1557
411.987,37.0252
412.073,28.7545
412.16,27.7549
412.247,39.8249
412.333,34.7412
412.42,22.4994
412.507,32.8408
412.593,34.7493
412.68,31.0612
412.766,32.4711
412.853,28.244
412.94,39.876
413.026,36.5921
413.113,49.5614
413.2,48.2789
413.286,40.3715
413.373,36.3197
413.459,58.7184
413.546,40.4541
413.633,46.1268
413.719,40.6289
413.806,56.0965
