λ,Raw_E
394.019,0.0
394.106,10.1482
394.192,0.0
394.279,0.0
394.366,7.96369
394.453,0.0
394.54,3.32156
394.627,0.0
394.714,0.0
394.801,3.32156
394.888,0.0
394.975,0.0
395.062,2.2314
395.149,4.54902
395.236,0.0
395.323,5.78645
395.41,0.0
395.497,17.7877
395.584,0.0
395.671,7.9162
395.758,0.0
395.845,0.0
395.932,0.0
396.019,5.02772
396.105,0.0
396.192,0.0
396.279,5.60177
396.366,0.0
396.453,0.0
396.54,1.47131
396.627,0.0
396.714,19.0393
396.801,1.9015
396.888,0.0
396.975,7.56078
397.062,0.0
397.149,6.96845
397.235,0.0
397.322,11.7571
397.409,0.0
397.496,0.0
397.583,15.1478
397.67,6.80135
397.757,0.0
397.844,0.0
397.931,1.74136
398.018,0.0
398.105,8.29273
398.191,12.4951
398.278,0.0
398.365,0.0
398.452,1.25652
398.539,14.4752
398.626,12.8558
398.713,12.1963
398.8,9.14156
398.887,0.0
398.973,6.48042
399.06,8.76586
399.147,12.5931
399.234,15.4111
399.321,0.0
399.408,0.0
399.495,5.52069
399.582,0.0
399.668,5.41316
399.755,0.0
399.842,0.0
399.929,0.0
400.016,12.6877
400.103,0.0
400.19,10.3765
400.276,11.2577
400.363,1.79315
400.45,9.71626
400.537,0.0
400.624,0.0
400.711,0.0
400.798,7.16533
400.884,5.10619
400.971,15.7658
401.058,0.0
401.145,0.0
401.232,0.0
401.319,0.0
401.405,10.3218
401.492,0.0
401.579,18.3204
401.666,0.0
401.753,19.8032
401.84,0.0
401.926,13.9989
402.013,11.9515
402.1,19.7287
402.187,9.15339
402.274,19.487
402.36,2.52252
402.447,0.0
402.534,10.3367
402.621,24.4976
402.708,4.1488
402.795,16.0493
402.881,0.0
402.968,9.07109
403.055,3.62553
403.142,0.0
403.229,0.0
403.315,0.128146
403.402,10.0293
403.489,12.9022
403.576,2.58067
403.663,5.3811
403.749,8.96291
403.836,6.70951
403.923,19.946
404.01,0.0
404.096,25.4955
404.183,12.2788
404.27,0.675941
404.357,3.18675
404.444,10.8132
404.53,4.19202
404.617,27.9921
404.704,17.1612
404.791,0.0
404.877,23.7312
404.964,0.0
405.051,12.3606
405.138,13.7926
405.224,9.97742
405.311,1.54348
405.398,18.8623
405.485,6.85368
405.572,0.108442
405.658,14.1946
405.745,22.4548
405.832,3.5004
405.919,5.91118
406.005,15.5145
406.092,9.42091
406.179,18.0809
406.266,6.01322
406.352,17.6578
406.439,20.1993
406.526,11.758
406.612,4.26488
406.699,19.0439
406.786,0.0
406.873,6.39739
406.959,14.0154
407.046,20.5335
407.133,21.4621
407.22,14.7104
407.306,4.07326
407.393,14.6481
407.48,10.5339
407.566,20.027
407.653,20.8101
407.74,1.96337
407.827,13.3623
407.913,0.0
408.0,14.8568
408.087,4.54753
408.173,28.091
408.26,28.2979
408.347,32.6993
408.434,20.9523
408.52,32.6899
408.607,16.0065
408.694,26.943
408.78,31.7964
408.867,30.2124
408.954,25.7344
409.04,26.9944
409.127,12.809
409.214,1.25081
409.3,7.21243
409.387,28.9908
409.474,27.6177
409.56,22.4546
409.647,32.7505
409.734,4.7708
409.821,4.91196
409.907,19.0268
409.994,25.6328
410.081,18.1727
410.167,14.1683
410.254,13.6397
410.341,25.1593
410.427,10.4167
410.514,14.1803
410.6,19.8465
410.687,23.9299
410.774,53.6857
410.86,29.6852
410.947,17.1543
411.034,22.8849
411.12,9.13326
411.207,29.2642
411.294,37.6121
411.38,38.1287
411.467,22.812
411.554,13.7796
411.64,19.0985
411.727,21.37
411.814,25.5907
411.9,23.272
411.987,26.188
412.073,19.1849
412.16,56.2348
412.247,16.9669
412.333,38.3801
412.42,35.9873
412.507,30.6714
412.593,17.9388
412.68,18.4352
412.766,47.296
412.853,17.4958
412.94,43.3297
413.026,45.2432
413.113,50.0613
413.2,58.1838
413.286,31.4778
413.373,49.6461
413.459,49.9668
413.546,46.3345
413.633,39.2259
413.719,46.3312
413.806,36.3329
413.892,12.7573
413.979,40.1908
414.066,56.2701
414.152,44.2886
414.239,47.3442
414.325,57.0213
414.412,52.6386
414.498,49.8263
414.585,54.1097
414.672,68.7729
414.758,48.6387
414.845,47.2027
414.931,90.1098
415.018,56.9301
415.104,66.5054
415.191,40.0659
415.278,55.7895
415.364,58.449
415.451,65.0164
415.537,75.3538
415.624,75.431
415.71,77.1558
415.797,75.671
415.884,79.3355
415.97,60.0404
416.057,61.6557
416.143,78.678
416.23,74.8354
416.316,72.0214
416.403,68.9122
416.489,81.5495
416.576,78.4051
416.663,64.8177
416.749,88.0444
416.836,91.8813
416.922,83.0808
417.009,83.8113
417.095,79.1853
417.182,98.378
417.268,90.5832
417.355,95.8835
417.441,113.41
417.528,102.904
417.614,105.668
417.701,105.06
417.787,105.315
417.874,79.6748
417.96,113.806
418.047,104.987
418.133,103.071
418.22,105.593
418.307,118.196
418.393,116.211
418.48,98.7604
418.566,119.604
418.653,114.963
418.739,128.631
418.826,134.497
418.912,136.237
418.999,131.56
419.085,145.345
419.172,148.87
419.258,136.329
419.345,138.476
419.431,143.533
419.518,139.959
419.604,171.406
419.69,142.598
419.777,169.462
419.863,139.302
419.95,157.407
420.036,163.599
