λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,0.0
394.366,18.5208
394.453,0.771482
394.54,1.04455
394.627,0.0
394.714,2.13682
394.801,0.0
394.888,27.3986
394.975,0.0
395.062,18.045
395.149,6.37033
395.236,22.4456
395.323,0.0
395.41,17.962
395.497,7.8395
395.584,21.1723
395.671,1.09986
395.758,6.87245
395.845,27.8295
395.932,0.0
396.019,34.3418
396.105,85.8739
396.192,75.4782
396.279,68.8597
396.366,54.8926
396.453,59.6471
396.54,63.1598
396.627,72.8886
396.714,73.4999
396.801,45.3686
396.888,55.8102
396.975,62.7984
397.062,34.9838
397.149,59.6203
397.235,43.263
397.322,25.6376
397.409,55.5882
397.496,53.7789
397.583,37.444
397.67,29.8384
397.757,27.3332
397.844,49.5597
397.931,46.6753
398.018,34.6226
398.105,49.7867
398.191,41.8653
398.278,48.0032
398.365,65.5924
398.452,35.7931
398.539,32.8645
398.626,43.147
398.713,65.0347
398.8,48.863
398.887,45.0263
398.973,45.173
399.06,62.0988
399.147,39.3057
399.234,36.2999
399.321,40.0414
399.408,48.8475
399.495,57.4189
399.582,38.1351
399.668,36.8133
399.755,26.747
399.842,71.8052
399.929,30.4316
400.016,55.3849
400.103,54.7669
400.19,55.5286
400.276,45.8552
400.363,45.6711
400.45,48.723
400.537,41.2574
400.624,52.0431
400.711,44.3071
400.798,31.5034
400.884,63.7181
400.971,48.305
401.058,51.9337
401.145,60.3037
401.232,61.2891
401.319,58.8983
401.405,65.7232
401.492,60.4385
401.579,57.9084
401.666,63.8808
401.753,86.8562
401.84,59.7297
401.926,81.7034
402.013,69.1648
402.1,91.9278
402.187,56.084
402.274,80.685
402.36,91.2825
402.447,94.3453
402.534,89.7016
402.621,89.2363
402.708,80.5019
402.795,78.326
402.881,91.9207
402.968,85.9266
403.055,76.622
403.142,112.875
403.229,85.745
403.315,84.1058
403.402,110.768
403.489,105.859
403.576,103.051
403.663,97.3668
403.749,113.723
403.836,98.9577
403.923,117.376
404.01,107.295
404.096,132.602
404.183,122.4
404.27,110.649
404.357,112.877
404.444,101.125
404.53,123.449
404.617,135.451
404.704,134.323
404.791,137.51
404.877,133.047
404.964,121.325
405.051,112.838
405.138,116.333
405.224,102.211
405.311,128.826
405.398,115.751
405.485,110.408
405.572,128.232
405.658,91.3215
405.745,86.3135
405.832,103.034
405.919,114.035
406.005,80.6135
406.092,105.142
406.179,87.9749
406.266,81.4824
406.352,104.27
406.439,101.336
406.526,104.584
406.612,77.7268
406.699,102.869
406.786,84.4967
406.873,77.1759
406.959,105.194
407.046,76.6106
407.133,101.829
407.22,98.0479
407.306,77.9838
407.393,104.802
407.48,87.2652
407.566,93.0407
407.653,93.2025
407.74,116.699
407.827,75.5022
407.913,100.97
408.0,103.382
408.087,111.36
408.173,120.724
408.26,128.349
408.347,118.504
408.434,98.1256
408.52,128.02
408.607,105.025
408.694,122.415
408.78,106.429
408.867,104.513
408.954,115.352
409.04,130.409
409.127,115.861
409.214,117.796
409.3,95.5148
409.387,114.218
409.474,130.251
409.56,86.5824
409.647,122.124
409.734,100.78
409.821,110.492
409.907,90.6512
409.994,120.704
410.081,123.437
410.167,89.9905
410.254,90.3031
410.341,89.5386
410.427,105.657
410.514,109.505
410.6,100.951
410.687,104.536
410.774,117.453
410.86,107.055
410.947,102.78
411.034,97.1931
411.12,90.4564
411.207,116.867
411.294,111.96
411.38,99.6897
411.467,104.865
411.554,84.0421
411.64,94.0396
411.727,93.5729
411.814,107.558
411.9,107.0
411.987,94.5175
412.073,103.202
412.16,123.506
412.247,89.616
412.333,111.349
412.42,78.0071
412.507,86.0438
412.593,95.069
412.68,96.1429
412.766,65.3896
412.853,80.667
412.94,62.7952
413.026,34.3726
413.113,82.0178
413.2,86.5286
413.286,67.0475
413.373,63.1724
413.459,52.6542
413.546,52.1808
413.633,54.2537
413.719,46.8842
413.806,54.757
413.892,55.9729
413.979,76.0403
414.066,50.9548
414.152,41.6034
414.239,23.7615
414.325,84.4607
414.412,36.4917
414.498,45.3322
414.585,49.5766
414.672,56.7504
414.758,37.2368
414.845,87.5859
414.931,58.7351
415.018,63.3985
415.104,52.3452
415.191,80.4334
415.278,62.1519
415.364,50.4949
415.451,56.9626
415.537,62.5753
415.624,62.0529
415.71,84.5024
415.797,78.4271
415.884,79.2443
415.97,88.5225
416.057,52.8
416.143,66.5222
416.23,73.5118
416.316,54.1669
416.403,57.4797
416.489,84.505
416.576,78.2696
416.663,68.3615
416.749,82.5487
416.836,104.587
416.922,99.8693
417.009,109.199
417.095,81.7033
417.182,94.4991
417.268,101.911
417.355,121.485
417.441,123.348
417.528,126.505
417.614,119.411
417.701,123.703
417.787,95.2644
417.874,128.875
417.96,109.495
418.047,117.639
418.133,143.177
418.22,124.569
418.307,117.848
418.393,129.314
418.48,141.287
418.566,148.492
418.653,133.967
418.739,111.605
418.826,138.736
418.912,148.972
418.999,145.061
419.085,158.112
419.172,153.832
419.258,139.201
419.345,128.648
419.431,137.941
419.518,129.046
419.604,121.948
419.69,141.271
419.777,131.05
419.863,151.281
419.95,151.31
420.036,154.453
420.123,146.484
420.209,185.21
420.296,185.016
420.382,164.624
420.469,176.565
420.555,172.678
420.642,167.508
420.728,137.4
420.815,173.315
420.901,153.0
420.988,187.081
421.074,140.308
421.16,155.959
421.247,157.399
421.333,159.734
421.42,169.162
421.506,151.384
421.593,146.816
421.679,162.923
421.766,163.175
421.852,149.368
421.939,124.312
422.025,140.834
422.111,160.41
422.198,132.476
422.284,155.625
422.371,156.285
422.457,136.147
422.544,138.957
422.63,146.371
422.716,146.469
422.803,150.906
422.889,130.833
422.976,155.098
423.062,147.874
423.149,146.16
423.235,169.784
423.321,138.099
423.408,125.834
423.494,131.982
423.581,139.056
423.667,146.018
423.753,124.225
423.84,134.499
423.926,133.844
424.013,125.623
424.099,113.899
424.185,107.077
424.272,107.142
424.358,121.978
424.445,124.507
424.531,105.836
424.617,120.637
424.704,73.5926
424.79,99.2261
424.877,112.024
424.963,106.604
425.049,106.198
425.136,120.585
425.222,93.3444
425.308,99.3294
425.395,95.6045
425.481,118.728
425.568,119.078
425.654,102.594
425.74,109.444
425.827,110.751
425.913,135.128
425.999,130.204
426.086,116.006
426.172,112.174
426.258,115.707
426.345,98.4039
426.431,113.908
426.518,113.11
426.604,134.37
426.69,114.824
426.777,137.726
426.863,118.026
426.949,115.807
427.036,107.432
427.122,126.101
427.208,120.977
427.295,117.706
427.381,124.077
427.467,116.557
427.554,136.73
427.64,129.693
427.726,117.152
427.813,142.545
427.899,112.124
427.985,120.83
428.072,128.184
428.158,116.075
428.244,109.857
428.331,108.497
428.417,117.808
428.503,101.3
428.59,104.677
428.676,102.119
428.762,94.2427
428.849,107.3
428.935,78.3871
429.021,79.7977
429.107,64.5927
429.194,116.929
429.28,104.609
429.366,94.4142
429.453,89.2662
429.539,87.951
429.625,121.713
429.712,86.9374
429.798,89.7129
429.884,73.0705
429.97,94.2376
430.057,110.438
430.143,106.611
430.229,95.4174
430.316,113.61
430.402,93.3797
430.488,109.601
430.574,108.323
430.661,127.26
430.747,86.6425
430.833,111.882
430.919,92.997
431.006,104.495
