λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,0.0
394.366,0.253737
394.453,0.0
394.54,0.0
394.627,0.0
394.714,10.3572
394.801,0.0
394.888,58.7207
394.975,98.6729
395.062,153.055
395.149,83.2758
395.236,136.714
395.323,106.176
395.41,140.483
395.497,59.7382
395.584,61.4485
395.671,53.2357
395.758,123.523
395.845,36.5427
395.932,98.2313
396.019,59.3399
396.105,171.069
396.192,142.479
396.279,53.0829
396.366,105.377
396.453,13.658
396.54,61.3461
396.627,12.8166
396.714,40.7749
396.801,117.726
396.888,112.642
396.975,104.427
397.062,74.4984
397.149,104.868
397.235,75.3702
397.322,63.7754
397.409,84.7537
397.496,72.1224
397.583,103.196
397.67,134.729
397.757,84.0082
397.844,114.035
397.931,81.6403
398.018,82.3553
398.105,95.2782
398.191,103.992
398.278,109.938
398.365,18.7716
398.452,93.2415
398.539,132.221
398.626,84.0406
398.713,93.476
398.8,47.5395
398.887,109.661
398.973,136.25
399.06,68.759
399.147,71.0231
399.234,90.6635
399.321,83.2949
399.408,67.3184
399.495,78.2115
399.582,87.1694
399.668,73.1322
399.755,112.28
399.842,0.0
399.929,124.55
400.016,0.0
400.103,71.0791
400.19,129.759
400.276,78.3549
400.363,122.662
400.45,96.1102
400.537,48.2144
400.624,100.366
400.711,143.974
400.798,132.264
400.884,61.1948
400.971,74.4538
401.058,116.202
401.145,50.8075
401.232,93.9757
401.319,45.7655
401.405,132.583
401.492,59.5288
401.579,80.1025
401.666,114.158
401.753,155.497
401.84,89.0312
401.926,71.2002
402.013,117.028
402.1,81.9676
402.187,94.9
402.274,87.504
402.36,114.836
402.447,89.2119
402.534,33.7637
402.621,57.5095
402.708,166.228
402.795,78.1134
402.881,109.203
402.968,122.444
403.055,125.244
403.142,216.072
403.229,84.31
403.315,85.394
403.402,82.4947
403.489,95.672
403.576,104.727
403.663,59.353
403.749,53.8896
403.836,99.018
403.923,75.6744
404.01,84.0877
404.096,120.071
404.183,146.662
404.27,98.7819
404.357,94.5811
404.444,110.865
404.53,68.6766
404.617,92.0346
404.704,44.9865
404.791,112.353
404.877,223.645
404.964,85.666
405.051,108.931
405.138,152.625
405.224,129.097
405.311,102.242
405.398,83.9951
405.485,60.8769
405.572,80.7374
405.658,52.6941
405.745,73.3378
405.832,144.973
405.919,121.995
406.005,35.4529
406.092,98.8752
406.179,119.443
406.266,113.773
406.352,42.373
406.439,52.0726
406.526,167.296
406.612,94.7863
406.699,98.5388
406.786,55.989
406.873,77.8082
406.959,138.166
407.046,32.0142
407.133,29.978
407.22,108.215
407.306,85.8878
407.393,70.8948
407.48,86.4044
407.566,143.34
407.653,60.0351
407.74,107.676
407.827,58.3406
407.913,130.879
408.0,106.948
408.087,114.635
408.173,43.6175
408.26,105.115
408.347,106.616
408.434,96.7049
408.52,108.114
408.607,59.2011
408.694,105.579
408.78,110.381
408.867,66.0945
408.954,99.9383
409.04,97.05
409.127,126.059
409.214,44.9191
409.3,85.8882
409.387,85.6003
409.474,45.2231
409.56,149.482
409.647,122.054
409.734,123.798
409.821,62.5337
409.907,85.3125
409.994,137.075
410.081,96.1433
410.167,117.754
410.254,78.827
410.341,96.0315
410.427,178.3
410.514,124.48
410.6,90.5573
410.687,121.756
410.774,104.835
410.86,130.288
410.947,86.7232
411.034,118.783
411.12,123.505
411.207,129.841
411.294,70.6648
411.38,116.988
411.467,143.888
411.554,32.8744
411.64,66.7678
411.727,188.803
411.814,79.618
411.9,112.537
411.987,98.3072
412.073,120.436
412.16,104.747
412.247,85.0635
412.333,109.332
412.42,85.5745
412.507,61.0834
412.593,100.545
412.68,61.3128
412.766,70.5373
412.853,148.218
412.94,100.299
413.026,84.2246
413.113,88.5446
413.2,137.202
413.286,106.777
413.373,46.7271
413.459,118.219
413.546,30.7458
413.633,94.6196
413.719,80.4531
413.806,107.844
413.892,135.295
413.979,119.973
414.066,79.1066
414.152,57.9554
414.239,81.3323
414.325,120.619
414.412,74.0125
414.498,91.4208
414.585,134.138
414.672,132.967
414.758,72.1797
414.845,96.1655
414.931,71.4393
415.018,115.07
415.104,67.6159
415.191,80.3461
415.278,55.0902
415.364,96.353
415.451,108.055
415.537,55.5011
415.624,127.282
415.71,96.4595
415.797,102.062
415.884,110.234
415.97,73.3093
416.057,89.9124
416.143,73.3978
416.23,49.3592
416.316,48.4223
416.403,51.7863
416.489,100.036
416.576,79.1881
416.663,156.235
416.749,31.5943
416.836,140.561
416.922,93.6621
417.009,169.48
417.095,91.6794
417.182,114.507
417.268,120.359
417.355,101.472
417.441,62.4847
417.528,107.704
417.614,70.9019
417.701,84.0551
417.787,110.418
417.874,74.8801
417.96,117.281
418.047,154.209
418.133,95.8441
418.22,91.3507
418.307,87.2223
418.393,107.122
418.48,80.2153
418.566,77.993
418.653,145.457
418.739,78.0346
418.826,58.5328
418.912,89.3498
418.999,91.2002
419.085,52.6816
419.172,84.9681
419.258,90.7603
419.345,65.78
419.431,124.582
419.518,117.55
419.604,80.1581
419.69,111.185
419.777,129.947
419.863,97.6939
419.95,116.0
420.036,138.153
420.123,11.2141
420.209,95.6443
420.296,92.0663
420.382,62.6387
420.469,169.483
420.555,83.9266
420.642,70.1795
420.728,48.9966
420.815,72.8139
420.901,139.727
420.988,46.6351
421.074,86.8086
421.16,83.5781
421.247,117.641
421.333,94.2921
421.42,106.656
421.506,137.226
421.593,93.186
421.679,72.9331
421.766,143.445
421.852,123.073
421.939,102.431
422.025,89.6116
422.111,164.402
422.198,93.9598
422.284,117.097
422.371,117.421
422.457,150.328
422.544,99.2381
422.63,2.17045
422.716,94.3563
422.803,126.707
422.889,103.474
422.976,83.9734
423.062,73.4535
423.149,131.949
423.235,156.567
423.321,93.1238
423.408,80.2411
423.494,126.434
423.581,99.1405
423.667,122.609
423.753,118.765
423.84,84.7008
423.926,153.242
424.013,111.991
424.099,97.9714
424.185,74.8116
424.272,88.5619
424.358,59.1597
424.445,99.1935
424.531,72.5006
424.617,141.873
424.704,84.028
424.79,66.4769
424.877,113.354
424.963,68.1662
425.049,134.284
425.136,60.5226
425.222,87.9412
425.308,65.8715
425.395,109.45
425.481,93.0097
425.568,171.329
425.654,48.2713
425.74,97.9292
425.827,49.2914
425.913,93.4515
425.999,102.101
426.086,49.9549
426.172,106.94
426.258,75.6375
426.345,76.8236
426.431,83.3197
426.518,78.0629
426.604,147.305
426.69,29.4011
426.777,122.162
426.863,114.664
426.949,74.9997
427.036,131.874
427.122,116.503
427.208,145.814
427.295,139.049
427.381,113.467
427.467,65.8391
427.554,89.5345
427.64,106.541
427.726,144.7
427.813,124.476
427.899,79.6733
427.985,144.072
428.072,142.518
428.158,73.311
428.244,101.789
428.331,129.966
428.417,38.2076
428.503,65.3657
428.59,62.2814
428.676,157.934
428.762,136.246
428.849,87.9583
428.935,110.946
429.021,93.6498
429.107,108.17
429.194,122.812
429.28,98.7297
429.366,22.7272
429.453,130.991
429.539,129.035
429.625,127.237
429.712,142.929
429.798,115.251
429.884,85.9066
429.97,86.4968
430.057,151.293
430.143,122.846
430.229,97.4756
430.316,53.0301
430.402,42.9653
430.488,90.2134
430.574,94.3629
430.661,52.1813
