λ,alta_E
394.019,0.0
394.106,2.53727
394.192,0.0
394.279,0.0
394.366,0.0796677
394.453,0.0
394.54,7.1794
394.627,0.0
394.714,2.53727
394.801,0.0
394.888,63.8561
394.975,74.821
395.062,81.2592
395.149,55.1075
395.236,116.642
395.323,69.2885
395.41,77.0211
395.497,71.1915
395.584,103.176
395.671,32.032
395.758,58.7104
395.845,36.5196
395.932,58.2162
396.019,172.3
396.105,249.464
396.192,258.925
396.279,245.221
396.366,247.748
396.453,211.172
396.54,226.824
396.627,232.87
396.714,305.831
396.801,280.682
396.888,259.982
396.975,323.595
397.062,308.767
397.149,368.598
397.235,307.837
397.322,364.163
397.409,380.113
397.496,394.551
397.583,402.442
397.67,478.01
397.757,446.642
397.844,517.907
397.931,521.234
398.018,566.101
398.105,628.541
398.191,627.71
398.278,739.227
398.365,763.276
398.452,813.072
398.539,890.998
398.626,912.373
398.713,1007.07
398.8,1030.79
398.887,1124.39
398.973,1170.45
399.06,1331.54
399.147,1389.33
399.234,1529.4
399.321,1605.45
399.408,1706.01
399.495,1867.92
399.582,1888.38
399.668,1939.66
399.755,2039.79
399.842,2165.68
399.929,2051.65
400.016,1818.98
400.103,1401.1
400.19,953.801
400.276,452.144
400.363,200.275
400.45,176.759
400.537,207.697
400.624,169.33
400.711,154.133
400.798,170.669
400.884,165.991
400.971,117.871
401.058,163.048
401.145,133.081
401.232,174.326
401.319,129.878
401.405,160.179
401.492,158.332
401.579,177.63
401.666,156.974
401.753,186.928
401.84,146.049
401.926,146.964
402.013,179.572
402.1,179.245
402.187,164.685
402.274,182.832
402.36,192.949
402.447,187.782
402.534,216.719
402.621,208.658
402.708,265.748
402.795,229.474
402.881,257.852
402.968,256.008
403.055,290.312
403.142,312.926
403.229,298.244
403.315,312.713
403.402,337.614
403.489,343.383
403.576,353.099
403.663,382.568
403.749,431.309
403.836,456.331
403.923,470.874
404.01,481.634
404.096,520.788
404.183,559.616
404.27,581.414
404.357,631.333
404.444,652.855
404.53,718.869
404.617,798.269
404.704,858.986
404.791,865.362
404.877,969.205
404.964,944.452
405.051,995.952
405.138,1101.9
405.224,1183.66
405.311,1280.69
405.398,1355.95
405.485,1483.79
405.572,1593.93
405.658,1611.45
405.745,1643.21
405.832,1854.06
405.919,1991.26
406.005,1976.8
406.092,1909.38
406.179,1528.91
406.266,1039.33
406.352,625.709
406.439,339.606
406.526,218.769
406.612,183.06
406.699,209.922
406.786,156.835
406.873,187.678
406.959,169.388
407.046,183.486
407.133,185.062
407.22,188.0
407.306,170.146
407.393,196.373
407.48,191.43
407.566,222.492
407.653,213.744
407.74,274.429
407.827,232.831
407.913,250.395
408.0,275.02
408.087,261.115
408.173,304.386
408.26,296.359
408.347,317.316
408.434,292.973
408.52,335.405
408.607,337.299
408.694,310.927
408.78,355.79
408.867,384.164
408.954,393.849
409.04,430.908
409.127,413.6
409.214,445.666
409.3,472.158
409.387,462.456
409.474,490.191
409.56,464.36
409.647,433.989
409.734,340.926
409.821,312.478
409.907,211.364
409.994,193.964
410.081,175.41
410.167,204.238
410.254,168.663
410.341,164.841
410.427,235.603
410.514,245.83
410.6,198.149
410.687,211.7
410.774,227.406
410.86,195.077
410.947,190.634
411.034,200.656
411.12,199.467
411.207,206.731
411.294,218.513
411.38,230.342
411.467,248.844
411.554,163.3
411.64,235.406
411.727,231.98
411.814,216.709
411.9,235.216
411.987,268.652
412.073,270.295
412.16,291.533
412.247,255.886
412.333,307.206
412.42,302.7
412.507,348.89
412.593,381.455
412.68,379.725
412.766,385.429
412.853,427.41
412.94,437.72
413.026,462.997
413.113,485.501
413.2,505.597
413.286,504.857
413.373,549.106
413.459,561.778
413.546,518.724
413.633,619.747
413.719,616.213
413.806,659.4
413.892,731.016
413.979,804.046
414.066,788.938
414.152,835.569
414.239,834.56
414.325,822.391
414.412,680.577
414.498,516.976
414.585,434.979
414.672,337.865
414.758,320.578
414.845,311.545
414.931,320.208
415.018,341.34
415.104,318.569
415.191,328.484
415.278,323.912
415.364,364.204
415.451,356.948
415.537,306.368
415.624,322.598
415.71,311.146
415.797,319.818
415.884,347.115
415.97,287.556
416.057,338.319
416.143,283.504
416.23,321.456
416.316,338.054
416.403,306.832
416.489,357.307
416.576,342.514
416.663,415.581
416.749,389.851
416.836,505.502
416.922,414.195
417.009,450.192
417.095,394.089
417.182,379.152
417.268,407.746
417.355,416.598
417.441,397.787
417.528,402.647
417.614,415.513
417.701,457.451
417.787,496.028
417.874,546.935
417.96,572.368
418.047,588.511
418.133,635.924
418.22,651.563
418.307,682.95
418.393,638.969
418.48,710.303
418.566,661.132
418.653,699.916
418.739,716.175
418.826,758.99
418.912,742.996
418.999,822.837
419.085,815.183
419.172,872.15
419.258,848.695
419.345,922.084
419.431,1000.23
419.518,1057.06
419.604,1059.53
419.69,1184.81
419.777,1255.22
419.863,1353.38
419.95,1472.03
420.036,1645.31
420.123,1625.66
420.209,1571.62
420.296,1420.19
420.382,1098.69
420.469,863.48
420.555,598.562
420.642,491.61
420.728,357.183
420.815,395.033
420.901,428.626
420.988,455.125
421.074,407.218
421.16,425.401
421.247,463.458
421.333,493.699
421.42,534.561
421.506,512.572
421.593,538.885
421.679,537.224
421.766,577.531
421.852,556.286
421.939,496.54
422.025,455.178
422.111,503.086
422.198,493.397
422.284,505.102
422.371,548.818
422.457,547.795
422.544,543.276
422.63,576.799
422.716,584.117
422.803,618.041
422.889,606.425
422.976,605.959
423.062,561.377
423.149,632.268
423.235,660.005
423.321,723.583
423.408,768.752
423.494,888.514
423.581,965.662
423.667,1153.66
423.753,1191.06
423.84,1161.6
423.926,1100.44
424.013,892.215
424.099,702.797
424.185,550.451
424.272,460.933
424.358,512.997
424.445,535.199
424.531,519.121
424.617,554.9
424.704,556.971
424.79,599.122
424.877,677.583
424.963,690.079
425.049,714.263
425.136,697.453
425.222,783.524
425.308,804.985
425.395,877.564
425.481,938.293
425.568,1045.99
425.654,1028.56
425.74,1084.11
425.827,1160.56
425.913,1281.08
425.999,1316.8
426.086,1391.08
426.172,1499.72
426.258,1593.84
426.345,1643.04
426.431,1804.39
426.518,1872.49
426.604,2011.83
426.69,2163.69
426.777,2243.25
426.863,2331.25
426.949,2447.4
427.036,2370.85
427.122,2228.81
427.208,1956.06
427.295,1615.31
427.381,1443.18
427.467,1383.73
427.554,1580.99
427.64,1853.55
427.726,2258.61
427.813,2579.18
427.899,2826.84
427.985,2807.57
428.072,2391.87
428.158,1764.44
428.244,1192.13
428.331,585.401
428.417,222.355
428.503,166.848
428.59,167.081
428.676,212.723
428.762,182.627
428.849,177.462
428.935,183.085
429.021,169.658
429.107,184.291
429.194,177.822
429.28,208.516
429.366,160.001
429.453,189.694
429.539,203.325
429.625,205.02
429.712,187.334
429.798,182.097
429.884,170.155
429.97,173.864
430.057,194.247
430.143,180.296
430.229,175.94
430.316,187.441
430.402,184.866
430.488,162.751
430.574,202.782
430.661,204.629
430.747,182.855
430.833,242.153
430.919,203.432
431.006,208.765
431.092,194.483
431.178,207.903
431.264,193.136
431.351,236.026
431.437,227.735
431.523,220.238
431.61,210.639
431.696,299.384
431.782,244.763
431.868,256.353
431.955,282.029
432.041,299.647
432.127,292.919
432.213,296.248
432.3,340.91
432.386,349.164
432.472,378.225
432.558,380.443
432.644,393.101
432.731,410.3
432.817,450.547
432.903,441.219
432.989,459.018
433.076,475.173
433.162,492.615
433.248,535.455
433.334,536.075
433.421,582.891
433.507,629.568
433.593,624.735
433.679,640.37
433.765,704.826
433.852,675.848
433.938,783.165
434.024,796.303
434.11,871.401
434.196,944.273
434.283,1052.73
434.369,1071.73
434.455,1136.99
434.541,1058.81
434.627,1026.01
434.714,927.852
434.8,678.121
434.886,534.733
434.972,440.397
435.058,341.878
435.145,378.223
435.231,368.1
435.317,416.803
435.403,418.05
435.489,461.897
435.576,445.634
435.662,479.019
435.748,457.124
435.834,425.191
435.92,363.358
436.006,305.911
436.093,243.523
436.179,205.471
436.265,199.662
436.351,169.381
436.437,160.068
436.523,113.383
436.61,160.287
436.696,168.283
436.782,163.263
436.868,223.545
436.954,152.531
437.04,152.885
437.126,207.034
437.213,158.278
437.299,199.579
437.385,190.214
437.471,165.982
437.557,193.704
437.643,229.53
437.729,176.626
437.816,221.133
437.902,181.442
437.988,205.886
438.074,197.495
438.16,168.437
438.246,200.655
438.332,235.108
438.419,214.75
438.505,213.954
438.591,220.021
438.677,207.194
438.763,221.972
