λ,Raw_E
394.019,5.35416
394.106,8.90403
394.192,0.0
394.279,0.0
394.366,0.0
394.453,0.0
394.54,21.192
394.627,0.0
394.714,0.0
394.801,0.0
394.888,88.7914
394.975,86.9221
395.062,90.9027
395.149,60.1089
395.236,120.005
395.323,62.548
395.41,83.3879
395.497,83.2926
395.584,90.1553
395.671,26.1107
395.758,84.7379
395.845,52.1706
395.932,66.2213
396.019,213.073
396.105,397.006
396.192,374.519
396.279,359.995
396.366,371.533
396.453,317.754
396.54,347.06
396.627,339.179
396.714,381.83
396.801,341.663
396.888,350.726
396.975,396.043
397.062,376.3
397.149,417.017
397.235,358.987
397.322,475.114
397.409,515.094
397.496,528.712
397.583,545.615
397.67,511.956
397.757,386.38
397.844,299.54
397.931,239.788
398.018,250.795
398.105,253.707
398.191,235.672
398.278,251.889
398.365,262.285
398.452,284.774
398.539,300.168
398.626,256.553
398.713,227.274
398.8,185.737
398.887,179.934
398.973,209.886
399.06,242.632
399.147,192.837
399.234,211.395
399.321,172.758
399.408,211.328
399.495,233.978
399.582,206.371
399.668,198.124
399.755,238.997
399.842,261.672
399.929,213.729
400.016,176.294
400.103,185.765
400.19,218.519
400.276,210.293
400.363,195.992
400.45,217.532
400.537,216.522
400.624,189.896
400.711,147.939
400.798,188.232
400.884,162.528
400.971,149.087
401.058,151.666
401.145,116.784
401.232,172.774
401.319,134.06
401.405,157.808
401.492,162.241
401.579,169.797
401.666,155.422
401.753,214.867
401.84,151.051
401.926,139.951
402.013,178.566
402.1,162.128
402.187,163.679
402.274,156.977
402.36,178.835
402.447,217.633
402.534,189.499
402.621,202.464
402.708,225.148
402.795,163.205
402.881,173.834
402.968,190.831
403.055,215.578
403.142,245.564
403.229,193.473
403.315,179.542
403.402,201.44
403.489,199.837
403.576,197.264
403.663,193.419
403.749,182.632
403.836,152.221
403.923,170.314
404.01,156.771
404.096,172.441
404.183,166.759
404.27,173.266
404.357,193.966
404.444,199.378
404.53,199.583
404.617,244.03
404.704,270.886
404.791,232.207
404.877,303.281
404.964,284.809
405.051,287.976
405.138,329.484
405.224,340.794
405.311,366.006
405.398,360.705
405.485,333.718
405.572,326.445
405.658,343.143
405.745,328.207
405.832,341.36
405.919,345.026
406.005,313.087
406.092,361.182
406.179,426.352
406.266,417.101
406.352,400.242
406.439,469.945
406.526,437.582
406.612,472.87
406.699,523.216
406.786,526.107
406.873,596.272
406.959,727.622
407.046,846.305
407.133,1021.82
407.22,1245.95
407.306,1285.44
407.393,1294.19
407.48,1161.72
407.566,1052.16
407.653,974.594
407.74,1029.54
407.827,926.779
407.913,921.406
408.0,766.081
408.087,589.427
408.173,392.399
408.26,387.376
408.347,439.463
408.434,427.954
408.52,485.405
408.607,471.188
408.694,525.37
408.78,555.215
408.867,535.529
408.954,554.499
409.04,529.571
409.127,544.212
409.214,556.89
409.3,459.956
409.387,466.093
409.474,444.402
409.56,464.173
409.647,492.512
409.734,480.003
409.821,525.83
409.907,484.517
409.994,516.542
410.081,469.589
410.167,419.774
410.254,370.819
410.341,329.587
410.427,397.072
410.514,370.708
