λ,Raw_E
394.019,0.0
394.106,6.43547
394.192,3.15867
394.279,0.841824
394.366,0.0
394.453,17.9043
394.54,2.61253
394.627,0.0
394.714,6.43547
394.801,0.0
394.888,12.4628
394.975,10.1061
395.062,8.66854
395.149,21.2869
395.236,14.6322
395.323,9.06076
395.41,30.5494
395.497,12.0224
395.584,17.4783
395.671,2.3394
395.758,22.8485
395.845,0.0
395.932,0.0
396.019,6.08245
396.105,27.6368
396.192,0.0
396.279,0.0
396.366,4.25809
396.453,0.0
396.54,0.470639
396.627,16.0855
396.714,15.415
396.801,0.0
396.888,12.2668
396.975,23.929
397.062,3.76748
397.149,15.7668
397.235,9.70677
397.322,30.3323
397.409,3.21435
397.496,22.1538
397.583,13.8373
397.67,20.3886
397.757,5.55552
397.844,15.7445
397.931,31.2578
398.018,5.77926
398.105,17.8263
398.191,23.0046
398.278,21.2787
398.365,12.2035
398.452,28.2985
398.539,1.91739
398.626,0.0
398.713,26.78
398.8,3.48919
398.887,2.46659
398.973,40.0408
399.06,5.77063
399.147,20.3429
399.234,11.7016
399.321,6.48716
399.408,7.82026
399.495,17.967
399.582,2.47664
399.668,23.1396
399.755,12.7287
399.842,11.444
399.929,0.0
400.016,0.0
400.103,22.6279
400.19,15.2345
400.276,1.91623
400.363,1.86565
400.45,22.9878
400.537,2.00959
400.624,11.1065
400.711,13.0241
400.798,47.3286
400.884,0.0
400.971,8.11763
401.058,14.2696
401.145,19.5616
401.232,14.3132
401.319,9.44416
401.405,7.69803
401.492,3.48633
401.579,12.5321
401.666,7.01109
401.753,19.3307
401.84,8.34114
401.926,9.2571
402.013,9.95532
402.1,13.5213
402.187,7.31112
402.274,3.59281
402.36,1.71096
402.447,17.8817
402.534,6.94705
402.621,17.8026
402.708,20.5468
402.795,1.25785
402.881,8.00855
402.968,13.0641
403.055,0.0
403.142,24.3321
403.229,15.197
403.315,0.0
403.402,7.52339
403.489,21.7168
403.576,28.9897
403.663,2.19543
403.749,0.0
403.836,10.3573
403.923,20.1581
404.01,0.0
404.096,38.2961
404.183,18.3022
404.27,0.0
404.357,17.2612
404.444,4.52669
404.53,5.97603
404.617,9.97597
404.704,12.9061
404.791,18.2917
404.877,26.3889
404.964,4.21829
405.051,13.0833
405.138,4.51251
405.224,0.0
405.311,26.9796
405.398,20.0823
405.485,16.677
405.572,22.0997
405.658,11.3007
405.745,22.973
405.832,22.2907
405.919,6.74135
406.005,0.0
406.092,3.63359
406.179,11.9406
406.266,0.0
406.352,18.0454
406.439,1.95468
406.526,0.588893
406.612,1.64452
406.699,21.7999
406.786,0.0
406.873,7.0015
406.959,10.7306
407.046,9.91281
407.133,21.1671
407.22,26.7143
407.306,6.79441
407.393,23.0977
407.48,13.9413
407.566,17.1044
407.653,20.37
407.74,8.51133
407.827,0.0
407.913,5.48686
408.0,26.8044
408.087,4.86849
408.173,12.25
408.26,8.81629
408.347,14.7488
408.434,4.25362
408.52,32.5542
408.607,10.1036
408.694,19.159
408.78,4.35789
408.867,0.422266
408.954,16.7568
409.04,11.6035
409.127,10.5629
409.214,12.6025
409.3,3.62905
409.387,14.9234
409.474,15.8361
409.56,10.6821
409.647,18.1116
409.734,0.0
409.821,9.97366
409.907,11.8512
409.994,31.3505
410.081,30.9811
410.167,6.32724
410.254,24.7537
410.341,3.80356
410.427,4.69079
410.514,13.9757
410.6,25.7878
410.687,6.38273
410.774,11.1038
410.86,11.2338
410.947,29.4033
411.034,11.2943
411.12,0.0
411.207,0.0
411.294,0.0
411.38,4.45628
411.467,15.0776
411.554,2.57506
411.64,13.4984
411.727,0.0
411.814,0.0
411.9,0.0
411.987,15.7205
412.073,23.9519
412.16,7.74674
412.247,40.6581
412.333,23.0741
412.42,17.7359
412.507,1.69524
412.593,0.0
412.68,13.5351
412.766,15.9657
412.853,6.67425
412.94,2.01861
413.026,15.7184
413.113,21.1313
413.2,5.06082
413.286,16.6918
413.373,16.7705
413.459,10.7663
413.546,0.0
413.633,28.8739
413.719,13.9831
413.806,7.38945
413.892,10.7379
413.979,7.10265
414.066,0.0
414.152,8.23672
414.239,0.0
414.325,0.0
414.412,34.534
414.498,8.08168
414.585,1.74243
414.672,7.49243
414.758,0.152923
414.845,0.0
414.931,6.99404
415.018,13.9091
415.104,0.941213
415.191,0.0
415.278,0.0
415.364,13.3451
415.451,4.65145
415.537,0.201139
415.624,22.7292
415.71,14.8857
415.797,28.7954
415.884,21.6014
415.97,6.25636
416.057,9.00187
416.143,18.7678
416.23,0.292622
416.316,9.02482
416.403,0.0
416.489,32.3829
416.576,13.5834
416.663,6.63486
416.749,2.90726
416.836,20.1586
416.922,0.0
417.009,1.66497
417.095,23.3364
417.182,0.0
417.268,1.7701
417.355,0.0
417.441,28.7188
417.528,7.99742
417.614,7.66311
