λ,Raw_E
394.019,6.86138
394.106,2.76538
394.192,0.0
394.279,0.0
394.366,5.76911
394.453,0.0
394.54,6.04218
394.627,0.0
394.714,2.21924
394.801,0.0
394.888,0.0
394.975,4.21891
395.062,9.49905
395.149,0.0
395.236,0.0
395.323,1.33015
395.41,5.42676
395.497,0.0
395.584,0.0
395.671,4.63577
395.758,0.0
395.845,18.7424
395.932,10.8953
396.019,25.7775
396.105,28.477
396.192,25.6185
396.279,24.8097
396.366,11.8067
396.453,27.8265
396.54,18.2276
396.627,19.522
396.714,26.9766
396.801,15.2531
396.888,39.7491
396.975,30.2099
397.062,28.4131
397.149,30.8232
397.235,21.5841
397.322,40.6355
397.409,22.6606
397.496,26.9511
397.583,30.6188
397.67,49.8642
397.757,33.3851
397.844,43.2681
397.931,31.3214
398.018,43.8218
398.105,37.1938
398.191,49.4101
398.278,36.049
398.365,38.7756
398.452,51.9495
398.539,61.6056
398.626,49.2545
398.713,58.5793
398.8,41.6949
398.887,41.5521
398.973,50.47
399.06,52.7061
399.147,45.3527
399.234,63.8895
399.321,40.8158
399.408,61.4458
399.495,58.0354
399.582,49.8242
399.668,71.4597
399.755,61.6117
399.842,82.6678
399.929,83.6959
400.016,80.3061
400.103,100.392
400.19,85.2023
400.276,74.0101
400.363,90.5347
400.45,80.5978
400.537,70.6263
400.624,104.433
400.711,82.3968
400.798,86.5873
400.884,89.2058
400.971,90.1948
401.058,92.4578
401.145,60.6963
401.232,93.4551
401.319,85.272
401.405,86.0511
401.492,98.888
401.579,90.6498
401.666,97.4926
401.753,111.255
401.84,105.371
401.926,118.567
402.013,141.32
402.1,151.861
402.187,134.863
402.274,178.761
402.36,157.582
402.447,169.168
402.534,175.956
402.621,211.556
402.708,174.458
402.795,171.49
402.881,182.972
402.968,193.058
403.055,168.825
403.142,156.163
403.229,143.261
403.315,133.014
403.402,122.68
403.489,103.801
403.576,123.981
403.663,154.477
403.749,157.077
403.836,161.537
403.923,174.003
404.01,175.758
404.096,180.677
404.183,200.396
404.27,191.731
404.357,166.994
404.444,165.941
404.53,157.174
404.617,171.988
404.704,154.249
404.791,121.294
404.877,176.02
404.964,196.648
405.051,224.79
405.138,295.14
405.224,358.106
405.311,417.921
405.398,565.619
405.485,730.454
405.572,936.835
405.658,1209.27
405.745,1653.16
405.832,2189.51
405.919,2846.84
406.005,3768.92
406.092,4825.98
406.179,6146.33
406.266,8060.81
406.352,10203.4
406.439,12685.2
406.526,14548.4
406.612,15525.0
406.699,15347.9
406.786,14822.7
406.873,13206.0
406.959,10385.1
407.046,7095.21
407.133,3777.39
407.22,1360.27
407.306,439.815
407.393,284.505
407.48,215.611
407.566,177.095
407.653,170.653
407.74,152.756
407.827,141.499
407.913,124.643
408.0,112.061
408.087,93.2459
408.173,81.7704
408.26,86.9367
408.347,77.2505
408.434,70.4008
408.52,62.1898
408.607,80.9141
408.694,71.6913
408.78,72.5081
408.867,73.1492
408.954,81.4013
409.04,74.6512
409.127,75.5333
409.214,64.7582
409.3,60.4578
409.387,41.0219
409.474,41.6811
409.56,56.5392
409.647,66.8293
409.734,33.3475
409.821,47.6529
409.907,34.4189
409.994,45.4498
410.081,60.7733
410.167,40.0076
410.254,49.9163
410.341,45.2276
410.427,48.9386
410.514,48.7992
410.6,52.3181
410.687,52.1367
410.774,41.3016
410.86,50.2959
410.947,59.8624
411.034,40.731
411.12,35.2295
411.207,44.7209
411.294,48.6927
411.38,43.5208
411.467,39.5865
411.554,30.0598
411.64,51.5432
411.727,31.326
411.814,30.7895
411.9,28.1319
411.987,32.6559
412.073,37.4561
412.16,51.5398
412.247,52.7237
412.333,64.8489
412.42,45.7496
412.507,73.0338
412.593,59.1615
412.68,80.5122
412.766,60.7259
412.853,86.8029
412.94,75.3785
413.026,91.3733
413.113,118.918
413.2,118.063
413.286,81.4417
413.373,91.9225
413.459,91.1905
413.546,105.694
413.633,77.4033
413.719,60.6231
413.806,46.0731
413.892,13.8626
413.979,66.311
414.066,39.9554
414.152,20.0457
414.239,14.9406
414.325,24.6337
414.412,10.6464
414.498,26.5187
414.585,0.0
414.672,6.2337
414.758,2.60966
414.845,8.02937
414.931,11.7379
415.018,30.2346
415.104,23.613
415.191,0.889472
415.278,31.7827
415.364,0.0
415.451,5.85862
415.537,6.0823
415.624,5.20893
415.71,19.1223
415.797,13.5266
415.884,8.57632
415.97,1.2184
416.057,9.85355
416.143,27.1946
416.23,0.0
416.316,1.73822
416.403,7.27572
416.489,16.5015
416.576,8.08073
416.663,2.24206
416.749,6.95561
416.836,5.10641
416.922,0.0
417.009,30.2262
417.095,11.5819
417.182,0.0
417.268,17.694
417.355,7.27104
417.441,2.18245
417.528,6.37364
417.614,11.4358
417.701,17.5633
417.787,12.5697
417.874,10.658
417.96,15.6872
418.047,9.19503
418.133,15.7313
418.22,9.19152
418.307,10.8666
418.393,0.0
418.48,4.52098
418.566,0.0
418.653,18.8562
418.739,11.9464
418.826,16.1043
418.912,12.1913
418.999,0.0
419.085,18.5047
419.172,14.424
419.258,6.59345
419.345,0.0
419.431,0.0
419.518,0.0
419.604,11.3907
419.69,17.4642
419.777,14.1004
419.863,23.6593
419.95,11.4672
420.036,12.7332
420.123,8.03887
420.209,12.1996
420.296,7.03933
420.382,20.8297
420.469,0.0
420.555,23.4201
420.642,19.3197
420.728,15.7482
420.815,11.106
420.901,5.0093
420.988,6.41817
421.074,2.18979
421.16,13.6702
421.247,18.578
421.333,16.8084
421.42,26.4216
421.506,5.77935
421.593,0.615014
421.679,15.346
421.766,0.338487
421.852,11.2598
421.939,1.95122
422.025,24.5595
422.111,0.0
422.198,10.3603
422.284,0.0
422.371,0.876219
422.457,0.0
422.544,17.2312
422.63,11.3112
422.716,0.0
422.803,0.0
422.889,4.16455
422.976,7.4553
423.062,0.0
423.149,5.39188
423.235,12.874
423.321,0.0
423.408,11.9487
423.494,5.77574
423.581,6.1392
423.667,7.8844
423.753,8.01839
423.84,14.6157
423.926,14.6516
424.013,5.02072
424.099,0.871497
424.185,16.7118
424.272,0.0
424.358,1.63737
424.445,13.6618
424.531,18.2746
424.617,13.8382
424.704,0.0
424.79,4.79632
424.877,9.19363
424.963,14.37
425.049,1.91987
425.136,5.84267
425.222,10.0014
425.308,1.2985
425.395,6.18517
425.481,0.0
425.568,0.0
425.654,0.0
425.74,1.36959
425.827,9.6269
425.913,2.99278
425.999,5.28569
426.086,7.32256
426.172,0.0
426.258,0.0
426.345,1.75566
426.431,0.0
426.518,1.76944
426.604,4.70721
426.69,3.05112
426.777,25.003
426.863,0.0
426.949,11.4616
427.036,0.11605
427.122,7.24844
427.208,0.0
427.295,8.64226
427.381,0.0
427.467,7.03612
427.554,0.0
427.64,0.0
427.726,0.0
427.813,11.4081
427.899,4.01873
427.985,4.47186
428.072,15.3538
428.158,4.49157
428.244,9.92134
428.331,9.12706
428.417,17.9957
428.503,9.63931
428.59,13.4966
428.676,0.0
428.762,13.8854
428.849,20.3419
428.935,0.0
429.021,4.44306
429.107,9.58728
429.194,3.38656
429.28,20.3854
429.366,0.0
429.453,14.5869
429.539,11.1898
429.625,18.6591
429.712,18.9749
429.798,18.0347
429.884,2.62136
429.97,15.7423
430.057,0.827797
430.143,0.627135
430.229,21.9823
430.316,4.41583
430.402,10.4219
430.488,0.0
430.574,11.1231
430.661,10.5673
430.747,17.2257
430.833,0.0
430.919,0.0
431.006,21.6799
431.092,13.1941
431.178,0.0
431.264,22.8671
431.351,0.0
431.437,0.0
431.523,0.0
431.61,13.1424
431.696,16.4551
431.782,18.9935
431.868,8.08135
431.955,16.3657
432.041,20.2537
432.127,0.0409895
432.213,10.6599
432.3,0.0
432.386,5.75096
432.472,5.61869
432.558,0.0
432.644,0.0
432.731,7.56214
432.817,9.94331
432.903,0.0
432.989,0.0
433.076,21.5557
433.162,19.127
433.248,0.0
433.334,2.38788
433.421,9.22622
433.507,0.0
433.593,20.3844
433.679,0.0
433.765,0.0
433.852,0.0
433.938,20.9465
434.024,9.68754
434.11,0.0
434.196,13.15
434.283,0.0
434.369,0.0
434.455,6.0107
434.541,17.7798
434.627,0.0
434.714,1.41723
434.8,0.0
434.886,0.0
434.972,6.18892
435.058,1.95119
435.145,0.0
435.231,0.0
435.317,0.0
435.403,6.00019
435.489,3.26237
435.576,0.0
435.662,4.30815
435.748,0.473795
435.834,0.0
435.92,0.0
436.006,19.7975
436.093,3.09942
436.179,1.76804
436.265,2.86952
436.351,0.0
436.437,0.0
436.523,8.95932
436.61,0.0
436.696,0.0
436.782,8.37591
436.868,0.0
436.954,9.22602
437.04,7.5842
437.126,9.43709
437.213,18.1634
437.299,0.0
437.385,0.0
437.471,19.0482
437.557,17.4265
437.643,11.9329
437.729,17.0079
437.816,0.334443
437.902,0.0
437.988,0.0
438.074,9.22075
438.16,10.6011
438.246,0.0
438.332,22.7975
438.419,1.27619
438.505,7.78891
438.591,0.0
438.677,0.0
438.763,18.6855
438.849,0.0
438.935,17.0034
439.021,22.4374
439.107,0.0
439.194,18.2425
439.28,6.51042
439.366,15.3514
439.452,22.4706
439.538,0.0
439.624,0.0
439.71,11.0353
439.796,14.5499
439.882,0.0
439.969,12.9925
440.055,0.0
440.141,4.96534
440.227,12.6672
440.313,0.0
440.399,13.7145
440.485,3.1616
440.571,4.11443
440.657,13.0658
440.743,11.8404
440.829,10.6656
440.915,1.17429
441.002,3.71017
441.088,0.452547
441.174,11.0116
441.26,0.0
441.346,4.10602
441.432,7.65794
441.518,12.2563
441.604,0.0
441.69,4.41089
441.776,0.0
441.862,0.0
441.948,12.6279
442.034,0.0
442.12,14.7783
442.206,8.92857
442.292,0.371405
442.379,7.84963
442.465,0.0
442.551,0.0
442.637,0.0
442.723,8.45766
442.809,0.0
442.895,0.0
442.981,0.0
443.067,6.46555
443.153,4.99619
443.239,9.02588
443.325,4.69304
443.411,0.0
443.497,0.0
443.583,3.23973
443.669,0.0
443.755,5.91636
443.841,0.0
443.927,0.0
444.013,14.0243
444.099,0.0
444.185,4.92985
444.271,0.0
444.357,0.0
444.443,21.3578
444.529,3.54291
444.615,21.0329
444.701,0.0
444.787,10.8182
444.873,10.2289
444.959,0.0
445.045,0.0
445.131,0.0
445.217,8.78551
445.303,0.0
445.389,1.74876
445.475,9.3417
445.561,16.0464
445.647,0.447959
445.733,0.0
445.819,0.0
445.905,4.12478
445.991,0.0
446.077,0.0
446.163,0.0
446.249,0.0
446.335,2.81023
446.421,1.44639
446.507,0.0
446.593,0.0
446.679,6.56874
446.765,0.759782
446.851,7.27479
446.937,0.0
447.023,0.0
447.109,1.36798
447.195,6.44055
447.281,3.57585
447.367,4.20562
447.452,13.457
447.538,5.98968
447.624,4.54402
447.71,0.0
447.796,0.0
447.882,7.91376
447.968,11.0827
448.054,0.0
448.14,8.28953
448.226,25.207
448.312,0.0
448.398,0.0
448.484,8.0127
448.57,0.0
448.656,9.78853
448.742,7.17634
448.827,21.6649
448.913,0.0
448.999,0.0
449.085,5.98214
449.171,14.3692
449.257,0.28776
449.343,28.3978
449.429,4.99323
449.515,5.27405
449.601,3.78871
449.687,10.4163
449.773,1.06425
449.858,0.0
449.944,28.8165
450.03,0.210397
450.116,0.0
450.202,2.48371
450.288,5.87939
450.374,0.0
450.46,3.25743
450.546,10.3689
450.632,0.0
450.717,0.274659
