λ,Raw_E
394.019,0.0
394.106,0.0
394.192,24.6422
394.279,0.0
394.366,6.89284
394.453,9.07737
394.54,7.71204
394.627,0.0
394.714,0.0
394.801,0.0
394.888,88.1455
394.975,76.4459
395.062,114.287
395.149,77.7585
395.236,103.249
395.323,79.1054
395.41,67.9964
395.497,76.6393
395.584,117.635
395.671,26.011
395.758,51.3241
395.845,55.3477
395.932,84.4171
396.019,64.9714
396.105,139.677
396.192,77.3227
396.279,87.1016
396.366,112.293
396.453,37.4883
396.54,60.5131
396.627,65.7396
396.714,110.029
396.801,75.5959
396.888,74.0098
396.975,94.4781
397.062,70.3661
397.149,106.987
397.235,61.5178
397.322,89.7171
397.409,76.1764
397.496,62.488
397.583,81.8479
397.67,92.153
397.757,60.785
397.844,61.0528
397.931,89.2288
398.018,75.6599
398.105,111.886
398.191,76.6477
398.278,98.8722
398.365,73.7689
398.452,130.392
398.539,101.276
398.626,54.6572
398.713,59.5114
398.8,70.4035
398.887,84.5339
398.973,103.017
399.06,107.091
399.147,70.1303
399.234,70.1201
399.321,50.871
399.408,85.3446
399.495,101.987
399.582,83.9379
399.668,56.5758
399.755,97.7219
399.842,125.586
399.929,61.2584
400.016,48.9453
400.103,54.3204
400.19,110.831
400.276,72.2944
400.363,64.5472
400.45,86.0872
400.537,118.937
400.624,78.931
400.711,61.0039
400.798,128.877
400.884,89.5191
400.971,62.971
401.058,105.964
401.145,70.8087
401.232,74.0973
401.319,64.0551
401.405,73.8766
401.492,75.0328
401.579,101.704
401.666,99.8899
401.753,106.087
401.84,68.7578
401.926,36.9047
402.013,107.196
402.1,63.9973
402.187,72.921
402.274,82.6033
402.36,78.247
402.447,79.9074
402.534,66.2462
402.621,89.0418
402.708,115.548
402.795,62.6163
402.881,48.9427
402.968,56.9289
403.055,95.0562
403.142,115.212
403.229,84.9658
403.315,56.5627
403.402,76.8218
403.489,84.5028
403.576,66.6388
403.663,86.8232
403.749,87.778
403.836,84.1278
403.923,61.8064
404.01,44.1677
404.096,94.2445
404.183,69.4476
404.27,69.1276
404.357,96.928
404.444,72.3019
404.53,58.3075
404.617,74.0825
404.704,114.319
404.791,61.4405
404.877,109.85
404.964,93.8358
405.051,65.0544
405.138,97.2778
405.224,78.2776
405.311,100.759
405.398,68.4243
405.485,70.6551
405.572,73.7587
405.658,105.476
405.745,107.469
405.832,78.0237
405.919,114.731
406.005,48.6588
406.092,89.3812
406.179,96.6612
406.266,40.1688
406.352,92.6693
406.439,121.959
406.526,115.536
406.612,68.6317
406.699,85.6631
406.786,62.8864
406.873,74.8882
406.959,80.6276
407.046,69.604
407.133,97.6675
407.22,90.5014
407.306,74.0128
407.393,72.9334
407.48,62.5293
407.566,71.4729
407.653,54.8059
407.74,76.7149
407.827,38.94
407.913,110.571
408.0,83.8603
408.087,110.915
408.173,64.0734
408.26,105.472
408.347,87.9268
408.434,71.2294
408.52,107.654
408.607,86.0646
408.694,76.0759
408.78,72.0602
408.867,73.9465
408.954,72.4365
409.04,79.4574
409.127,109.117
409.214,90.6655
409.3,62.5442
409.387,84.7917
409.474,72.9317
409.56,74.1341
409.647,68.8854
409.734,90.2375
409.821,79.812
409.907,68.5369
409.994,97.012
410.081,100.576
410.167,88.9903
410.254,58.0579
410.341,63.7929
410.427,99.8756
410.514,100.272
410.6,93.2777
410.687,126.217
410.774,92.4974
410.86,65.0835
410.947,80.0284
411.034,65.7476
411.12,67.0165
411.207,84.3839
411.294,75.1394
411.38,95.9798
411.467,107.928
411.554,49.1445
411.64,90.1211
411.727,121.101
411.814,58.863
411.9,87.4737
411.987,78.311
412.073,76.4046
412.16,107.472
412.247,36.327
412.333,117.684
412.42,68.941
412.507,84.8213
412.593,123.394
412.68,98.7259
412.766,79.5813
412.853,96.9859
412.94,65.7901
413.026,91.8863
413.113,77.2527
413.2,86.9724
413.286,93.0591
413.373,62.4879
413.459,85.5363
413.546,33.198
413.633,94.8992
413.719,57.7787
413.806,50.9943
413.892,97.2147
413.979,102.524
414.066,40.9945
414.152,45.5741
414.239,71.3255
414.325,95.2014
414.412,82.0015
414.498,44.0113
414.585,94.9976
414.672,63.4191
414.758,80.8121
414.845,78.8786
414.931,83.9918
415.018,71.5371
415.104,60.5078
415.191,55.4041
415.278,58.7505
415.364,50.7099
415.451,79.4984
415.537,58.4099
415.624,85.2892
415.71,101.69
415.797,67.4909
415.884,73.4884
415.97,68.2697
416.057,69.8811
416.143,85.7902
416.23,76.2285
416.316,60.6049
416.403,46.3125
416.489,76.8543
416.576,67.2496
416.663,95.26
416.749,56.9695
416.836,131.66
416.922,68.2061
417.009,133.695
417.095,73.2222
417.182,107.437
417.268,83.3296
417.355,80.7125
417.441,93.8505
417.528,87.2418
417.614,51.7742
417.701,79.5135
417.787,66.7537
417.874,91.1735
417.96,104.592
418.047,83.8706
418.133,100.7
418.22,94.2205
418.307,62.2555
418.393,45.5812
418.48,73.2245
418.566,60.9177
418.653,71.0297
418.739,55.6137
418.826,94.6052
418.912,70.6921
418.999,90.1858
419.085,55.4982
419.172,73.6895
419.258,78.0874
419.345,72.2874
419.431,85.9869
419.518,63.0832
419.604,72.3768
419.69,83.5211
419.777,84.0276
419.863,98.894
419.95,63.8102
420.036,100.828
420.123,36.949
420.209,96.2308
420.296,104.545
420.382,54.7424
420.469,110.622
420.555,43.9506
420.642,103.023
420.728,17.7475
420.815,64.8817
420.901,96.8364
420.988,105.313
421.074,68.8753
421.16,84.3268
421.247,82.5167
421.333,116.035
421.42,99.2788
421.506,63.3642
421.593,101.419
421.679,82.8272
421.766,100.47
421.852,96.1553
421.939,76.004
422.025,104.274
422.111,104.668
422.198,78.3219
422.284,97.3998
422.371,111.079
422.457,93.6716
422.544,62.6656
422.63,61.5088
422.716,83.0257
422.803,86.6399
422.889,81.577
422.976,75.9228
423.062,37.6218
423.149,88.8515
423.235,87.3706
423.321,78.0404
423.408,41.5617
423.494,73.3964
423.581,64.2552
423.667,71.4838
423.753,85.6725
423.84,89.2572
423.926,85.708
424.013,82.0125
424.099,88.3831
424.185,52.0907
424.272,77.2613
424.358,109.118
424.445,80.5291
424.531,61.1752
424.617,87.9423
424.704,87.0093
424.79,43.4177
424.877,112.049
424.963,64.7424
425.049,102.034
425.136,67.7473
425.222,47.8694
425.308,63.322
425.395,71.185
425.481,73.7508
425.568,106.357
425.654,78.5517
425.74,67.4724
425.827,61.1759
425.913,79.0234
425.999,72.1522
426.086,64.7845
426.172,78.668
426.258,100.427
426.345,64.1559
426.431,94.4376
426.518,61.2257
426.604,106.087
426.69,60.242
426.777,76.4486
426.863,74.6112
426.949,102.293
427.036,84.445
427.122,84.9511
427.208,107.116
427.295,89.1246
427.381,72.6472
427.467,59.3463
427.554,61.9097
427.64,69.3206
427.726,93.998
427.813,104.093
427.899,77.8688
427.985,118.397
428.072,105.468
428.158,86.9756
428.244,139.99
428.331,96.0521
428.417,75.9775
428.503,74.5379
428.59,78.8667
428.676,116.59
428.762,108.612
428.849,109.454
428.935,90.5015
429.021,77.8938
429.107,74.7774
429.194,88.2422
429.28,85.622
429.366,59.7723
429.453,99.022
429.539,93.8115
429.625,93.3219
429.712,74.5439
