λ,sp1_E
394.019,0.0
394.106,8.55023
394.192,0.0
394.279,4.31363
394.366,7.1849
394.453,1.17743
394.54,0.0
394.627,0.0
394.714,0.0
394.801,1.72356
394.888,116.169
394.975,91.9507
395.062,150.156
395.149,97.5798
395.236,147.468
395.323,103.55
395.41,151.51
395.497,156.781
395.584,125.997
395.671,74.6394
395.758,86.49
395.845,101.091
395.932,110.897
396.019,638.073
396.105,1258.52
396.192,1247.96
396.279,1197.61
396.366,1252.09
396.453,1221.26
396.54,1216.25
396.627,1349.04
396.714,1411.67
396.801,1435.38
396.888,1443.67
396.975,1511.92
397.062,1497.83
397.149,1585.27
397.235,1625.4
397.322,1664.6
397.409,1700.32
397.496,1716.63
397.583,1786.48
397.67,1874.0
397.757,1845.67
397.844,1918.29
397.931,1989.12
398.018,2059.46
398.105,2135.46
398.191,2197.43
398.278,2291.3
398.365,2343.77
398.452,2460.56
398.539,2467.86
398.626,2518.81
398.713,2515.95
398.8,2669.36
398.887,2713.46
398.973,2809.4
399.06,2861.52
399.147,2973.55
399.234,3112.25
399.321,3163.32
399.408,3265.85
399.495,3312.52
399.582,3328.58
399.668,3344.03
399.755,3417.86
399.842,3286.53
399.929,3249.9
400.016,2880.67
400.103,2340.91
400.19,1791.47
400.276,1234.62
400.363,942.24
400.45,904.492
400.537,856.05
400.624,928.409
400.711,934.88
400.798,948.019
400.884,946.854
400.971,946.733
401.058,965.544
401.145,967.597
401.232,1014.31
401.319,997.507
401.405,1065.21
401.492,1070.8
401.579,1105.57
401.666,1108.77
401.753,1288.01
401.84,1184.41
401.926,1155.11
402.013,1298.96
402.1,1226.22
402.187,1228.5
402.274,1319.96
402.36,1300.32
402.447,1409.05
402.534,1394.56
402.621,1415.85
402.708,1562.25
402.795,1517.28
402.881,1486.66
402.968,1552.6
403.055,1664.35
403.142,1805.15
403.229,1676.12
403.315,1648.81
403.402,1755.13
403.489,1803.26
403.576,1897.51
403.663,1911.67
403.749,1954.54
403.836,2009.77
403.923,2079.54
404.01,2080.04
404.096,2244.63
404.183,2288.7
404.27,2303.08
404.357,2347.76
404.444,2415.38
404.53,2424.53
404.617,2527.89
404.704,2637.31
404.791,2729.26
404.877,2888.88
404.964,2876.24
405.051,2867.55
405.138,3004.91
405.224,3044.19
405.311,3203.84
405.398,3268.33
405.485,3390.76
405.572,3522.85
405.658,3560.34
405.745,3570.06
405.832,3577.8
405.919,3676.06
406.005,3506.78
406.092,3246.62
406.179,2666.44
406.266,1799.79
406.352,1126.28
406.439,661.389
406.526,472.962
406.612,395.537
406.699,367.887
406.786,345.544
406.873,399.039
406.959,384.03
407.046,351.334
407.133,353.667
407.22,386.302
407.306,357.148
407.393,390.487
407.48,388.794
407.566,379.374
407.653,361.332
407.74,429.726
407.827,369.741
407.913,485.697
408.0,469.685
408.087,472.73
408.173,421.919
408.26,515.365
408.347,485.191
408.434,474.188
408.52,491.331
408.607,540.176
408.694,477.6
408.78,515.99
408.867,534.235
408.954,523.023
409.04,550.991
409.127,582.458
409.214,562.212
409.3,580.516
409.387,596.066
409.474,602.657
409.56,615.438
409.647,545.685
409.734,520.942
409.821,444.112
409.907,413.097
409.994,433.183
410.081,468.438
410.167,443.081
410.254,428.184
410.341,427.366
410.427,525.2
410.514,486.671
410.6,491.251
410.687,541.018
410.774,521.912
410.86,480.464
410.947,475.675
411.034,524.937
411.12,506.449
411.207,522.888
411.294,562.562
411.38,549.084
411.467,594.826
411.554,490.093
411.64,566.038
411.727,605.88
411.814,602.099
411.9,592.419
411.987,608.773
