λ,Raw_E
394.019,0.0
394.106,4.529
394.192,0.0
394.279,12.5804
394.366,7.25967
394.453,0.0
394.54,4.529
394.627,0.0
394.714,0.0
394.801,5.07514
394.888,88.6643
394.975,96.9407
395.062,163.338
395.149,100.658
395.236,155.461
395.323,83.4181
395.41,145.305
395.497,74.39
395.584,66.543
395.671,72.5296
395.758,131.894
395.845,67.8516
395.932,89.6724
396.019,84.6413
396.105,184.355
396.192,148.665
396.279,94.2222
396.366,124.671
396.453,61.897
396.54,75.9979
396.627,45.4908
396.714,81.9141
396.801,138.658
396.888,131.39
396.975,117.44
397.062,80.9582
397.149,119.247
397.235,94.6642
397.322,84.9808
397.409,111.967
397.496,70.6633
397.583,118.121
397.67,123.167
397.757,98.933
397.844,92.0958
397.931,80.1811
398.018,74.0695
398.105,103.65
398.191,91.6099
398.278,132.236
398.365,45.1653
398.452,97.5167
398.539,144.689
398.626,92.958
398.713,88.1939
398.8,69.291
398.887,106.563
398.973,176.57
399.06,99.7948
399.147,85.6749
399.234,95.2118
399.321,84.5664
399.408,102.996
399.495,93.9556
399.582,107.283
399.668,82.8688
399.755,109.729
399.842,8.71543
399.929,113.26
400.016,37.2975
400.103,64.4317
400.19,122.293
400.276,104.749
400.363,125.572
400.45,115.677
400.537,92.0843
400.624,140.96
400.711,145.519
400.798,155.381
400.884,81.3079
400.971,76.8176
401.058,133.039
401.145,39.518
401.232,132.93
401.319,88.2701
401.405,153.788
401.492,78.5497
401.579,101.581
401.666,133.998
401.753,179.433
401.84,138.909
401.926,108.243
402.013,190.116
402.1,167.344
402.187,152.15
402.274,185.714
402.36,170.721
402.447,172.95
402.534,155.458
402.621,143.705
402.708,231.397
402.795,111.88
402.881,139.146
402.968,136.823
403.055,176.76
403.142,244.651
403.229,100.6
403.315,79.5658
403.402,125.272
403.489,138.177
403.576,125.113
403.663,119.88
403.749,143.635
403.836,137.973
403.923,105.891
404.01,104.747
404.096,145.645
404.183,185.617
404.27,92.9537
404.357,148.008
404.444,149.0
404.53,148.591
404.617,156.111
404.704,133.093
404.791,201.552
404.877,374.284
404.964,376.661
405.051,492.496
405.138,764.746
405.224,899.324
405.311,1126.97
405.398,1415.1
405.485,1869.3
405.572,2377.13
405.658,3222.9
405.745,4340.18
405.832,5866.72
405.919,7555.32
406.005,8795.06
406.092,9631.27
406.179,10426.0
406.266,10847.9
406.352,11311.5
406.439,11375.8
406.526,9756.21
406.612,7333.14
406.699,4134.1
406.786,1523.63
406.873,555.854
406.959,246.753
407.046,107.833
407.133,133.376
407.22,156.181
407.306,139.042
407.393,121.864
407.48,99.4178
407.566,170.007
407.653,91.0709
407.74,137.073
407.827,60.1583
407.913,164.372
408.0,160.648
408.087,149.494
408.173,91.0373
408.26,117.582
408.347,135.467
408.434,89.5114
408.52,129.592
408.607,86.1409
408.694,116.135
408.78,105.099
408.867,93.8535
408.954,86.1912
409.04,115.798
409.127,131.153
409.214,95.6157
409.3,115.559
409.387,95.61
409.474,80.628
409.56,127.543
409.647,135.341
409.734,127.528
409.821,82.1007
409.907,91.4992
409.994,120.87
410.081,137.556
410.167,138.687
410.254,120.239
410.341,84.1958
410.427,205.786
410.514,131.213
410.6,129.239
410.687,94.9017
410.774,139.42
410.86,119.545
410.947,83.3526
411.034,153.095
411.12,130.784
411.207,114.455
411.294,89.9587
411.38,126.724
411.467,167.825
411.554,65.0025
411.64,116.918
411.727,189.801
411.814,112.838
411.9,123.912
411.987,108.044
412.073,124.438
412.16,93.4578
412.247,79.5083
412.333,101.046
412.42,86.2999
412.507,120.518
412.593,120.659
412.68,102.179
412.766,117.957
412.853,152.493
412.94,114.678
413.026,99.4225
413.113,94.1852
413.2,155.404
413.286,101.495
413.373,82.405
413.459,110.479
413.546,67.789
413.633,84.9684
413.719,86.6399
413.806,121.131
413.892,151.859
413.979,138.175
414.066,75.1899
414.152,56.7693
414.239,87.7921
414.325,115.61
414.412,125.801
414.498,71.9393
414.585,161.078
414.672,88.9095
414.758,87.6507
414.845,133.482
414.931,97.833
415.018,111.153
415.104,53.0496
415.191,64.1414
415.278,67.8305
415.364,90.7978
415.451,108.234
415.537,66.33
415.624,140.023
415.71,84.0777
415.797,79.3038
415.884,113.69
415.97,85.5035
416.057,102.107
416.143,92.1456
416.23,66.1955
416.316,59.2512
416.403,42.6813
416.489,89.5654
416.576,104.763
416.663,166.518
416.749,28.4968
416.836,135.279
416.922,79.915
417.009,194.508
417.095,64.552
417.182,104.583
417.268,94.051
417.355,122.677
417.441,95.705
417.528,142.289
417.614,80.6385
417.701,97.6147
417.787,92.0289
417.874,110.285
417.96,137.94
418.047,150.839
418.133,125.515
418.22,112.01
418.307,119.35
418.393,110.851
418.48,53.9071
418.566,82.2683
418.653,123.245
418.739,88.5904
418.826,76.4614
418.912,99.6325
418.999,112.952
419.085,89.4518
419.172,97.7084
419.258,109.508
419.345,69.236
419.431,130.222
419.518,95.8837
419.604,91.2601
419.69,130.752
419.777,135.588
419.863,105.519
419.95,110.445
420.036,161.543
420.123,3.47442
420.209,120.946
420.296,113.545
420.382,63.9102
420.469,178.946
420.555,90.6594
420.642,96.3001
420.728,55.4564
420.815,93.7462
420.901,162.025
420.988,64.2906
421.074,114.294
421.16,119.256
421.247,105.532
421.333,92.2868
421.42,134.688
421.506,116.652
421.593,107.019
421.679,90.0425
421.766,184.038
421.852,119.429
421.939,106.706
422.025,121.467
422.111,140.005
422.198,111.342
422.284,115.092
422.371,130.708
422.457,134.942
422.544,71.8377
422.63,26.6527
422.716,111.466
422.803,149.551
422.889,141.882
422.976,98.6252
423.062,81.0055
423.149,150.424
423.235,161.388
423.321,128.802
423.408,80.1473
423.494,155.012
423.581,139.734
423.667,117.054
423.753,155.262
423.84,99.3526
423.926,148.233
424.013,134.561
424.099,110.712
424.185,86.4597
424.272,50.5118
424.358,116.41
424.445,133.233
424.531,99.4404
424.617,154.613
424.704,110.695
424.79,49.4529
424.877,160.774
424.963,109.579
425.049,142.928
425.136,80.6358
425.222,85.936
425.308,72.3313
425.395,106.353
425.481,128.415
425.568,162.497
425.654,77.6687
425.74,103.297
425.827,62.5779
425.913,114.111
425.999,115.933
426.086,69.5219
426.172,113.127
426.258,91.1085
426.345,98.029
426.431,108.075
426.518,115.925
426.604,150.215
426.69,18.3846
426.777,130.26
426.863,135.324
426.949,117.504
427.036,124.135
427.122,133.066
427.208,155.551
427.295,110.556
427.381,131.669
427.467,72.5719
427.554,82.341
427.64,134.3
427.726,129.587
427.813,102.81
427.899,63.7417
427.985,163.366
428.072,157.169
428.158,90.9665
428.244,105.245
428.331,103.385
428.417,66.7858
428.503,74.8293
428.59,74.7486
428.676,179.686
428.762,167.008
428.849,115.444
428.935,86.2765
429.021,89.46
429.107,148.763
429.194,108.245
429.28,108.739
429.366,29.4601
429.453,129.259
429.539,139.591
429.625,147.077
429.712,149.662
429.798,92.7658
429.884,111.754
429.97,113.71
430.057,141.642
430.143,113.741
430.229,115.677
430.316,59.2168
430.402,74.0011
430.488,72.6433
430.574,104.373
430.661,84.3094
430.747,99.1982
430.833,150.618
430.919,27.8483
431.006,101.047
431.092,48.7248
431.178,89.2193
431.264,99.2794
431.351,100.954
431.437,138.441
431.523,93.9545
431.61,82.6765
431.696,136.741
431.782,66.0007
431.868,118.945
431.955,111.313
432.041,126.89
432.127,75.2047
432.213,86.5032
432.3,77.2506
432.386,69.7285
432.472,138.773
432.558,155.225
432.644,113.365
432.731,79.225
432.817,184.84
432.903,143.793
432.989,64.703
433.076,148.077
433.162,53.2541
433.248,120.366
433.334,63.1684
433.421,113.111
433.507,122.634
433.593,100.134
433.679,91.5361
433.765,74.9024
433.852,84.1205
433.938,78.6628
434.024,103.848
434.11,99.487
434.196,78.6602
434.283,123.811
434.369,89.4433
434.455,129.854
434.541,58.1594
434.627,89.768
434.714,107.532
434.8,123.073
434.886,114.552
434.972,136.416
435.058,60.6193
435.145,72.6869
435.231,9.0246
435.317,113.256
435.403,121.486
435.489,75.9228
435.576,92.0027
435.662,153.311
435.748,100.783
435.834,81.9729
435.92,118.05
436.006,124.944
436.093,65.7046
436.179,125.587
436.265,152.2
436.351,161.27
436.437,46.25
436.523,49.274
436.61,65.2578
436.696,97.6326
436.782,112.168
436.868,53.3294
436.954,74.5939
437.04,134.831
437.126,137.725
437.213,133.056
437.299,195.724
437.385,129.754
437.471,93.5773
437.557,162.674
437.643,96.9751
437.729,103.943
437.816,131.243
437.902,137.878
437.988,157.001
438.074,154.691
438.16,91.114
438.246,114.044
438.332,146.086
438.419,167.63
438.505,101.594
438.591,106.901
438.677,126.577
438.763,129.098
438.849,143.283
438.935,116.291
439.021,147.775
439.107,91.913
439.194,81.878
439.28,121.869
439.366,77.275
439.452,106.246
439.538,104.772
439.624,101.88
439.71,65.941
439.796,87.4624
439.882,101.813
439.969,89.5041
440.055,101.365
440.141,54.1714
440.227,106.269
440.313,86.7558
440.399,80.2917
440.485,101.338
440.571,97.2748
440.657,67.7261
440.743,117.298
440.829,70.8582
440.915,118.041
441.002,44.5769
441.088,150.786
441.174,45.3925
441.26,88.5894
441.346,87.0711
441.432,149.338
441.518,124.578
441.604,86.6707
441.69,113.606
441.776,115.889
441.862,145.207
441.948,103.4
442.034,107.344
442.12,81.5216
442.206,97.1558
442.292,70.0627
442.379,101.283
442.465,122.815
442.551,101.342
442.637,87.4695
442.723,112.255
442.809,169.134
442.895,160.099
442.981,107.656
443.067,89.6324
443.153,132.372
443.239,122.162
443.325,87.2692
443.411,109.643
443.497,130.737
443.583,115.708
443.669,57.7403
443.755,115.956
443.841,93.5764
443.927,124.088
444.013,116.03
444.099,41.0212
444.185,122.37
444.271,98.9165
444.357,84.211
444.443,122.508
444.529,116.867
444.615,81.2883
444.701,108.646
444.787,82.8817
444.873,148.863
444.959,143.095
445.045,74.7226
445.131,102.418
445.217,141.246
445.303,124.782
445.389,111.166
445.475,92.091
445.561,140.749
445.647,71.8996
445.733,74.5074
445.819,128.276
