λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,3.21421
394.366,0.0
394.453,0.0
394.54,12.2487
394.627,6.51426
394.714,0.0
394.801,0.0
394.888,35.2711
394.975,54.5297
395.062,33.1694
395.149,42.1389
395.236,35.3033
395.323,10.8328
395.41,35.5834
395.497,27.089
395.584,52.9437
395.671,37.1297
395.758,19.7434
395.845,31.3298
395.932,56.3263
396.019,2101.63
396.105,3763.46
396.192,3711.56
396.279,3617.82
396.366,3547.49
396.453,3432.81
396.54,3519.33
396.627,3518.43
396.714,3496.66
396.801,3496.97
396.888,3430.46
396.975,3401.01
397.062,3384.07
397.149,3295.42
397.235,3343.89
397.322,3327.55
397.409,3262.68
397.496,3285.82
397.583,3312.99
397.67,3291.75
397.757,3210.0
397.844,3230.52
397.931,3228.32
398.018,3190.54
398.105,3146.73
398.191,3160.84
398.278,3140.46
398.365,3160.01
398.452,3112.25
398.539,3082.08
398.626,3064.25
398.713,3091.21
398.8,3022.99
398.887,2964.76
398.973,2983.7
399.06,2925.84
399.147,2958.88
399.234,2917.25
399.321,2867.69
399.408,2905.81
399.495,2927.29
399.582,2854.6
399.668,2801.59
399.755,2798.62
399.842,2789.88
399.929,2822.87
400.016,2759.33
400.103,2782.36
400.19,2805.1
400.276,2812.85
400.363,2758.1
400.45,2872.43
400.537,2774.25
400.624,2767.87
400.711,2784.21
400.798,2822.37
400.884,2764.69
400.971,2749.02
401.058,2700.11
401.145,2741.49
401.232,2646.11
401.319,2543.56
401.405,2580.46
401.492,2577.34
401.579,2562.75
401.666,2498.43
401.753,2534.89
401.84,2549.95
401.926,2550.55
402.013,2537.78
402.1,2597.5
402.187,2561.44
402.274,2587.47
402.36,2576.02
402.447,2533.45
402.534,2500.57
402.621,2420.86
402.708,2394.48
402.795,2345.18
402.881,2378.3
402.968,2358.06
403.055,2403.3
403.142,2359.76
403.229,2428.64
403.315,2485.54
403.402,2511.86
403.489,2566.66
403.576,2766.75
403.663,2917.99
403.749,3040.16
403.836,3350.19
403.923,3720.38
404.01,4420.47
404.096,5771.22
404.183,8055.6
404.27,10730.3
404.357,13222.9
404.444,16041.7
404.53,16335.4
404.617,16320.9
404.704,16309.4
404.791,16337.7
404.877,16327.7
404.964,16329.8
405.051,16333.9
405.138,16320.8
405.224,16338.6
405.311,16323.3
405.398,16330.6
405.485,15018.0
405.572,2801.05
405.658,2357.16
405.745,2313.22
405.832,2250.65
405.919,2275.27
406.005,2198.44
406.092,2190.07
406.179,2198.7
406.266,2160.29
406.352,2138.14
406.439,2146.46
406.526,2119.29
406.612,2126.22
406.699,2120.42
406.786,2120.89
406.873,2111.81
406.959,2134.08
407.046,2156.33
407.133,2188.1
407.22,2226.43
407.306,2349.56
407.393,2573.46
407.48,2727.14
407.566,2874.62
407.653,3091.61
407.74,3447.56
407.827,3950.38
407.913,4728.32
408.0,5405.92
408.087,5301.77
408.173,4634.36
408.26,3702.83
408.347,2670.23
408.434,2039.4
408.52,1968.67
408.607,2004.69
408.694,1949.86
408.78,1976.53
408.867,1957.12
408.954,1960.6
409.04,2002.54
409.127,1928.88
409.214,1965.55
409.3,1920.32
409.387,1905.32
409.474,1928.51
409.56,1888.32
409.647,1884.04
409.734,1885.1
409.821,1856.46
409.907,1872.84
409.994,1882.63
410.081,1874.29
410.167,1788.96
410.254,1842.23
410.341,1851.18
410.427,1827.26
410.514,1892.67
410.6,1815.99
410.687,1844.6
410.774,1809.74
410.86,1818.78
410.947,1864.85
411.034,1846.04
411.12,1821.87
411.207,1848.74
411.294,1785.97
411.38,1773.92
411.467,1834.6
411.554,1815.86
411.64,1871.29
411.727,1749.74
411.814,1701.37
411.9,1679.58
411.987,1719.63
412.073,1732.03
412.16,1660.98
412.247,1671.28
412.333,1646.75
412.42,1626.81
412.507,1627.2
412.593,1640.37
412.68,1634.22
412.766,1608.84
412.853,1588.39
412.94,1579.83
413.026,1583.16
413.113,1601.4
413.2,1579.25
413.286,1542.29
413.373,1526.4
413.459,1507.49
413.546,1511.91
413.633,1568.89
413.719,1463.91
413.806,1486.13
413.892,1489.52
413.979,1500.28
414.066,1458.68
414.152,1446.25
414.239,1428.59
414.325,1411.24
414.412,1464.44
414.498,1404.74
414.585,1426.08
414.672,1457.54
414.758,1416.73
414.845,1435.47
414.931,1362.08
415.018,1371.33
415.104,1320.39
415.191,1363.02
415.278,1339.68
415.364,1351.56
415.451,1357.35
415.537,1306.89
415.624,1325.9
415.71,1293.05
415.797,1298.68
415.884,1349.35
415.97,1285.51
416.057,1330.74
416.143,1291.24
416.23,1319.22
416.316,1285.07
416.403,1245.91
416.489,1291.61
416.576,1274.87
416.663,1272.14
416.749,1227.55
416.836,1266.39
416.922,1217.19
417.009,1253.63
417.095,1203.94
417.182,1254.33
417.268,1240.06
417.355,1185.71
417.441,1243.44
417.528,1170.62
417.614,1196.74
417.701,1164.47
417.787,1130.86
417.874,1138.56
417.96,1171.25
418.047,1152.69
418.133,1148.62
418.22,1156.24
418.307,1096.14
418.393,1141.16
418.48,1115.15
418.566,1115.23
418.653,1141.71
418.739,1094.38
418.826,1087.78
418.912,1101.08
418.999,1066.07
419.085,1038.85
419.172,1061.95
419.258,1058.29
419.345,1046.87
419.431,1029.03
419.518,1051.63
419.604,1054.6
419.69,1033.8
419.777,991.981
419.863,1032.58
419.95,998.773
420.036,1064.55
420.123,996.128
420.209,998.579
420.296,1007.39
420.382,947.733
420.469,987.027
420.555,979.704
420.642,956.548
420.728,931.22
420.815,967.483
420.901,950.818
420.988,955.537
421.074,926.999
421.16,918.972
421.247,951.415
421.333,877.962
421.42,912.887
421.506,923.247
421.593,912.123
421.679,920.376
421.766,891.594
421.852,894.086
421.939,871.564
422.025,882.127
422.111,881.882
422.198,857.004
422.284,850.92
422.371,870.449
422.457,853.186
422.544,846.109
422.63,843.485
422.716,815.283
422.803,848.998
422.889,805.13
422.976,816.578
423.062,790.699
423.149,800.928
423.235,787.407
423.321,809.573
423.408,761.432
423.494,792.563
423.581,743.217
423.667,782.528
423.753,751.882
423.84,727.814
423.926,769.289
424.013,766.002
424.099,774.75
424.185,772.706
424.272,731.322
424.358,718.453
424.445,729.511
424.531,736.627
424.617,745.395
424.704,718.398
424.79,699.245
424.877,718.273
424.963,695.221
425.049,701.491
425.136,699.739
425.222,690.2
425.308,643.02
425.395,702.095
425.481,706.893
425.568,677.395
425.654,682.024
425.74,644.088
425.827,701.267
425.913,669.594
425.999,643.553
426.086,647.084
426.172,643.1
426.258,669.533
426.345,648.75
426.431,682.779
426.518,642.718
426.604,629.119
426.69,615.429
426.777,625.24
426.863,677.134
426.949,669.053
427.036,621.485
427.122,634.29
427.208,622.479
427.295,631.198
427.381,622.245
427.467,617.398
427.554,623.891
427.64,623.691
427.726,615.97
427.813,655.727
427.899,622.344
427.985,611.9
428.072,616.402
428.158,586.131
428.244,614.141
428.331,577.186
428.417,586.905
428.503,571.902
428.59,567.363
428.676,572.424
428.762,590.037
428.849,604.004
428.935,577.467
429.021,558.189
429.107,571.164
429.194,585.731
429.28,552.027
429.366,576.592
429.453,569.524
429.539,592.173
429.625,572.79
429.712,583.826
429.798,588.17
