λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,0.0
394.366,1.55625
394.453,0.0
394.54,18.2133
394.627,0.0
394.714,0.0
394.801,0.0
394.888,0.0
394.975,0.0
395.062,0.0
395.149,6.04324
395.236,0.0
395.323,0.0
395.41,0.0
395.497,13.9005
395.584,10.1723
395.671,5.05367
395.758,16.9963
395.845,13.0358
395.932,29.4485
396.019,4546.39
396.105,8347.54
396.192,8501.57
396.279,8423.81
396.366,8430.22
396.453,8518.82
396.54,8655.85
396.627,8635.38
396.714,8787.58
396.801,8883.23
396.888,8887.95
396.975,8931.16
397.062,8878.59
397.149,9070.44
397.235,8980.74
397.322,8944.97
397.409,9149.3
397.496,9160.07
397.583,9138.76
397.67,9213.83
397.757,9243.38
397.844,9204.52
397.931,9189.4
398.018,9198.01
398.105,9166.34
398.191,9244.47
398.278,9250.34
398.365,9286.87
398.452,9269.9
398.539,9214.42
398.626,9246.85
398.713,9227.13
398.8,9239.41
398.887,9162.31
398.973,9151.86
399.06,9272.99
399.147,9087.05
399.234,9151.26
399.321,8995.9
399.408,9023.86
399.495,8978.52
399.582,9058.47
399.668,8839.45
399.755,8794.08
399.842,8790.64
399.929,8735.77
400.016,8745.8
400.103,8697.2
400.19,8646.81
400.276,8498.6
400.363,8414.72
400.45,8375.31
400.537,8358.42
400.624,8236.14
400.711,8147.12
400.798,8102.94
400.884,8069.1
400.971,7971.78
401.058,7847.83
401.145,7787.92
401.232,7638.35
401.319,7609.42
401.405,7467.41
401.492,7440.75
401.579,7386.08
401.666,7295.62
401.753,7130.74
401.84,7112.3
401.926,6941.63
402.013,6956.34
402.1,6708.95
402.187,6753.75
402.274,6663.79
402.36,6572.4
402.447,6467.69
402.534,6483.09
402.621,6378.02
402.708,6219.26
402.795,6164.85
402.881,6054.99
402.968,5929.57
403.055,5934.03
403.142,5827.08
403.229,5700.51
403.315,5605.81
403.402,5605.1
403.489,5534.22
403.576,5546.53
403.663,5371.49
403.749,5324.15
403.836,5362.93
403.923,5271.22
404.01,5164.29
404.096,5077.28
404.183,5019.62
404.27,4969.85
404.357,4997.6
404.444,4879.1
404.53,4820.57
404.617,4835.44
404.704,4736.97
404.791,4755.24
404.877,4657.71
404.964,4636.05
405.051,4591.62
405.138,4589.41
405.224,4474.6
405.311,4467.28
405.398,4402.65
405.485,4380.45
405.572,4347.96
405.658,4379.18
405.745,4288.74
405.832,4264.09
405.919,4237.08
406.005,4150.77
406.092,4072.59
406.179,4110.56
406.266,4141.9
406.352,4062.23
406.439,4066.23
406.526,4018.85
406.612,4048.35
406.699,4062.46
406.786,4020.22
406.873,3995.21
406.959,3960.38
407.046,3883.61
407.133,3863.18
407.22,3878.6
407.306,3868.57
407.393,3837.96
407.48,3821.48
407.566,3787.55
407.653,3819.3
407.74,3709.11
407.827,3743.64
407.913,3683.07
408.0,3755.58
408.087,3639.62
408.173,3629.57
408.26,3689.28
408.347,3638.39
408.434,3585.12
408.52,3573.63
408.607,3482.01
408.694,3564.0
408.78,3408.84
408.867,3419.08
408.954,3449.07
409.04,3411.09
409.127,3412.26
409.214,3386.65
409.3,3410.16
409.387,3287.69
409.474,3289.45
409.56,3268.56
409.647,3258.56
409.734,3166.79
409.821,3180.43
409.907,3170.37
409.994,3159.07
410.081,3065.91
410.167,3064.34
410.254,3032.21
410.341,3028.39
410.427,2993.34
410.514,2939.34
410.6,2900.47
410.687,2882.54
410.774,2901.99
410.86,2799.05
410.947,2810.29
411.034,2735.72
411.12,2694.62
411.207,2735.98
411.294,2694.5
411.38,2638.52
411.467,2635.39
411.554,2612.72
411.64,2517.19
411.727,2549.23
411.814,2528.88
411.9,2466.82
411.987,2397.26
412.073,2413.35
412.16,2335.6
412.247,2323.44
412.333,2355.35
412.42,2272.42
412.507,2242.23
412.593,2203.89
412.68,2233.12
412.766,2135.4
412.853,2173.76
412.94,2106.23
413.026,2067.08
413.113,2061.75
413.2,2037.07
413.286,2006.24
413.373,1940.67
413.459,1941.63
413.546,1913.99
413.633,1827.27
413.719,1880.12
413.806,1804.23
413.892,1809.9
413.979,1763.62
414.066,1744.88
414.152,1756.69
414.239,1654.68
414.325,1627.63
414.412,1644.49
414.498,1610.85
414.585,1600.01
414.672,1601.86
414.758,1585.76
414.845,1516.01
414.931,1513.2
415.018,1474.5
415.104,1458.05
415.191,1459.95
415.278,1455.23
415.364,1377.3
415.451,1380.1
415.537,1383.83
415.624,1330.06
415.71,1354.72
415.797,1334.53
415.884,1301.56
415.97,1248.7
416.057,1238.75
416.143,1272.56
416.23,1245.42
416.316,1196.75
416.403,1162.32
416.489,1175.45
416.576,1143.95
416.663,1170.68
416.749,1147.01
416.836,1120.87
416.922,1092.25
417.009,1095.31
417.095,1083.5
417.182,1122.2
417.268,1056.24
417.355,1060.13
417.441,1049.64
417.528,1011.09
417.614,1012.36
417.701,1014.32
417.787,1024.88
417.874,982.865
417.96,986.515
418.047,980.503
418.133,966.555
418.22,918.844
418.307,942.12
418.393,931.343
418.48,881.126
418.566,882.004
418.653,902.376
418.739,917.314
418.826,916.979
418.912,889.407
418.999,864.093
419.085,858.141
419.172,888.978
419.258,830.376
419.345,861.572
419.431,833.284
419.518,811.151
419.604,811.274
419.69,806.829
419.777,786.907
419.863,756.754
419.95,767.579
420.036,754.856
420.123,810.325
420.209,763.046
420.296,764.386
420.382,707.033
420.469,780.674
420.555,751.783
420.642,707.891
420.728,739.405
420.815,715.862
420.901,698.706
420.988,714.031
421.074,695.166
421.16,677.704
421.247,697.414
421.333,675.057
421.42,681.679
421.506,635.471
421.593,674.528
421.679,630.84
421.766,633.564
421.852,651.644
421.939,664.137
422.025,618.622
422.111,649.598
422.198,610.997
422.284,626.644
422.371,596.144
422.457,609.129
422.544,559.382
422.63,614.003
422.716,574.414
422.803,570.875
422.889,577.921
422.976,563.251
423.062,559.534
423.149,549.043
423.235,564.682
423.321,578.006
423.408,524.53
423.494,541.415
423.581,515.486
423.667,537.012
423.753,505.987
423.84,516.592
423.926,535.73
424.013,497.919
424.099,501.619
424.185,523.311
424.272,496.015
424.358,506.625
424.445,494.075
424.531,475.101
424.617,502.755
424.704,448.603
424.79,473.402
424.877,483.305
424.963,456.589
425.049,457.329
425.136,442.822
425.222,459.496
425.308,439.723
425.395,432.782
425.481,474.254
425.568,468.388
425.654,429.32
425.74,401.072
425.827,413.439
425.913,420.773
425.999,432.646
426.086,426.888
426.172,393.59
426.258,400.936
426.345,384.065
426.431,387.093
426.518,404.074
426.604,390.476
426.69,413.081
426.777,360.352
426.863,353.216
426.949,400.765
427.036,362.529
427.122,393.484
427.208,375.612
427.295,375.282
427.381,375.372
427.467,344.426
427.554,374.015
427.64,386.982
427.726,348.285
427.813,346.107
427.899,346.788
427.985,341.39
428.072,368.257
428.158,358.773
428.244,353.038
428.331,315.523
428.417,351.122
428.503,345.07
428.59,341.465
428.676,359.69
428.762,342.678
428.849,332.515
428.935,295.834
429.021,306.071
429.107,322.616
429.194,317.856
429.28,344.973
429.366,308.545
429.453,336.254
429.539,327.155
429.625,308.158
429.712,321.922
429.798,313.369
429.884,332.902
429.97,306.079
430.057,312.818
430.143,301.164
