λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,0.0
394.366,1.49321
394.453,0.0
394.54,4.77001
394.627,0.0
394.714,0.0
394.801,0.0
394.888,98.8568
394.975,92.6185
395.062,102.06
395.149,71.8128
395.236,131.163
395.323,108.931
395.41,88.265
395.497,96.3618
395.584,126.162
395.671,54.7447
395.758,99.4455
395.845,63.3284
395.932,69.4601
396.019,160.333
396.105,226.574
396.192,233.305
396.279,194.205
396.366,222.128
396.453,176.541
396.54,186.186
396.627,186.77
396.714,247.716
396.801,250.147
396.888,239.823
396.975,278.314
397.062,264.851
397.149,261.604
397.235,234.977
397.322,260.446
397.409,234.071
397.496,201.268
397.583,181.033
397.67,221.921
397.757,195.469
397.844,159.965
397.931,175.853
398.018,207.613
398.105,234.827
398.191,212.97
398.278,193.688
398.365,201.08
398.452,257.702
398.539,223.125
398.626,209.275
398.713,235.428
398.8,226.659
398.887,214.302
398.973,304.875
399.06,286.558
399.147,301.753
399.234,322.495
399.321,282.493
399.408,295.941
399.495,286.096
399.582,191.861
399.668,189.075
399.755,223.121
399.842,240.062
399.929,195.396
400.016,169.429
400.103,194.465
400.19,228.038
400.276,225.546
400.363,213.976
400.45,266.646
400.537,250.617
400.624,264.951
400.711,224.086
400.798,255.095
400.884,199.081
400.971,159.425
401.058,173.746
401.145,189.108
401.232,158.537
401.319,156.959
401.405,208.287
401.492,197.701
401.579,229.834
401.666,211.09
401.753,243.501
401.84,178.865
401.926,196.71
402.013,246.248
402.1,205.507
402.187,224.808
402.274,236.402
402.36,254.164
402.447,268.112
402.534,297.868
402.621,320.118
402.708,386.492
402.795,344.756
402.881,319.887
402.968,284.182
403.055,263.054
403.142,259.18
403.229,242.041
403.315,211.453
403.402,230.074
403.489,274.073
403.576,261.943
403.663,266.29
403.749,307.385
403.836,342.237
403.923,376.168
404.01,390.478
404.096,383.757
404.183,324.007
404.27,271.805
404.357,250.18
404.444,224.735
404.53,222.482
404.617,277.033
404.704,304.163
404.791,240.361
404.877,336.831
404.964,236.984
405.051,244.521
405.138,285.482
405.224,271.944
405.311,308.078
405.398,274.105
405.485,260.225
405.572,262.783
405.658,248.897
405.745,244.337
405.832,292.17
405.919,305.666
406.005,284.104
406.092,303.8
406.179,307.257
406.266,248.307
406.352,266.947
406.439,259.1
406.526,240.662
406.612,237.722
406.699,234.0
406.786,171.902
406.873,193.734
406.959,197.016
407.046,190.088
407.133,200.129
407.22,223.273
407.306,212.246
407.393,212.532
407.48,226.431
407.566,218.171
407.653,224.169
407.74,287.311
407.827,226.872
407.913,273.108
408.0,289.268
408.087,316.049
408.173,298.426
408.26,309.514
408.347,255.105
408.434,229.397
408.52,229.503
408.607,209.552
408.694,194.375
408.78,220.67
408.867,200.711
408.954,216.404
409.04,192.023
409.127,229.055
409.214,204.323
409.3,220.165
409.387,195.445
409.474,192.87
409.56,202.81
409.647,228.145
409.734,209.356
409.821,258.732
409.907,222.335
409.994,271.017
410.081,313.357
410.167,295.217
410.254,291.045
410.341,250.086
410.427,319.756
410.514,320.426
410.6,318.892
410.687,403.714
410.774,364.26
410.86,336.027
410.947,336.5
411.034,326.588
411.12,274.063
411.207,323.106
411.294,282.732
411.38,297.019
411.467,295.314
411.554,241.172
411.64,274.23
411.727,274.08
411.814,254.713
411.9,211.235
411.987,233.475
412.073,209.723
412.16,209.661
412.247,175.653
412.333,193.931
412.42,176.045
412.507,199.571
412.593,228.313
412.68,235.594
412.766,182.316
412.853,227.027
412.94,174.532
413.026,203.359
413.113,208.113
413.2,244.594
413.286,208.628
413.373,200.175
413.459,208.751
413.546,187.815
413.633,226.033
413.719,196.558
413.806,176.12
413.892,213.33
413.979,231.473
414.066,194.52
414.152,199.645
414.239,198.363
414.325,224.424
414.412,225.696
414.498,185.522
414.585,234.323
414.672,190.73
414.758,225.326
414.845,213.289
414.931,210.483
415.018,211.409
415.104,196.011
415.191,173.158
415.278,183.331
415.364,210.789
415.451,216.367
415.537,208.658
415.624,235.538
415.71,259.857
415.797,303.755
415.884,327.775
415.97,309.995
416.057,380.966
416.143,326.424
416.23,337.069
416.316,285.4
416.403,257.728
416.489,306.292
416.576,254.362
416.663,290.837
416.749,198.753
416.836,267.163
416.922,189.782
417.009,247.898
417.095,187.972
417.182,221.094
417.268,243.135
417.355,237.788
417.441,253.656
417.528,247.594
417.614,250.355
417.701,316.87
417.787,331.417
417.874,383.143
417.96,475.205
418.047,566.987
418.133,670.652
418.22,794.698
418.307,695.013
418.393,622.906
418.48,489.167
418.566,331.315
418.653,266.88
418.739,218.423
418.826,277.075
418.912,267.362
418.999,299.144
419.085,319.342
419.172,380.132
419.258,416.206
419.345,528.097
419.431,627.267
419.518,701.848
419.604,712.234
419.69,616.882
419.777,484.951
419.863,373.115
419.95,261.299
420.036,286.302
420.123,231.434
420.209,266.686
420.296,282.646
420.382,281.176
420.469,324.768
420.555,333.19
420.642,367.14
420.728,345.762
420.815,438.499
420.901,508.136
420.988,628.298
421.074,650.569
421.16,738.656
421.247,775.622
421.333,852.557
421.42,894.238
421.506,991.579
421.593,1228.43
421.679,1399.89
421.766,1536.04
421.852,1407.21
421.939,1099.25
422.025,813.489
422.111,559.659
422.198,344.351
422.284,369.709
422.371,462.031
422.457,470.565
422.544,428.364
422.63,389.251
422.716,368.988
422.803,321.539
422.889,281.25
422.976,237.094
423.062,201.523
423.149,235.823
423.235,281.037
423.321,268.976
423.408,253.796
423.494,303.107
423.581,317.177
423.667,357.446
423.753,400.307
423.84,425.464
423.926,523.496
424.013,641.588
424.099,649.051
424.185,605.932
424.272,584.954
424.358,609.438
424.445,591.772
424.531,663.349
424.617,813.815
424.704,855.481
424.79,850.391
424.877,783.854
424.963,636.879
425.049,557.844
425.136,379.105
425.222,394.453
425.308,434.208
425.395,478.935
425.481,432.349
425.568,382.762
425.654,350.042
425.74,279.434
425.827,222.62
425.913,224.084
425.999,246.157
426.086,242.613
426.172,224.274
426.258,232.38
426.345,253.18
426.431,280.731
426.518,258.715
426.604,325.694
426.69,294.868
426.777,320.086
426.863,316.337
426.949,394.262
427.036,358.393
427.122,435.63
427.208,443.05
427.295,420.143
427.381,361.613
427.467,314.179
427.554,243.288
427.64,237.318
427.726,233.324
427.813,270.999
427.899,276.723
427.985,264.822
428.072,297.496
428.158,274.907
428.244,314.815
428.331,261.592
428.417,228.957
428.503,238.167
428.59,235.396
428.676,285.133
428.762,275.245
428.849,296.294
428.935,265.872
429.021,280.025
429.107,319.507
429.194,305.119
429.28,316.425
429.366,289.483
429.453,404.918
429.539,452.137
429.625,497.249
429.712,559.299
429.798,613.044
429.884,639.605
429.97,585.423
430.057,541.089
430.143,440.031
430.229,289.857
430.316,246.471
430.402,222.87
430.488,230.793
430.574,271.37
430.661,272.398
430.747,282.573
430.833,357.708
430.919,323.084
431.006,378.115
431.092,346.083
431.178,405.379
431.264,427.748
431.351,418.755
431.437,380.155
431.523,331.697
431.61,273.22
431.696,282.23
431.782,236.619
431.868,254.49
431.955,266.239
432.041,295.6
432.127,247.912
432.213,278.546
432.3,283.887
432.386,303.61
432.472,318.471
432.558,350.727
432.644,338.262
432.731,412.533
432.817,508.485
