λ,Raw_E
394.019,0.0
394.106,0.0
394.192,0.0
394.279,2.89337
394.366,0.0
394.453,3.35381
394.54,8.81514
394.627,0.0
394.714,0.0
394.801,0.0
394.888,71.5403
394.975,60.3384
395.062,84.0916
395.149,52.4264
395.236,85.1026
395.323,53.0327
395.41,50.2036
395.497,51.3781
395.584,78.0443
395.671,50.0588
395.758,59.3709
395.845,30.1374
395.932,69.5462
396.019,2167.74
396.105,3892.11
396.192,3724.61
396.279,3773.15
396.366,3718.58
396.453,3646.2
396.54,3583.93
396.627,3573.53
396.714,3583.36
396.801,3447.24
396.888,3469.99
396.975,3481.44
397.062,3346.6
397.149,3469.93
397.235,3351.06
397.322,3248.15
397.409,3295.99
397.496,3217.51
397.583,3254.36
397.67,3203.47
397.757,3122.05
397.844,3062.41
397.931,3059.82
398.018,3084.22
398.105,3071.55
398.191,2975.27
398.278,2968.52
398.365,3032.67
398.452,2935.21
398.539,2910.78
398.626,2914.71
398.713,2833.21
398.8,2850.07
398.887,2750.48
398.973,2825.86
399.06,2769.04
399.147,2696.37
399.234,2698.06
399.321,2684.08
399.408,2658.25
399.495,2608.97
399.582,2529.49
399.668,2562.07
399.755,2523.77
399.842,2550.6
399.929,2502.14
400.016,2425.31
400.103,2445.73
400.19,2396.29
400.276,2385.38
400.363,2433.02
400.45,2391.45
400.537,2338.06
400.624,2281.32
400.711,2249.41
400.798,2272.77
400.884,2226.78
400.971,2199.6
401.058,2159.84
401.145,2128.88
401.232,2168.03
401.319,2093.72
401.405,2091.33
401.492,2129.32
401.579,2154.03
401.666,2065.75
401.753,2109.56
401.84,2076.64
401.926,1976.49
402.013,1992.51
402.1,2015.54
402.187,1934.52
402.274,1916.87
402.36,1873.74
402.447,1922.48
402.534,1910.41
402.621,1873.87
402.708,1821.5
402.795,1790.94
402.881,1766.75
402.968,1799.14
403.055,1787.36
403.142,1813.69
403.229,1720.74
403.315,1699.68
403.402,1698.0
403.489,1631.35
403.576,1663.57
403.663,1701.08
403.749,1669.11
403.836,1712.81
403.923,1588.1
404.01,1611.37
404.096,1617.71
404.183,1599.22
404.27,1578.36
404.357,1640.1
404.444,1578.01
404.53,1556.86
404.617,1556.53
404.704,1575.36
404.791,1485.88
404.877,1546.74
404.964,1474.8
405.051,1478.43
405.138,1517.75
405.224,1476.92
405.311,1468.86
405.398,1447.4
405.485,1416.18
405.572,1401.6
405.658,1440.51
405.745,1427.35
405.832,1448.6
405.919,1377.49
406.005,1361.12
406.092,1351.98
406.179,1359.04
406.266,1365.91
406.352,1428.55
406.439,1376.84
406.526,1374.2
406.612,1360.99
406.699,1367.15
406.786,1315.93
406.873,1325.05
406.959,1308.9
407.046,1313.93
407.133,1286.27
407.22,1304.75
407.306,1269.1
407.393,1268.42
407.48,1245.23
407.566,1267.06
407.653,1235.45
407.74,1226.36
407.827,1248.39
407.913,1233.96
408.0,1211.3
408.087,1249.9
408.173,1236.26
408.26,1245.31
408.347,1232.5
408.434,1201.03
408.52,1221.0
408.607,1205.85
408.694,1170.09
408.78,1193.59
408.867,1202.55
408.954,1143.15
409.04,1158.73
409.127,1210.66
409.214,1129.29
409.3,1117.55
409.387,1138.84
409.474,1159.18
409.56,1137.34
409.647,1144.39
409.734,1137.77
409.821,1156.72
409.907,1095.08
409.994,1156.18
410.081,1103.16
410.167,1144.67
410.254,1080.68
410.341,1099.84
410.427,1116.55
410.514,1107.87
410.6,1082.27
410.687,1095.49
410.774,1060.65
410.86,1039.33
410.947,1084.94
411.034,1049.54
411.12,1068.44
411.207,1051.47
411.294,1082.05
411.38,1063.76
411.467,1050.14
411.554,1040.81
411.64,1066.45
411.727,1038.01
411.814,1016.54
411.9,1060.38
411.987,1062.77
412.073,1035.78
412.16,999.184
412.247,1033.46
412.333,1047.29
412.42,1012.67
412.507,1019.05
412.593,1053.23
412.68,1043.49
412.766,1026.67
412.853,1014.15
412.94,1024.34
413.026,1030.84
413.113,1013.84
413.2,1039.43
413.286,1060.67
413.373,1052.37
413.459,995.764
413.546,1006.99
413.633,1044.15
413.719,1027.9
413.806,1000.83
413.892,1007.61
413.979,1041.57
414.066,997.108
414.152,1003.8
414.239,996.891
414.325,1032.16
414.412,1043.09
414.498,1000.36
414.585,1033.58
414.672,1022.14
414.758,1022.31
414.845,1059.51
414.931,1039.99
415.018,1029.76
415.104,1007.62
415.191,1034.64
415.278,1039.05
415.364,1053.78
415.451,1048.06
415.537,1006.28
415.624,1064.33
415.71,1041.28
415.797,1039.36
415.884,1036.63
415.97,1027.98
416.057,1068.37
416.143,1059.42
416.23,1056.8
416.316,1047.71
416.403,1026.42
416.489,1088.45
416.576,1080.46
416.663,1076.55
416.749,1048.15
416.836,1109.88
416.922,1082.82
417.009,1099.56
417.095,1087.58
417.182,1117.31
417.268,1102.87
417.355,1139.7
417.441,1094.62
417.528,1136.6
417.614,1111.03
417.701,1117.28
417.787,1143.58
417.874,1154.81
417.96,1128.6
418.047,1190.24
418.133,1213.26
418.22,1157.03
418.307,1149.15
418.393,1160.29
418.48,1180.84
418.566,1183.18
418.653,1207.33
418.739,1178.5
418.826,1211.84
418.912,1213.37
418.999,1198.77
419.085,1184.17
419.172,1263.45
419.258,1256.26
419.345,1212.13
419.431,1250.89
419.518,1280.03
419.604,1287.67
419.69,1265.25
419.777,1284.61
419.863,1310.48
419.95,1284.84
420.036,1364.07
420.123,1262.14
420.209,1350.86
420.296,1341.31
420.382,1337.02
420.469,1294.15
420.555,1305.41
420.642,1349.62
420.728,1352.03
420.815,1306.78
420.901,1381.56
420.988,1447.29
421.074,1364.56
421.16,1370.88
421.247,1392.99
421.333,1433.38
421.42,1440.61
421.506,1392.57
421.593,1466.52
421.679,1466.28
421.766,1468.61
421.852,1457.03
421.939,1513.4
422.025,1529.54
422.111,1465.53
422.198,1516.04
422.284,1497.67
422.371,1542.66
422.457,1516.77
422.544,1508.29
422.63,1549.18
422.716,1542.45
422.803,1612.59
422.889,1622.35
422.976,1573.22
423.062,1573.37
423.149,1604.15
423.235,1626.81
423.321,1709.7
423.408,1615.62
423.494,1669.8
423.581,1653.13
423.667,1661.14
423.753,1682.55
423.84,1676.65
423.926,1710.23
424.013,1774.85
424.099,1783.61
424.185,1752.11
424.272,1745.24
424.358,1808.56
424.445,1833.93
424.531,1813.8
424.617,1825.54
424.704,1774.52
424.79,1831.03
424.877,1888.08
424.963,1881.68
425.049,1872.55
425.136,1856.22
425.222,1895.65
425.308,1825.17
425.395,1968.51
425.481,1975.65
425.568,1977.17
425.654,2016.57
425.74,1975.66
425.827,1979.31
425.913,2010.4
425.999,2023.39
426.086,2034.9
426.172,2080.83
426.258,2048.03
426.345,2097.65
426.431,2132.89
426.518,2095.76
426.604,2173.47
426.69,2148.65
426.777,2224.79
426.863,2163.09
426.949,2258.64
427.036,2201.43
427.122,2273.22
427.208,2283.9
427.295,2259.7
427.381,2293.07
427.467,2278.54
427.554,2267.85
427.64,2369.92
427.726,2348.97
427.813,2425.03
427.899,2369.86
427.985,2452.06
428.072,2500.83
428.158,2435.54
428.244,2456.31
428.331,2513.77
428.417,2488.66
428.503,2474.05
428.59,2527.98
428.676,2611.36
428.762,2572.16
